itemcode,catcode,category,subcat,ssubcat,company,mbrand,brand,sku,packtype,base_pack,multipack,flavor,color,wght,uom,hpkcnv,msu,launchdate,qty,mrp,status,factcode,activeitem,active,nepalcomm,flag,audittype,price_seg,filter_seg,DELYM
20110041,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP,CAN 330 ML,CAN,330.000 ML, ,LEMON,,330.0,ML,0,0,0.0,330.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
20110043,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,VARUN BEVERAGE -NEPAL,7 UP,7 UP,PET 1500 ML,PET,1500.000 ML, ,LEMON,,1500.0,ML,0,0,0.0,1500.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
20110046,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,VARUN BEVERAGE -NEPAL,7 UP,7 UP,CAN 330 ML,CAN,330.000 ML, ,LEMON,,330.0,ML,0,0,0.0,330.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
20110052,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,VARUN BEVERAGE -NEPAL,7 UP,7 UP,RGB 250 ML,RGB,250.000 ML, ,LEMON,,250.0,ML,0,0,0.0,250.0,0.0,,,Y,ACTIVE,,0,2,,,
20110064,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,YES P. LTD.-SINGAPORE,7 UP,7 UP,CAN 330 ML,CAN,330.000 ML, ,LEMON,,330.0,ML,0,0,0.0,330.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
20110001,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,AL-AIN NATIONAL JUICE-UAE,APPLE,APPLE,TPK 250 ML-AL,TPK,250.000 ML, ,APPLE,,250.0,ML,0,0,0.0,250.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
40111001,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,AQUA MINERAL NEPAL LTD.- NEPAL,AQUA HUNDRED,AQUA HUNDRED,PET 1000 ML,PET,1000.000 ML, ,,,1000.0,ML,0,0,0.0,1000.0,0.0,,,Y,ACTIVE,,0,2,,,
40111010,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,HIMALAYAN AQUA MINERAL - NEPAL,BAILLEY,BAILLEY,PET 1000 ML,PET,1000.000 ML, ,,,1000.0,ML,0,0,0.0,1000.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
40111011,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,HIMALAYAN AQUA MINERAL - NEPAL,BAILLEY,BAILLEY,PET 500 ML,PET,500.000 ML, ,,,500.0,ML,0,0,0.0,500.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
40111004,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,BISLERI NEPAL PVT. LTD.- NEPAL,BISLERI,BISLERI,PET 1000 ML,PET,1000.000 ML, ,,,1000.0,ML,0,0,0.0,1000.0,0.0,,,Y,ACTIVE,,0,2,,,
40111005,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,BISLERI NEPAL PVT. LTD.- NEPAL,BISLERI,BISLERI,PET 2000 ML,PET,2000.000 ML, ,,,2000.0,ML,0,0,0.0,2000.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
40111006,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,BISLERI NEPAL PVT. LTD.- NEPAL,BISLERI,BISLERI,PET 500 ML,PET,500.000 ML, ,,,500.0,ML,0,0,0.0,500.0,0.0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404.0
