itemcode,catcode,category,subcat,ssubcat,company,mbrand,brand,sku,packtype,base_pack,multipack,flavor,color,wght,uom,hpkcnv,msu,launchdate,qty,mrp,status,factcode,activeitem,active,nepalcomm,flag,audittype,price_seg,filter_seg,DELYM
99765334,105,CIGARETTE,,,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT ORIGINAL,HL 20'S,HL,20, ,FULL FLAVOUR,,20,NO,0,0,202501,20,162,,,Y,ACTIVE,,0,3,MID-PRICE,KS REGULAR,
99765335,105,CIGARETTE,,,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT MINT CRUSH,HL 20'S,HL,20, ,FRESH,,20,NO,0,0,202501,20,239,,,Y,ACTIVE,,0,3,MID-PRICE,KS REGULAR,
20121653,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP,THUMS UP,PET 2000 ML,PET,2000.000 ML, ,COLA,,2000,ML,0,0,201308,2000,160,,,Y,ACTIVE,REACTIVE FROM DECEMBER 2024,0,2,,,
52357,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP,THUMS UP,PET 750 ML,PET,750.000 ML, ,COLA,,750,ML,0,0,201905,750,65,,,Y,ACTIVE,REACTIVE FROM DECEMBER 2024,0,2,,,
99765336,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,CHAUDHARY GROUP - NEPAL,RIO,RIO GUAVA DELIGHT,GUAVA TPK 180 ML,TPK,180.000 ML, ,GUAVA,,180,ML,0,0,202501,180,25,,,Y,ACTIVE,,0,2,,,
99765337,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT,RAYBOT REFRESH,GUAVA PET 250 ML,PET,250.000 ML, ,GUAVA,,250,ML,0,0,202501,250,50,,,Y,ACTIVE,,0,2,,,
99765339,125,KHAINI,KHAINI,KHAINI,SHREE RAM TOBACCO UDHYOG,BHOLA,BHOLA EXTRA POWER,7G KHAINI,PLAST,7G, ,REGULAR,,7,GM,0,0,202501,7,20,,,Y,ACTIVE,,0,3,,,
99765338,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,P.K. GENERAL DRINK LP.-THAILAND,BONKO,BONKO LITCHI,LITCHI PET 320 ML,PET,320.000 ML, ,LYCHEE,,320,ML,0,0,202501,320,140,,,Y,ACTIVE,,0,2,,,
99765340,118,SOFT DRINKS-NP,SOFT DRINKS,ENERGY DRINK,AGRO THAI FOODS PVT LTD-NEPAL,XTREME,XTREME,CLASSIC CAN 500 ML,CAN,500.000 ML, ,,,500,ML,0,0,202501,500,200,,,Y,ACTIVE,,0,2,,,
99765341,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,VARUN BEVERAGE -NEPAL,7 UP,7 UP,PET 2250 ML+250 ML MOUNTAIN DEW FREE,PET,2250.000 ML, ,LEMON,,2250,ML,0,0,202501,2250,270,,,Y,ACTIVE,,0,2,,,
99765342,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,NICE JAL UDHYOG-NEPAL,RFS AQUA,RFS AQUA,PET 1000 ML,PET,1000.000 ML, ,,,1000,ML,0,0,202501,1000,20,,,Y,ACTIVE,,0,2,,,
99765343,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,API SPRING PVT. LTD.-NEPAL,API SPRING,API SPRING,PET 1000 ML,PET,1000.000 ML, ,,,1000,ML,0,0,202501,1000,25,,,Y,ACTIVE,,0,2,,,
99765344,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,LITCHI PET 250 ML,PET,250.000 ML, ,LYCHEE,,250,ML,0,0,202501,250,100,,,Y,ACTIVE,,0,2,,,
20110041,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP,CAN 330 ML,CAN,330.000 ML, ,LEMON,,330,ML,0,0,0,330,0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404
20110043,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,VARUN BEVERAGE -NEPAL,7 UP,7 UP,PET 1500 ML,PET,1500.000 ML, ,LEMON,,1500,ML,0,0,0,1500,0,,,N,INACTIVE,INACTIVE FROM APRIL 2024,4,2,,,202404
