DATE,PERIOD,AUDITYPE,STORECODE,DLRCODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
13/08/2024,202408,2,130218693,52303020001,1723442321918,99765280.0,134,CG FOODS- NEPAL,RIO JUCILO,RIO JUCILO/180ML/TPK/MANGO/CG FOODS ,25.0,180ML ,TPK,,1723442321918-cg foods- nepal-rio jucilo#3.png,RECODING,5
13/08/2024,202408,2,126431898,21301020043,1723020196552,99765281.0,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH-LEMON,NIMBU FRESH-LEMON/2250/ML/RS270,270.0,2250 ML,PET,New SKU,1723020196552-manakamana fruit - beverage-np-nimbu fresh-lemon#3.png,RECODING,5
13/08/2024,202408,2,127259807,32201020013,1723095608992,99765282.0,134,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI PROCESSED DRINKING WATER/PBT/1000ML/25/NARAYAN BEVERAGE UDHYOG-NEPAL,25.0,1000ML,PBT,,,RECODING,5
13/08/2024,202408,2,130366006,22101020013,1723188960691,99765283.0,134,A-STAR BIRGUNJ NEPAL ,A-STAR,A-STAR\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,,1723188960691-a-star birgunj nepal -a-star#3.png,RECODING,5
13/08/2024,202408,2,126377129,32201020016,1723095608992,99765282.0,134,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI PROCESSED DRINKING WATER/PBT/1000ML/25/NARAYAN BEVERAGE UDHYOG-NEPAL,25.0,1000ML,PBT,,1723095608992-narayan beverage udhyog-npl-jalpari#3.png,RECODING,5
22/08/2024,202408,2,132776190,22304020002,1724209699843,99765284.0,134,V.J.FOODS&BEVERAGE PVT.LTD NEPAL ,JALESHWOR ,JALESHWOR\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,Sales Deviation is OK,1724209699843-v-j-foods-beverage pvt-ltd nepal -jaleshwor #3.png,RECODING,5
22/08/2024,202408,2,124653188,42301020020,1723618908511,99765056.0,134,MANAKAMANA FRUIT AND BEVERAGES PVT LTD ,LEMON,NIMBU FRESH ,50.0,250 ML,PET,,,CROSS CODING,2
22/08/2024,202408,2,124954698,21301020011,1723706474727,99765285.0,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,NIMUE NIMBU PANI,NIMUE NIMBU PANI/250/ML,50.0,250 ML,PET,New SKU,1723706474727-shambhavi food - beverages-nepal-nimue nimbu pani#3.png,RECODING,5
22/08/2024,202408,2,113385331,52204020017,1723787881636,99765286.0,134,FRUIT AGRO PRODUCT-NEPAL,PAY,PAY MILK BADAM DRINK/180ML/CAN,105.0,180ML ,CAN,,1723787881636-fruit agro product-nepal-pay#3.png,RECODING,5
22/08/2024,202408,2,123875442,21301020042,1723617086813,99765287.0,134,P.K. GENERAL DRINK LP.-THAILAND,BONKO MELON,BONKO MELON /320/ML/RS/140,140.0,320 ML,PET,New SKU,1723617086813-p-k- general drink lp--thailand-bonko melon#3.png,RECODING,5
22/08/2024,202408,2,123875442,21301020042,1723616931767,99765288.0,134,P.K. GENERAL DRINK LP.-THAILAND,BONKO ORANGE,BONKO ORANGE/320/ML,140.0,320 ML,PET,,1723616931767-p-k- general drink lp--thailand-bonko orange#3.png,RECODING,5
22/08/2024,202408,2,125918143,21301020027,1723441748354,99765289.0,134,A-ONE POLYMERS & BEVERAGE-NP,AQUA MINA,AQUA MINA/1000/ML/RS20,20.0,1000 ML,PET,New SKU,1723441748354-a-one polymers - beverage-np-aqua mina#3.png,RECODING,5
22/08/2024,202408,2,133013374,42201020016,1723618908511,99765056.0,134,MANAKAMANA FRUIT AND BEVERAGES PVT LTD ,LEMON,NIMBU FRESH ,50.0,250 ML,PET,,1723618908511-manakamana fruit and beverages pvt ltd -lemon#3.png,CROSS CODING,2
27/08/2024,202408,2,132803698,31303020003,1724570119406,99765290.0,134,SINGAPORE BEVERAGE-NEPAL,NATURALS,NATURALS-MIX FRUIT CAN 250ML,100.0,250ML,CAN,,1724570119406-singapore beverage-nepal-naturals#3.png,RECODING,5
27/08/2024,202408,2,132920729,31303020012,1724570119406,99765290.0,134,SINGAPORE BEVERAGE-NEPAL,NATURALS,NATURALS-MIX FRUIT CAN 250ML,100.0,250ML,CAN,,1724570119406-singapore beverage-nepal-naturals#3.png,RECODING,5
