DATE,PERIOD,STORECODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2022-12-19,202212,123262051,1671349211288,99764499.0,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY\200\UNITS,150,JAR,200 UNITS,New SKU,1671349211288-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5
2022-12-19,202212,123262051,1671349468910,99764497.0,106,LOTTE INDIA-INDIA,LOTTE ECLAIRS,LOTTE ECLAIRS\234\UNITS,500,JAR,234 UNITS,New SKU,1671349468910-lotte india-india-lotte eclairs#3.png,RECODING,5
2022-12-19,202212,123262051,1671349703220,99764495.0,106,PRAYAGH NUTRI PRODUCT-INDIA,KOKO HEARTZ,KOKO HEARTZ\229\UNITS\RS400,2,JAR,220 UNITS,New SKU,1671349703220-prayagh nutri product-india-koko heartz#3.png,RECODING,5
2022-12-19,202212,123262051,1671350233325,99764513.0,123,AARATI SOAP & CHEMICALS -NEPAL,DHARA,DHARA\200\GM,50,PPH,200 GM,New SKU,1671350233325-aarati soap - chemicals -nepal-dhara#3.png,RECODING,5
2022-12-19,202212,123262051,1671348703570,99764488.0,106,PERFETTI VAN MELLE-INDIA,CENTER FRUIT,CENTER FRUIT \585\GM\195\UNITS\RS 312,312,JAR,195 UNITS,New SKU,1671348703570-perfetti van melle-india-center fruit#3.png,RECODING,5
2022-12-19,202212,123453021,1671344266018,99764494.0,106,PERFETTI VAN MELLE-INDIA,HAPPYDENT WHITE,HAPPYDENT WHITE\429\GM\RS490,490,JAR,429 GM,New SKU,1671344266018-perfetti van melle-india-happydent white#3.png,RECODING,5
2022-12-19,202212,123453021,1671344479354,99764489.0,106,PERFETTI VAN MELLE-INDIA,CENTER FRUIT ,CENTER FRUIT \450\GM\ 150\PC\RS240,240,JAR,429 GM,New SKU,1671344479354-perfetti van melle-india-center fruit #3.png,RECODING,5
2022-12-19,202212,123453021,1671345621674,99764514.0,123,PUJA SOAP & HOUSEHOLD PROD-NPL,PUJA 100%,PUJA 100% \200\GM\RS50,50,PPH,200GM,New SKU,1671345621674-puja soap - household prod-npl-puja 100-#3.png,RECODING,5
2022-12-19,202212,125764166,1671340378621,99764490.0,106,PERFETTI VAN MELLE-INDIA,CENTER FRUIT,CENTER FRUIT/WATERMELON/450GM/PCN,240,PCN,450GM ,,1671340378621-perfetti van melle-india-center fruit#3.png,RECODING,5
2022-12-19,202212,125764166,1671339611361,99764500.0,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY/CHATPATA MAZZA/600GM/PCN,165,PCN,600GM,,1671339611361-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5
2022-12-19,202212,125764166,1671340215027,99764491.0,106,SUJAL FOODS PVT LTD-NEPAL,CRAVE FRESHO,CRAVE FRESHO/MENTHA-LYPTUS/550GM/PCN,165,PCN,550GM ,,1671340215027-sujal foods pvt ltd-nepal-crave fresho#3.png,RECODING,5
2022-12-19,202212,125764166,1671342873722,99764630.0,106,ASIAN BISCUITS & CONFECTNRY-NP,GOODLIFE IMLI BOMB,GOODLIFE IMLI BOMB/REAL IMLI CANDY/250PC/PCN,250,PCN,250PCS,,1671342873722-asian biscuits - confectnry-np-goodlife imli bomb#3.png,RECODING,5
2022-12-19,202212,125764166,1671342683210,,106,SWEET MART FOOD INDUST-NEPAL,SWEET SMART COFFEE TATTOO,SWEET SMART COFFEE TATTOO/100PCS/PPH,90,PPH,100PCS,,1671342683210-sweet mart food indust-nepal-sweet smart coffee tattoo#3.png,PARKER FOR NEXT MONTH,999
2022-12-19,202212,125764166,1671343082767,99764496.0,106,AMLOS FOOD PROD-IND,LEMCOLA,LEMCOLA/LEMON SODA CANDY/600GM/PCN,240,PCN,600GM ,,1671343082767-amlos food prod-ind-lemcola#3.png,RECODING,5
2022-12-19,202212,125764166,1671342530205,,106,SWEET MART FOOD INDUST-NEPAL,SWEET MART LACTO KING,SWEET SMART LACTO KING/100PCS/PPH,90,PPH,100PCS,,1671342530205-sweet mart food indust-nepal-sweet mart lacto king#3.png,PARKER FOR NEXT MONTH,999
2022-12-19,202212,125764166,1671339923778,99764501.0,106,SUJAL FOODS PVT LTD-NEPAL,SMART LOLLYPOP,SMART LOLLY POP/PINEAPPLE/900GM/PCN,5,PCN,900GM ,,1671339923778-sujal foods pvt ltd-nepal-smart lollypop#3.png,RECODING,5
2022-12-19,202212,125764166,1671340521331,99764487.0,106,PERFECT FOODS PVT LTD-NEPAL,CENTER FILLZ,CENTER FILLZ/MINT/435GM/PCN,235,PCN,435GM,,1671340521331-perfect foods pvt ltd-nepal-center fillz#3.png,RECODING,5
2022-12-19,202212,125959303,1671355552828,99764493.0,106,JAI MATA SWEETS-INDIA,DONEAR DAIRY CREAM,DONEAR DAIRY CREAM/REAL BUTTERY TASTE/450GM/PPH,128,PPH,450GM ,,1671355552828-jai mata sweets-india-donear dairy cream#3.png,RECODING,5
2022-12-19,202212,125959303,1671355275652,99764512.0,120,UNILEVER NEPAL LTD-NEPAL,LUX WHITE,LUX WHITE/VELVET TOUCH/4Ã—90GM/EWP/SAVE RS 5,175,EWP,4Ã—90GM,,1671355275652-unilever nepal ltd-nepal-lux white#3.png,RECODING,5
2022-12-19,202212,109898448,1671340761301,99764503.0,106,SURYA NEPAL PVT LTD - NEPAL,TOFFICHOO DUOZ,TOFFICHOO DUOZ-STRAWBERRY/JAR/760GM(200UNITS),400,JAR,760GM(200UNITS),,1671340761301-surya nepal pvt ltd - nepal-toffichoo duoz#3.png,RECODING,5
2022-12-19,202212,109898448,1671172796679,99764492.0,106,DABUR NEPAL LTD.-NEPAL,DABUR HONITUS,DABUR HONITUS HONEY & GINGER/JAR/280GM 100PCS,200,JAR,280GM,,1671172796679-dabur nepal ltd--nepal-dabur honitus#3.png,RECODING,5
2022-12-19,202212,109898448,1671339901665,99764502.0,106,SURYA NEPAL PVT LTD - NEPAL,TOFFICHOO CRï¿½ME LACTO,TOFFICHOO CREME LACTO/JAR/800GM(200UNITS),500,JAR,800GM(200UNITS),,1671339901665-surya nepal pvt ltd - nepal-toffichoo cr-me lacto#3.png,RECODING,5
2022-12-19,202212,109898448,1671339278791,99764494.0,106,PERFETTI VAN MELLE-INDIA,HAPPYDENT WHITE,HAPPYDENT WHITE -MINT /JAR/429GM(195 UNITS),487.5,JAR,429GM,,1671339278791-perfetti van melle-india-happydent white#3.png,RECODING,5
2022-12-19,202212,109898448,1671339622653,99764498.0,106,SURYA NEPAL PVT LTD - NEPAL,MINT-O FRESH,MINT-O FRESH-ASSORATED/JAR/640GM(200UNITS),400,JAR,640GM(200 UNITS),,1671339622653-surya nepal pvt ltd - nepal-mint-o fresh#3.png,RECODING,5
2022-12-20,202212,123455987,1671427409213,99764508.0,106,SUJAL FOODS PVT LTD-NEPAL,SUJAL FRUIT CANDY,SUJAL FRUIT CANDY\200\PC\RS 165,165,PET,200UNITS,New SKU,1671427409213-sujal foods pvt ltd-nepal-sujal fruit candy#3.png,RECODING,5
2022-12-20,202212,123455987,1671426556485,99764504.0,106,PERFETTI VAN MELLE-INDIA,HAPPYDENT WHITE,HAPPYDENT WHITE \195\UNITS\RS487\SPEARMINT,487,JAR,195 UNITS,New SKU,1671426556485-perfetti van melle-india-happydent white#3.png,RECODING,5
2022-12-20,202212,123455987,1671427622365,99764506.0,106,PERFETTI VAN MELLE-INDIA,ALPENLIEBE CREAMFILLS,ALPENLIEBE CREAMFILLS\150\UNITS\RS375,375,PET,150 UNITS ,New SKU,1671427622365-perfetti van melle-india-alpenliebe creamfills#3.png,RECODING,5
2022-12-20,202212,123455987,1671349211288,99764499.0,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY\200\UNITS,165,JAR,200 UNITS,New SKU,1671349211288-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5
2022-12-20,202212,123455987,1671428422914,99764507.0,106,PERFETTI VAN MELLE-INDIA,CHOCOLIEBE ECLAIRS,CHOCOLIEBE ECLIARS\195\UNITS\RS487,487,PET,195,New SKU,1671428422914-perfetti van melle-india-perfetti van melle india#3.png,RECODING,5
2022-12-20,202212,123455987,1671427888254,99764510.0,106,INBISCO INDIA PVT.LTD-IND,KOPIKO CAPPUCCINO COFFEE,KOPIKO CAPPUCCINO\230\UNITS\RS 575,575,PET,230 UNITS,New SKU,1671427888254-inbisco india pvt-ltd-ind-kopiko cappuccino coffee#3.png,RECODING,5
2022-12-20,202212,123455987,1671348703570,99764488.0,106,PERFETTI VAN MELLE-INDIA,CENTER FRUIT,CENTER FRUIT \585\GM\195\UNITS\RS 312,462,JAR,195 UNITS,New SKU,1671348703570-perfetti van melle-india-center fruit#3.png,RECODING,5
2022-12-20,202212,123494125,1671426556485,99764504.0,106,PERFETTI VAN MELLE-INDIA,HAPPYDENT WHITE,HAPPYDENT WHITE \195\UNITS\RS487\SPEARMINT,487,JAR,195 UNITS,New SKU,1671426556485-perfetti van melle-india-happydent white#3.png,RECODING,5
2022-12-20,202212,123494125,1671349211288,99764499.0,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY\200\UNITS,165,JAR,200 UNITS,New SKU,1671349211288-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5
2022-12-20,202212,123494125,1671426334618,99764505.0,106,PERFETTI VAN MELLE-INDIA,CENTER FRUIT,CENTER FRUIT \555}GM\185\UNITS\RS462,462,JAR,185 UNITS ,New SKU,1671426334618-perfetti van melle-india-center fruit#3.png,RECODING,5
