DATE,PERIOD,STORECODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1
2022-01-29,202201,113404008,1643350687172,99763005.0,118,CHISAPANI MINERAL WATER & BEVERAGE INDUSTRIES PVT LTD,CHISAPANI,CHISAPANI\1000\ML,25.0,PBT,1000 ML,,1643350687172-chisapani mineral water - beverage industries pvt ltd-chisapani.png,RECODING,5
2022-01-29,202201,113385142,1643348461375,99763012.0,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES\200\GM,20.0,PPH,200GM,,1643348461375-gopal soap industries - nepal-v series.png,RECODING,5
2022-01-29,202201,435872910103,1643353760043,99763013.0,122,DURACH AND SON'S PVT. LTD. NEPAL,DIVYA,DIVYA DETERGENT /1000 GM/PPH/RS-90,90.0,PPH,1000 GM,New SKU,1643353760043-durach and son-s pvt- ltd- nepal-divya.png,RECODING,5
2022-01-31,202201,123262051,1643528434836,99763015.0,123,MAHASHAKTI SOAP & CHEM.- NEPAL,HIMKAN 300 GM,HIMKAN\ 300\GM,50.0,300 GM,PPH,New SKU,1643528434836-mahashakti soap - chem-- nepal-himkan 300 gm.png,RECODING,5
2022-01-31,202201,122592893,1643522365075,99763016.0,131,UPRETI & PANCHAKANYA MULTI PURPOSE,U & P HONEY,U & P HONEY\500\GM,500.0,PPH,500 GM,New SKU,1643522365075-upreti - panchakanya multi purpose-u - p honey.png,RECODING,5
2022-01-31,202201,435872910131,1643523726851,99763006.0,118,RELIABLE FOOD AND BEVERAGE PVTLTD.NEPAL,RED BLUE,RED BLUE/ENERGY DRINK/CAN 250/RS 120,120.0,RS 120,CAN 250,New SKU,1643523726851-reliable food and beverage pvtltd-nepal-red blue.png,RECODING,5
2022-01-31,202201,435873410174,1643537855796,99763008.0,106,DURGA CONFECTIONERS PVT.LTD.INDIA,FRUITO POP,FRUITO POP/FRUIT/GM 10 /PPH/RS 2,3.2,PPH,GM 10,New SKU,1643537855796-durga confectioners pvt-ltd-india-fruito pop.png,RECODING,5
2022-01-31,202201,435872910133,1643533632697,99763011.0,122,SONOCO PRODUCTION PVT.LTD. NEPAL,HARIYO PAT ,HARIYO PAT/DETERGENT/GM 5000/PPH/RS 550,550.0,PPH,GM 5000,New SKU,1643533632697-sonoco production pvt-ltd- nepal-hariyo pat .png,RECODING,5
2022-01-31,202201,435872910133,1643533291853,99763009.0,122,SONOCO PRODUCTION PVT.LTD. NEPAL,HARIYO PAT ,HARIYO PAT/DETERGENT/GM 500/ PPH/RS 50,50.0,PPH,GM 500,,1643533291853-sonoco production pvt-ltd- nepal-hariyo pat .png,RECODING,5
2022-01-31,202201,435872910133,1643530155953,99763201.0,106,ASIAN BISCUIT AND CONFECTIONERY(P) LTD.NEPAL,GOODLIFE,IMLI HALDI/GOODLIFE/GM 3.5 /PPH RS 2,2.0, PPH,GM 3.5,,1643530155953-asian biscuit and confectionery-p- ltd-nepal-goodlife.png,RECODING,5
2022-01-31,202201,435872910133,1643534018820,99763010.0,122,SONOCO PRODUCTION PVT.LTD. NEPAL,HARIYO PAT ,HARIYO PAT/DETERGENT/GM 3000/PPH/RS 250,250.0,PPH,GM 3000,New SKU,1643534018820-sonoco production pvt-ltd- nepal-hariyo pat .png,RECODING,5
2022-01-31,202201,435872910133,1643529081454,99763007.0,106,"JAL MATA SWEETS D-7,PARSAKHERA,BARIELLY(U.P)",RANGE CRUSH,RANGE CRUSH/ORANGE/PPH 2.5/ RS 0.50,0.8, RS 0.50,PPH 2.5,,1643529081454-jal mata sweets d-7-parsakhera-barielly-u-p--range crush.png,RECODING,5
2022-01-31,202201,435872910133,1643534598655,99763014.0,122,PRANSO SOAP INDUSTRIES PVT.LTD. NEPALNEPAL,PRANSO,PRANSA/DETERGENT/GM 1000/PPH/RS 100,100.0,PPH,GM 1000,New SKU,1643534598655-pranso soap industries pvt-ltd- nepalnepal-pranso.png,RECODING,5
2022-02-01,202201,335095510147,1643608928837,99763021.0,122,SNEHA SOAP & CHEMICAL INDUSTRIES-NEPAL,SNEHA'S NATURE,SNEHA'S NATURE-PPH 500 GM,60.0,PPH ,500 GM ,,1643608928837-sneha soap - chemical industries-nepal-sneha-s nature.png,RECODING,5
2022-02-01,202201,124631722,1643624597718,,123,MAHASHAKTI SOAP & CHEM.- NEPAL,HIMKAN,HIMKAN/120GM/UNWRP,25.0,UNWRP ,120GM,,1643624597718-mahashakti soap - chem-- nepal-himkan.png,PARKER FOR NEXT MONTH,999
2022-02-01,202201,124631722,1643624359312,99763028.0,123,PACHADHAKI SOAP INDUSTRIES PVT.LTD NEPAL ,SIKTA HERBAL ,SIKTA HERBAL/DISH WASH BAR/100GM/EWP,10.0,EWP,100GM ,,1643624359312-pachadhaki soap industries pvt-ltd nepal -sikta herbal .png,RECODING,5
