DATE,PERIOD,AUDITYPE,STORECODE,DLRCODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1
2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5
2023-02-07,202302,3,1220100023,12201030087,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5
2023-02-07,202302,3,1220100026,12201030081,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5
2023-02-08,202302,2,122186466,31101020089,1675668824889,99764850,134,BIKANERVALA FOOD PVT LTD,CAN JUICE,BIKANO STABERY FLAVIOUR,110.0,CAN,180 ML,,1675668824889-bikanervala food pvt ltd-can juice#3.png,RECODING,5
2023-02-08,202302,1,117369546,32203010013,1675763507155,99764843,122,GAURI SHANKAR SOAP INDS-NEPAL,SUPER EXCEL,SUPER EXCEL PPH 200 GM,20.0,PPH,200 GM,,1675763507155-gauri shankar soap inds-nepal-super excel#2.png,RECODING,5
2023-02-08,202302,1,125764166,52202010015,1675747723641,99764845,123,DINESH SOAP & HOUSEHOLD-NPL,DINESH ,DINESH ASH DISHWASH BAR/400GM/PCN/ FREE SCRUB PAD,50.0,PCN,400GM ,,1675747723641-dinesh soap - household-npl-dinesh #3.png,RECODING,5
2023-02-08,202302,1,125959303,52202010022,1675743018228,99764844,122,UNILEVER NEPAL LTD-NEPAL,WHEEL ACTIVE 2IN1 ,WHEEL ACTIVE 2IN1/CLEAN & FRESH/150GM/PPH,20.0,PPH,150GM ,,1675743018228-unilever nepal ltd-nepal-wheel active 2in1 #3.png,RECODING,5
2023-02-08,202302,3,2110115919,21101031891,1675749507754,99764849,126,KODE PRODUCTS CO,SAMRATT PAN MASALA,SAMRATT PAN MASALA PLAST\ 3.6\GM,5.0,PLAST,3.6:GM,New SKU,1675749507754-kode products co-samratt pan masala#3.png,RECODING,5
2023-02-09,202302,3,3110103280,31101030548,1675841279419,99764847,124,GOLDEN TOBACCO INDUSTRIES PVT LTD NEPAL ,TWENTY 20 ,TWENTY 20 GUTKHA PPH 2.5GM,5.0,PPH,2.5GM,,1675841279419-golden tobacco industries pvt ltd nepal -twenty 20 #3.png,RECODING,5
2023-02-09,202302,3,3110102858,31101030543,1675841279419,99764847,124,GOLDEN TOBACCO INDUSTRIES PVT LTD NEPAL ,TWENTY 20 ,TWENTY 20 GUTKHA PPH 2.5GM,5.0,PPH,2.5GM,,1675841279419-golden tobacco industries pvt ltd nepal -twenty 20 #3.png,RECODING,5
2023-02-09,202302,1,123262051,21301010069,1675837119826,99764841,106,PRAYAGH NUTRI PRODUCT-INDIA,CINTU PAN RAISYA PAN MASALA,CINTU PAN RASIYA PAN MASALA\880\GM,220.0,PCN,880 GM,New SKU,1675837119826-prayagh nutri product-india-cintu pan raisya pan masala#3.png,RECODING,5
2023-02-09,202302,1,123262051,21301010069,1675837533958,99764846,123,PUJA SOAP & HOUSEHOLD PROD-NPL,MAHASHAKTI 100% PURE WASHING SOAP,MAHASHAKTI 100% PURE WASHING SOAP\200\GM,45.0,PPH,200 GM,New SKU,1675837533958-puja soap - household prod-npl-mahashakti 100- pure washing soap#3.png,RECODING,5
2023-02-10,202302,1,123455987,21301010050,1675845260483,99764851,106,PERFETTI VAN MELLE-INDIA,MENTOS ASSORTED FLAVOUR,MENTOS ASSORTED FLAVOUR\499.5\GM,462.5,PCN,499.5,New SKU,1675845260483-perfetti van melle-india-mentos assorted flavour#3.png,RECODING,5
2023-02-10,202302,1,123455987,21301010050,1675845537698,99764852,106,PERFECT FOODS PVT LTD-NEPAL,ICY MENTHO-LYPTUS,ICY MENTHO-LYPTUS\720\GM,300.0,PCN,720 GM,New SKU,1675845537698-perfect foods pvt ltd-nepal-icy mentho-lyptus#3.png,RECODING,5
2023-02-10,202302,1,123455987,21301010050,1675837119826,99764841,106,PRAYAGH NUTRI PRODUCT-INDIA,CINTU PAN RAISYA PAN MASALA,CINTU PAN RASIYA PAN MASALA\880\GM,220.0,PCN,880 GM,New SKU,1675837119826-prayagh nutri product-india-cintu pan raisya pan masala#3.png,RECODING,5
2023-02-10,202302,2,114636725,21102020044,1675926193413,99764864,134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE LITCHI/NON CARBONATED/GOODLIFE BEVERAGE P LTD,20.0,PBT,150ML,,1675926193413-goodlife beverage-nepal-goodlife#3.png,RECODING,5
2023-02-11,202302,1,117739664,32203010012,1676019606987,99764853,106,ASIAN BISCUITS & CONFECTNRY-NP,GOOLIFE IMLI BOMB,GOODLIFE IMLI BOMB PCN 750 GM,250.0,PCN,750 GM ,,1676019606987-asian biscuits - confectnry-np-goolife imli bomb#3.png,RECODING,5
2023-02-11,202302,1,117739664,32203010012,1676018389469,99764858,122,SEAFACE HOME & HEALTHCARE-NP,FINISH ANTIBACTRIAL,FINISH ANTIBACTRIAL PPH 750 GM ,75.0,PPH,750 GM ,,1676018389469-seaface home - healthcare-np-finish antibactrial#3.png,RECODING,5
2023-02-11,202302,1,117347037,32203010020,1676019606987,99764853,106,ASIAN BISCUITS & CONFECTNRY-NP,GOOLIFE IMLI BOMB,GOODLIFE IMLI BOMB PCN 750 GM,250.0,PCN,750 GM ,,1676019606987-asian biscuits - confectnry-np-goolife imli bomb#3.png,RECODING,5
2023-02-11,202302,3,3110105416,31101030577,1676003610053,99764847,124,GOLDEN TOBACCO INDUSTRIES PVT.LTD NEPAL,20/20,20/20 GUDKHA\2.5GM\PPH\RS:5\GOLDEN TOBACCO INDUSTRIES PVT.LTDNEPAL,5.0,PPH,2.5GM,New SKU,1676003610053-golden tobacco industries pvt-ltd nepal-20-20#3.png,RECODING,5
2023-02-11,202302,1,125735638,52202010016,1676006079544,99764856,120,UNILEVER NEPAL LTD-NEPAL,LIRIL,LIRIL LIME RUSH/4Ã—75GM/EWP/SAVE RS 7,145.0,EWP,4Ã—75GM,,1676006079544-unilever nepal ltd-nepal-liril#3.png,RECODING,5
