DATE,PERIOD,AUDITYPE,STORECODE,DLRCODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2023-06-12,202306,3,3110101957,31101030486,1686297313972,DELETE,125,PUJA TOBACCO PACKING INDUSTRIES,TAJA ,TAJA SUPER POWER\8GM\PPH\RS:20\PUJA TOBACCO PACKING INDUSTRY NEPAL,20,8GM,PPH,Sales Deviation is OK,1686297313972-puja tobacco packing industries-taja #3.png,DELETE THE ITEM,1
2023-06-12,202306,2,129173662,32201020018,1686195784188,99765044,134,NEPAL SOFT DRINKS UDHYOG-NEPAL,SWAAD LITCHI DRINK,SWAAD LITCHI DRINK/PBT/125ML+25ML/RS20/NEPAL SOFT DRINKS UDHYOG-NEPAL,20,125ML+25ML,PBT,,1686195784188-nepal soft drinks udhyog-nepal-swaad litchi drink#3.png,RECODING,5
2023-06-12,202306,2,111509030,12101020021,1686109155842,99765045,134,SUNSARI FOOD & BEVERAGE UDHYOG NEPAL,AQUA DIAMOND,AQUA DIAMOND PROCESSED DRINKING WATER - PBT 1000 ML.SUNSARI FOOD & BEVERAGE UDHYOD NEPAL,20,1000 ML.,PBT,Sales Deviation is OK,1686109155842-sunsari food - beverage udhyog nepal-aqua diamond#3.png,RECODING,5
2023-06-12,202306,2,126758637,32201020029,1686115934891,99764474,134,HYGEN PACKS NEPAL PVT LTD-NEPAL,FIZZY MANIA,FIZZY MANIA/PBT/250ML/50/APPLE JUICE/HYGEN PACKS NEPAL PVT LTD-NEPAL,50,250ML,PBT,,1686115934891-hygen packs nepal pvt ltd-nepal-fizzy mania#3.png,CROSS CODING,2
2023-06-12,202306,2,126772392,52202020001,1686031679858,99765046,134,KGN DRINKING WATER INDUSTRIES NEPAL ,KGN,KGN PROCESSED DRINKING WATER/20000ML/PBT,80,20000ML,PBT,Sales Deviation is OK,1686031679858-kgn drinking water industries nepal -kgn#3.png,RECODING,5
2023-06-12,202306,2,112202294,42303020015,1685944324309,20110457,134,CG FOODS- NEPAL,RIO MANGO,RIO/CGFOODS/MANGO ALFONSO/TPK /RS 25200,25,200ML,TPK,Sales Deviation is OK,1685944324309-cg foods- nepal-rio mango#3.png,CROSS CODING,2
2023-06-12,202306,2,116596450,42303020016,1685944324309,20110457,134,CG FOODS- NEPAL,RIO MANGO,RIO/CGFOODS/MANGO ALFONSO/TPK /RS 25200,25,200ML,TPK,Sales Deviation is OK,,CROSS CODING,2
2023-06-13,202306,2,130258571,52303020007,1686536158723,99765047,118,CAVA FOODS & BEVERAGES-INDIA,CAVA ORANGE ,CAVA ORANGE/250ML/PBT,20,250ML ,PBT,Sales Deviation is OK,1686536158723-cava foods - beverages-india-cava orange #3.png,RECODING,5
2023-06-13,202306,3,3110102779,31101030400,1686297313972,DELETE,125,PUJA TOBACCO PACKING INDUSTRIES,TAJA ,TAJA SUPER POWER\8GM\PPH\RS:20\PUJA TOBACCO PACKING INDUSTRY NEPAL,20,8GM,PPH,Sales Deviation is OK,,DELETE THE ITEM,1
2023-06-14,202306,2,130675914,31101020077,1686640736592,99765048,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-RED APPLE PBT 320ML,150,320ML,PBT ,,1686640736592-thai victor food co-ltd-thailand-joiner#3.png,RECODING,5
2023-06-14,202306,2,130675914,31101020077,1686640539821,99765049,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-ORANGE PBT 320ML,150,320ML,PBT ,,1686640539821-thai victor food co-ltd-thailand-joiner#3.png,RECODING,5
2023-06-14,202306,2,130675914,31101020077,1686640105866,99765050,134,POKHARA NATURAL FOODS & BEVERAGE PVT LTD ,GLAZE,GLAZE PBT 1 LTR,25,1 L,PBT ,,1686640105866-pokhara natural foods - beverage pvt ltd -glaze#3.png,RECODING,5
2023-06-14,202306,2,232113810229,23211020002,1686646921734,99765051,134,GAUSHALA BISLERY COMPANY P.LTD NEPAL,BISLERY,BISLERY\1000ML\PBT\MINERAL WATER ,25,1000ML,PBT,Sales Deviation is OK,1686646921734-gaushala bislery company p-ltd nepal-bislery#3.png,RECODING,5
2023-06-16,202306,2,124650089,31101020099,1686815742965,99765052,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-LYCHEE PET 320ML,150,320ML,PET,,1686815742965-thai victor food co-ltd-thailand-joiner#3.png,RECODING,5
2023-06-16,202306,2,124650089,31101020099,1686816973421,99765053,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-CANTALOUPE PET 320ML,150,320ML,PET,,1686816973421-thai victor food co-ltd-thailand-joiner#3.png,RECODING,5
2023-06-16,202306,2,435785210006,43578020004,1686813648197,99765054,118,DYNAMIC WATER & BEVERAGE-NPL,DEMAND FUN,DEMAND FUN/DYNAMIC WATER/PET250ML/RS35,35,RS 35,PET,Sales Deviation is OK,1686813648197-dynamic water - beverage-npl-demand fun#3.png,RECODING,5
2023-06-25,202306,2,118136849,31308020005,1687507554068,99765056,134,MANAKAMANA FRUIT & BEVERAGE PVT.LTD. NEPAL,MANAKAMANA NIMBU FRESH,MANAKAMANA NIMBU FRESH/PBT/250ML/50/MANAKAMANA FRUIT & BEVERAGE PVT.LTD. NEPAL,50,250ML,PBT,Sales Deviation is OK,1687507554068-manakamana fruit - beverage pvt-ltd- nepal-manakamana nimbu fresh#3.png,RECODING,5
2023-06-25,202306,2,425485310293,42548020007,1686064133681,99762349,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO/CG FOODS /JUICE/TPK180+20ML EXTRA/RS25,25,RS25,TPK,Sales Deviation is OK,,CROSS CODING,2
2023-06-25,202306,2,425485310191,42548020004,1686064133681,99762349,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO/CG FOODS /JUICE/TPK180+20ML EXTRA/RS25,25,RS25,TPK,Sales Deviation is OK,,CROSS CODING,2
2023-06-25,202306,2,425485210340,42548020005,1686064133681,99762349,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO/CG FOODS /JUICE/TPK180+20ML EXTRA/RS25,25,RS25,TPK,Sales Deviation is OK,,CROSS CODING,2
2023-06-25,202306,2,222331710112,22233020010,1687501165203,99765057,134,AQUA EVEREST,SUHANA DRINKING WATER,SUHANA DRINKING WATER\1000\ML,20,1000 ML,PET,New SKU,1687501165203-aqua everest-suhana drinking water#3.png,RECODING,5
2023-06-25,202306,2,130253051,21202020019,1687511864131,99765058,134,HYGEN PACKS NEPAL PVT LTD-NEPAL,MANIA WILD,MANIA WILD\250ML\CAN\ENERGY DRINK +80ML EXTRA ,150,180ML,CAN,,1687511864131-hygen packs nepal pvt ltd-nepal-mania wild#3.png,RECODING,5
2023-06-25,202306,2,527374310031,52737020002,1687415801021,99765060,118,LUMBINI BEVERAGE-NEPAL,CONFIRM CHISO, CONFIRM CHISO COLA/500ML/PBT,80,500ML ,PBT,,1687415801021-lumbini beverage-nepal-confirm chiso#3.png,RECODING,5
2023-06-25,202306,2,425723810097,42572020002,1686064133681,99762349,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO/CG FOODS /JUICE/TPK180+20ML EXTRA/RS25,25,RS25,TPK,Sales Deviation is OK,,CROSS CODING,2
2023-06-25,202306,2,425723810111,42572020005,1686064133681,99762349,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO/CG FOODS /JUICE/TPK180+20ML EXTRA/RS25,25,RS25,TPK,Sales Deviation is OK,,CROSS CODING,2
2023-06-25,202306,2,425724410118,42572020001,1686064133681,99762349,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO/CG FOODS /JUICE/TPK180+20ML EXTRA/RS25,25,RS25,TPK,Sales Deviation is OK,,CROSS CODING,2
2023-06-25,202306,2,425724410108,42572020004,1687226307365,99765061,118,MANAKAMANA FRUIT & BEVERAGE-NP,MAGIC DEW,MAGIC DEW/MANAKAMANA FRUIT& BEVERAG /PET 250/RS 50,50,250ML,PET,Sales Deviation is OK,1687226307365-manakamana fruit - beverage-np-magic dew#3.png,RECODING,5
2023-06-25,202306,2,425723210111,42572020003,1686064133681,99762349,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO/CG FOODS /JUICE/TPK180+20ML EXTRA/RS25,25,RS25,TPK,Sales Deviation is OK,,CROSS CODING,2
2023-06-25,202306,8,5230210003,523020810003,1687242428513,99765062,118,NEPAL M.D FOOD & BEVERAGE-NEPAL,MAZZAKO DEW,MAZZAKO DEW/500ML/PBT,75,500ML ,PBT,Sales Deviation is OK,1687242428513-nepal m-d food - beverage-nepal-mazzako dew#3.png,RECODING,5
2023-06-25,202306,2,129371866,12201020026,1687229906532,99765045,134,SUNSARI FOOD & BEVERAGE UDHYOG NEPAL,AQUA DIAMOND,AQUA DIAMOND  ,20,1LTR,PET,Sales Deviation is OK,1687229906532-sunsari food - beverage udhyog nepal-aqua diamond#3.png,RECODING,5
2023-06-25,202306,2,126709011,31101020072,1687254902720,99765063,134,LEKHANATH FOOD BEVERAGE- NEPAL,LAKECITY,LAKECITY\2000MLJAR\RS:60\LEKHANATHFOOD & BEVRAGE PVT.LTD NEPAL,50,2000ML,JAR,Sales Deviation is OK,1687254902720-lekhanath food beverage- nepal-lakecity#3.png,RECODING,5
