DATE,PERIOD,STORECODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2022-02-28,202202,130359246,1645948657062,99763215.0,122,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,BABA REAL /200GM / PPH,20.0,PPH,200 GM,,1645948657062-baba soap industries - nepal-real shakti.png,RECODING,5
2022-02-28,202202,122277042,1645973337585,99763216.0,126,SAKAMBARIPRODUCT NEPAL,NAAZ,NAAZ 1.4GM,2.5,PPH,1.4GM,,1645973337585-sakambariproduct nepal-naaz.png,RECODING,5
2022-02-28,202202,132990295,1645950892798,99763217.0,123,SHIVSHAKTI SOAP INDUSTRIES NEPAL ,ALFA,ALFA/DETERGENT SOAP/GM 100/EWP/RS 10,10.0,EWP,GM 100,,1645950892798-shivshakti soap industries nepal -alfa.png,RECODING,5
2022-03-01,202202,435872910128,1646027872071,99763224.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN MANIA,HYGEN MANIA/MANGO DRINK/ML 200/TPK/RS 25,25.0,TPK,ML 200,,1646027872071-hygen packs nepal pvt ltd-nepal-hygen mania.png,RECODING,5
2022-03-01,202202,123453021,1646041959188,99763197.0,123,PUJA SOAP & HOUSEHOLD PROD-NPL,MOTI,MOTI LAUNDRY SOAP\200\GM,40.0,PPH,200 GM,New SKU,1646041959188-puja soap - household prod-npl-moti.png,CROSS CODING,2
2022-03-01,202202,123262051,1646036828842,99762539.0,123,HIMGIRI HYGIENE PVT LTD-NEPAL,BIJAYA SUPER,BIJAYA SUPER \150\GM,25.0,PPH,150 GM,New SKU,1646036828842-himgiri hygiene pvt ltd-nepal-bijaya super.png,CROSS CODING,2
2022-03-01,202202,124916559,1646037351142,99763221.0,116,JASMINE HYGIENE PRODUCT-NEPAL ,SAFETY ALWAYS,SAFETY ALWAYS XL PLUS/8 PADS/PPH,70.0,PPH,8 PADS,,1646037351142-jasmine hygiene product-nepal -safety always.png,RECODING,5
2022-03-01,202202,124916559,1646036018774,92525962.0,120,THE HIMALAYA DRUG COMPANY INDIA ,HIMALAYA SINCE 1930,HIMALAYA SINCE 1930/NEEM & TURMERIC SOAP/125GM/ CBP,80.0,CBP,125GM ,,1646036018774-the himalaya drug company india -himalaya since 1930.png,CROSS CODING,2
2022-03-01,202202,124916559,1646036112093,99763225.0,120,THE HIMALAYA DRUG COMPANY INDIA ,HIMALAYA SINCE 1930,HIMALAYA SINCE 1930/NEEM & TURMERIC/75GM/CBP,55.0,CBP,75GM ,,1646036112093-the himalaya drug company india -himalaya since 1930.png,RECODING,5
2022-03-01,202202,125959303,1646034153397,99763226.0,122,NEPCHEM GROUP-NEPAL,NEP-X,NEP-X PREMIUM/500GM/PPH,50.0,PPH ,500GM ,,1646034153397-nepchem group-nepal-nep-x.png,RECODING,5
2022-03-01,202202,125764166,1646028412957,,106,NEW POOJA CONFECTIONARY-NEPAL,SNOW HULLS ,SNOW HULLS/MENTHO-LYPTUS/2.5GM/PPH,1.0,PPH,2.5GM,,1646028412957-new pooja confectionary-nepal-snow hulls .png,PARKER FOR NEXT MONTH,999
2022-03-01,202202,111771761,1645954973447,99763227.0,122,CHIRANJIVI DETERGENT & SOAP-NP,GHADI,API GREEN HERBAL GHADI/180/GM/PPH,20.0,PPH,180 GM,,1645954973447-chiranjivi detergent - soap-np-ghadi.png,RECODING,5
2022-03-01,202202,114623002,1645946972059,99762637.0,123,KWALITY CHEM PVT LTD-NEPAL,BHANU ,BHANU/200/GM/PPH,40.0,PPH,200GM,,1645946972059-kwality chem pvt ltd-nepal-bhanu .png,CROSS CODING,2
2022-03-01,202202,111361128,1645945474164,99763218.0,106,KWALITY CONFECTIONERY-NPL,KACHAA,KACHAA AAM/3/GM/PPH,1.0,PPH,3 GM,,1645945474164-kwality confectionery-npl-kachaa.png,RECODING,5
2022-03-01,202202,111361128,1645943711945,99763231.0,123,BABA SOAP INDUSTRIES - NEPAL,HALO,HALO/300/GM/PPH,60.0,PPH,300 GM,,1645943711945-baba soap industries - nepal-halo.png,RECODING,5
2022-03-01,202202,133008631,1645943433826,99763222.0,116,ANYTIME HYGIENE PVT LTD-NEPAL,ANYTIME ULTRA THIN 8PAD,ANYTIME ULTRA THIN WITH WINGS 8PADS,85.0,PPH ,8 PADS,,1645943433826-anytime hygiene pvt ltd-nepal-anytime ultra thin 8pad.png,RECODING,5
2022-03-02,202202,122528029,1646122112432,,106,D- SWAG INDUSTRIES LIMITED,BOOM BOOM POP MIX FRUIT,BOOM BOOM POP MIX FRUIT\8\GM,5.0,PPH,8GM,New SKU,1646122112432-d- swag industries limited-boom boom pop mix fruit.png,PARKER FOR NEXT MONTH,999
2022-03-02,202203,133203540,1646119186582,99763223.0,116,JOHNSON & JOHNSON - INDIA,SANITARY PAD,STAYFREE SECURE 6 N,72.0,PPH,6N 320MM,,1646119186582-johnson - johnson - india-sanitary pad.png,RECODING,5
2022-03-02,202203,133925602,1646111446275,99763219.0,106,MILTON CONFECTIONERY LLP,NARIYAL MALAI, MARKONARIYAL MALAI 3G,1.0,PPH,3G,,1646111446275-milton confectionery llp-nariyal malai.png,RECODING,5
2022-03-02,202203,133925602,1646112811364,99763232.0,123,GOLDEN STAR SOAP IND-NEPAL,SMART CLEAN,HERO 250 G,40.0,PPH,250 G,,1646112811364-golden star soap ind-nepal-smart clean.png,RECODING,5
2022-03-02,202203,133925602,1646113041280,99763228.0,122,GOLDEN STAR SOAP IND-NEPAL,DETERGENT POWDER TAAZA,TAAZA 200G,20.0,PPH,200G,,1646113041280-golden star soap ind-nepal-detergent powder taaza.png,RECODING,5
2022-03-02,202203,133925602,1646112347771,99763233.0,123,PATANJALI AYURVED PVT LTD-INDIA,PATANJALI SUPER ,PATANJALI SUPER 160 G,16.0,EWP,160 G,,1646112347771-patanjali ayurved pvt ltd-india-patanjali super .png,RECODING,5
2022-03-02,202203,133925602,1646112129571,99763234.0,123,GOLDEN STAR SOAP IND-NEPAL,UNIK HERBAL,UNIK HERBAL 200G,20.0,PPH,200G ,,1646112129571-golden star soap ind-nepal-unik herbal.png,RECODING,5
2022-03-02,202203,133925602,1646113228115,99763092.0,122,SHIV SHAKTI OIL& FATS PVT. LTD,DETERGENT POWDER URJA,URJA 200G,18.0,PPH,200G,,1646113228115-shiv shakti oil- fats pvt- ltd-detergent powder urja.png,CROSS CODING,2
2022-03-02,202203,133925602,1646111687575,99763220.0,106,GUANGDONG HAOLIYUAN FOOD CO.LTD,CHEWU CANDY,CHEWU CANDY CORN3.5G,5.0,PPH,3.5,,1646111687575-guangdong haoliyuan food co-ltd-chewu candy.png,RECODING,5
2022-03-02,202202,114369812,1646120125207,99763229.0,122,SHINE KANCHAN SOAP&CHEM IND-NP,KANCHAN,KANCHAN/700+10/GM/PPH,50.0,PPH,700+10 GM,,1646120125207-shine kanchan soap-chem ind-np-kanchan.png,RECODING,5
2022-03-02,202202,114369812,1646119922870,99762726.0,123,HIMGIRI HYGIENE PVT LTD-NEPAL,BIJAYA SUPER,BIJAYA SUPER/125/GM/PPH,25.0,PPH,125 GM,,1646119922870-himgiri hygiene pvt ltd-nepal-bijaya super.png,CROSS CODING,2
2022-03-02,202203,123328648,1646132110557,99763236.0,126,PARAS PRODUCTS NEPAL,SWEETY SUPARI,SWEETY SUPARI KESAR SCENTED 1.875G,2.5,PPH,1.875G,,1646132110557-paras products nepal-sweety supari.png,RECODING,5
