DATE,PERIOD,STORECODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2022-05-26,202205,130366006,1653381367292,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1653381367292-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2
2022-05-26,202205,131076027,1653378756582,99763704.0,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,MOUNTAIN DEW\250ML\PBT,32.0,PBT,250ML,,1653378756582-pepsi cola cmpny imprtd-imprtd-mountain dew.png,RECODING,5
2022-05-26,202205,1021134501781,1653391856924,99763705.0,125,GREEN TOBACOO COMPANY PVT LTD,SUPER LIKE,SUPER LIKE 20 GM,35.0,PPH,20 GM,Any other reason,1653391856924-green tobacoo company pvt ltd-super like.png,RECODING,5
2022-05-30,202205,132577913,1653810068971,,106,DABUR NEPAL LTD.-NEPAL,HAJMOLA CANDY ,HAJMOLA CANDY REGULAR ,1.0,SCT ,3 GM,,1653810068971-dabur nepal ltd--nepal-hajmola candy .png,DELETE THE ITEM,1
2022-05-30,202205,132577913,1653545841453,99763706.0,106,HENSHI INTERNATIONAL - INDIA,SEEMA ATAM BOMB,SEEMA ATAM BOMB\2\GM,1.0,PPH,2 GM,,1653545841453-henshi international - india-seema atam bomb.png,RECODING,5
2022-05-30,202205,132121849,1653810068971,,106,DABUR NEPAL LTD.-NEPAL,HAJMOLA CANDY ,HAJMOLA CANDY REGULAR ,1.0,SCT ,3 GM,,1653810068971-dabur nepal ltd--nepal-hajmola candy .png,DELETE THE ITEM,1
2022-05-30,202205,132130293,1653806487681,99763665.0,116,JAY MATA DI SANITARY UDHYOG-NP,STAYFEE COMFORT,STAYFREE \6\NOS,55.0,PPH,6 NOS,,1653806487681-jay mata di sanitary udhyog-np-stayfee comfort.png,CROSS CODING,2
2022-05-30,202205,124775456,1653808158810,99763516.0,118,DABUR NEPAL LTD.-NEPAL,REAL MANGO ,REAL MANGO \1000\ML,160.0,PET,1000ML,New SKU,1653808158810-dabur nepal ltd--nepal-real mango .png,CROSS CODING,2
2022-05-30,202205,1220102369,1653541847644,99763719.0,125,NEW KUBER LABORATORIES GHARELU UDHYOG,P.P CHHAP,P.P CHHAP  ,15.0,PPH,16.66,,1653541847644-new kuber laboratories gharelu udhyog-p-p chhap.png,RECODING,5
2022-05-30,202205,124916559,1653650974531,99763724.0,132,THE HIMALAYA DRUG COMPANY INDIA ,HIMALAYA TOTAL CARE BABY PANTS,HIMALAYA TOTAL CARE/BABY PANTS WITH ANTI-RASH SHIELD XL/54 PANTS/PPH,999.0,PPH,54 PANTS,,1653650974531-the himalaya drug company india -himalaya total care baby pants.png,RECODING,5
2022-05-30,202205,126355065,1653623865311,99763713.0,118,PEPSICO INDIA-INDIA,MOUNTAIN DEW,MOUNTAIN DEW/1.25L/PBT,150.0,PBT,1.25L,,1653623865311-pepsico india-india-mountain dew.png,RECODING,5
2022-05-30,202205,125764166,1653618584562,,121,NICE CONFECTIONERY INDIA,BYE-BYE MR.BIG ,BYE-BYE MR.BIG/CHOCOLATE/7GM/PPH,2.0,PPH,7 GM,,1653618584562-nice confectionery india-bye-bye mr-big .png,DELETE THE ITEM,1
2022-05-30,202205,123453021,1653636373836,99763717.0,122,MAHASHAKTI SOAP & CHEM.- NEPAL,LION DETERGENT POWER,LION DETERGENT POWER\200\GM,20.0,PPH,200 GM,New SKU,1653636373836-mahashakti soap - chem-- nepal-lion detergent power.png,RECODING,5
2022-05-30,202205,131545839,1653546489448,,106,DABUR NEPAL LTD.-NEPAL,DABUR HAJMOLA PUDINA ,DABUR HAJMOLA PUDINA,1.0,PPH,3 GM,,1653546489448-dabur nepal ltd--nepal-dabur hajmola pudina .png,DELETE THE ITEM,1
2022-05-30,202205,130944237,1653545841453,99763706.0,106,HENSHI INTERNATIONAL - INDIA,SEEMA ATAM BOMB,SEEMA ATAM BOMB\2\GM,1.0,PPH,2 GM,,1653545841453-henshi international - india-seema atam bomb.png,RECODING,5
2022-05-30,202205,131065174,1653627687880,99763707.0,106,KING NUTRI FOOD-INDIA,TENGI TREAT ,TENGI TREAT\2.8GM\PPH\MASALA CANDY ,0.8,PPH,2.8GM,,1653627687880-king nutri food-india-tengi treat .png,RECODING,5
2022-05-30,202205,124865093,1653538357445,99763709.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/MIXED FRUIT/1000ML/PBT,150.0,PBT,1000ML,,1653538357445-dabur nepal ltd--nepal-real fruit power.png,RECODING,5
2022-05-30,202205,124865093,1653540827048,51967.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,TPK,200ML ,,1653540827048-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,CROSS CODING,2
2022-05-30,202205,124865093,1653537465733,99763710.0,118,MEGA FOODS & BEVERAGE-NEPAL,MEGA UTSAV,MEGA UTSAV/MANGO/250ML/PBT,40.0,PBT,250ML ,,1653537465733-mega foods - beverage-nepal-mega utsav.png,RECODING,5
2022-05-30,202205,124567392,1653535427662,99763720.0,130,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY DOTTED ,D'LAY DOTTED CONDOMS/BLUE BERRY/3 PCS/CBP,50.0,CBP,3 UNITS,,1653535427662-safe guard contracptvs p lt-in-d-lay dotted .png,RECODING,5
2022-05-30,202205,124567392,1653535533617,99763721.0,130,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY DOTTED ,D'LAY DOTTED CONDOMS/MINT/3 PCS/CBP,50.0,CBP,3 UNITS,,1653535533617-safe guard contracptvs p lt-in-d-lay dotted .png,RECODING,5
2022-05-30,202205,124567392,1653535275671,99763722.0,130,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY DOTTED ,D'LAY DOTTED CONDOMS/CHOCOLATE/3 PCS/CBP,50.0,CBP,3 UNITS,,1653535275671-safe guard contracptvs p lt-in-d-lay dotted .png,RECODING,5
2022-05-30,202205,124567392,1653535689636,99763723.0,130,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY DOTTED ,D'LAY DOTTED CONDOMS/BANANA/3 PCS/CBP,50.0,CBP,3 UNITS,New Category,1653535689636-safe guard contracptvs p lt-in-d-lay dotted .png,RECODING,5
2022-05-30,202205,124567392,1653534171842,99763258.0,130,MHL HEALTHCARE LTD-INDIA,FIRE XTACY,FIRE XTACY 6IN1/SIX FEATURES WITH EXTRA TIME/3 UNITS/CBP,80.0,CBP,3 UNITS,,1653534171842-mhl healthcare ltd-india-fire xtacy.png,CROSS CODING,2
2022-05-30,202205,131506983,1653546489448,,106,DABUR NEPAL LTD.-NEPAL,DABUR HAJMOLA PUDINA ,DABUR HAJMOLA PUDINA,1.0,PPH,3 GM,,1653546489448-dabur nepal ltd--nepal-dabur hajmola pudina .png,DELETE THE ITEM,1
2022-05-30,202205,131506983,1653545841453,99763706.0,106,HENSHI INTERNATIONAL - INDIA,SEEMA ATAM BOMB,SEEMA ATAM BOMB\2\GM,1.0,PPH,2 GM,,1653545841453-henshi international - india-seema atam bomb.png,RECODING,5
2022-05-30,202205,131506983,1653547068698,99763718.0,122,PRABHU SOAP INDUSTRIES-NEPAL,GHODAGHODI OXIPOWER,GHODAGHODI OXIPOWER\1000\GM,100.0,PPH,1000 GM,,1653547068698-prabhu soap industries-nepal-ghodaghodi oxipower.png,RECODING,5
2022-05-30,202205,113599828,1653554728596,99763714.0,118,SHAVAGITA WATER & BEVERAGE PVT LTD,AQUA CHHU,AQUA CHHU/PBT/1000ML/SHAVAGITA WATER & BEVERAGE/,20.0,PBT,1000ML,Invoices not available,1653554728596-shavagita water - beverage pvt ltd-aqua chhu.png,RECODING,5
2022-05-30,202205,130851344,1653551662041,99763708.0,118,AMRAPALI BEVERAGE-NEPAL,KOOL BADAM,KOOL BADAM\180ML\CAN\ALMOD &SAFFRON,95.0,CAN,180ML,,1653551662041-amrapali beverage-nepal-kool badam.png,RECODING,5
2022-05-30,202205,129024634,1653541978136,99763712.0,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,STING,STING\250ML\PBT\ENERGY DRINK ,32.0,PBT,250ML,,1653541978136-pepsi cola cmpny imprtd-imprtd-sting.png,RECODING,5
2022-05-30,202205,129024634,1653542434716,99763715.0,118,VENTURA BOTTLERS PVT LTD-NEPAL,RC COLA,RC COLA\500ML\PBT\,70.0,PBT,500ML,,1653542434716-ventura bottlers pvt ltd-nepal-rc cola.png,RECODING,5
2022-05-30,202205,129024634,1653543128526,99763716.0,118,VENTURA BOTTLERS PVT LTD-NEPAL,MIGHTY RAIN,MIGHTY RAIN\250ML\PBT,40.0,PBT,250ML,,1653543128526-ventura bottlers pvt ltd-nepal-mighty rain.png,RECODING,5
2022-05-30,202205,129024634,1653543656534,99763711.0,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\300ML\PBT\MANGO,32.0,PBT,300ML,,1653543656534-parle agro pvt ltd-india-frooti.png,RECODING,5
2022-05-31,202205,124683707,1653892204683,99763729.0,116,PAGODA INTERNATIONAL LTD-NPL,BEAUTY PLUS,BEAUTY PLUS/SUPER ABSORBABLE POWER WITH WINGS/7 PADS/PPH,50.0,PPH,7 PADS,,1653892204683-pagoda international ltd-npl-beauty plus.png,RECODING,5
2022-05-31,202205,126893914,1653881625520,99763725.0,106,SUJAL FOODS PVT LTD-NEPAL,SMART LOLLYPOP,SMART LOLLYPOP/10GM/PPH/PULPY ORANGE/SUJAL FOODS PVT LTD-NEPAL,5.0,PPH,10GM,,1653881625520-sujal foods pvt ltd-nepal-smart lollypop.png,RECODING,5
2022-05-31,202205,233775810010,1653899455215,99763730.0,118,NATIONAL WATER & BEVERAGE PVT LTD-NP,NATIONAL ,NATIONAL\1000ML\PBT\,20.0,PBT,100ML,,1653899455215-national water - beverage pvt ltd-np-national .png,RECODING,5
2022-05-31,202205,233775810010,1653899725111,99763731.0,118,SAARANG INTNL FOOD & BEV-INDIA,MAHI,MAHI\600ML\PBT\MANGO,64.0,PBT,600ML,,1653899725111-saarang intnl food - bev-india-mahi.png,RECODING,5
2022-05-31,202205,233775810007,1653899455215,99763730.0,118,NATIONAL WATER & BEVERAGE PVT LTD-NP,NATIONAL ,NATIONAL\1000ML\PBT\,20.0,PBT,100ML,,1653899455215-national water - beverage pvt ltd-np-national .png,RECODING,5
2022-05-31,202205,124771648,1653899363628,99763727.0,110,PREM GREEN P LTD,ENEGA 1 NATURAL BLACK CREAM HAIR COLOUR,ENEGA 1 NATURAL BLACK CREAM HAIR COLOUR\20\GM\20\ML,55.0,PPH,20 ML 20 GM,New SKU,1653899363628-prem green p ltd-enega 1 natural black cream hair colour.png,RECODING,5
