DATE,PERIOD,STORECODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2022-09-15,202209,123455987,1663135648290,99764151.0,122,KWALITY SOAPS & CHEM. - NEPAL,SHAKTI DETERGENT,SHAKTI DETERGENT POWER PPH 200 GM,20.0,PPH,200,New SKU,1663135648290-kwality soaps - chem- - nepal-shakti detergent.png,RECODING,5
2022-09-15,202209,125764166,1663132366805,,106,NICE CONFECTIONERY-INDIA,BYE-BYE MR.BIG,BYE-BYE MR.BIG/CHOCOLATE/6GM/PPH,2.0,PPH,6GM,,1663132366805-nice confectionery-india-bye-bye mr-big.png,DELETE THE ITEM,1
2022-09-15,202209,125764166,1663132100862,99764155.0,106,MAYUR FOOD INDUSTRIES INDIA,FAIRY,FAIRY/FRUIT LOLLY POP/10GM/PPH,5.0,PPH,10GM,,1663132100862-mayur food industries india-fairy.png,RECODING,5
2022-09-15,202209,123262051,1663054491103,99764154.0,123,UNIQUE SOAP & CHEMICAL IND.-NEPAL,UNIQUE FRESH,UNIQUE FRESH DISHWASH BAR PPH200 GM,20.0,PPH,200 GM,,1663054491103-unique soap - chemical ind--nepal-unique fresh.png,RECODING,5
2022-09-15,202209,124631722,1663050019165,99764152.0,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES GHARI/400GM/PPH,60.0,PPH,400GM ,,1663050019165-gopal soap industries - nepal-v series.png,RECODING,5
2022-09-15,202209,124631722,1663049763411,99764153.0,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V-SERIES/ROSE & LEMON/500GM/PPH,50.0,PPH,500GM ,,1663049763411-gopal soap industries - nepal-v series.png,RECODING,5
2022-09-15,202209,130626862,1663064034679,,106,SUGAR BOILED CONFECTIONARY,SLICE,RAAS,1.0,PPH,2.2,,1663064034679-sugar boiled confectionary-slice.png,DELETE THE ITEM,1
2022-09-16,202209,128997655,1663216220189,99764157.0,117,UNILEVER NEPAL LTD-NEPAL,SUNSILK NUTRITIVE SOLUTIONS ,SUNSILK NUTRITIVE SOLUTIONS/INTENSE REPAIR/640ML/PBT,595.0,PBT,640ML,,1663216220189-unilever nepal ltd-nepal-sunsilk nutritive solutions .png,RECODING,5
2022-09-16,202209,128997655,1663216365847,99764158.0,117,UNILEVER NEPAL LTD-NEPAL,SUNSILK NUTRITIVE SOLUTIONS ,DOVE NUTRITIVE SOLUTIONS/DAILY SHINE/625ML/PBT,615.0,PBT,625ML,,1663216365847-unilever nepal ltd-nepal-sunsilk nutritive solutions .png,RECODING,5
2022-09-16,202209,128997655,1663216075491,99764159.0,117,UNILEVER NEPAL LTD-NEPAL,SUNSILK NUTRITIVE SOLUTIONS ,DOVE NUTRITIVE SOLUTIONS/NOURISHING OIL CARE/625ML/PBT,615.0,PBT,625ML,,1663216075491-unilever nepal ltd-nepal-sunsilk nutritive solutions .png,RECODING,5
2022-09-16,202209,128997655,1663217720081,99764156.0,111,EMAMI LTD. -INDIA,7OILS IN ONE BLENDS FOR DAMAGE CONTROL ,EMAMI 7OILS IN ONE/ALMOND+JOJOBA+CARROT SEED+AMLA+COCONUT+WALNUT/100ML/PBT,70.0,PBT,100ML,,1663217720081-emami ltd- -india-7oils in one blends for damage control .png,RECODING,5
2022-09-16,202209,124567392,1663213588447,99764161.0,130,SUSHMITA CONCERN PVT.LTD NEPAL ,ACTIVX,ACTIV X/MIX FRUIT DOTTED/3PCS/CBP,50.0,CBP,3UNITS,,1663213588447-sushmita concern pvt-ltd nepal -activx.png,RECODING,5
