DATE,PERIOD,AUDITYPE,STORECODE,DLRCODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
23/09/2024,202409,2,129024634,22101020014,1726972025844,99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP NIMBOOZ,7 UP NIMBOOZ\350ML\PBT\LEMON JUICE ,32,350ML,PBT,,1726972025844-pepsi cola cmpny imprtd-imprtd-7 up nimbooz#3.png,RECODING,5
23/09/2024,202409,2,127522802,31101020106,1726907256316,99764023,118,MANAKAMANA FRUIT & BEVERAGE-NP,FRESTA ,FRESTA ORANGE\1500ML\PET\RS:190\MANAKAMANA FRUIT &BEVRAGE PVT.LTD NEPAL,190,1500,PET,,1726907256316-manakamana fruit - beverage-np-fresta #3.png,CROSS CODING,2
23/09/2024,202409,3,1220102372,12201030159,1725604245386,99765303,125,RADHA KRISHNA PRODUCTS,PADUKA SUPER POWER,PADUKA SUPER POWER-PADUKA-REGULAR-PLAST-9GM,20,PPH,9GM,,1725604245386-radha krishna products-paduka super power#3.png,RECODING,5
23/09/2024,202409,3,1220102368,12201030163,1725604245386,99765303,125,RADHA KRISHNA PRODUCTS,PADUKA SUPER POWER,PADUKA SUPER POWER-PADUKA-REGULAR-PLAST-9GM,20,PPH,9GM,,,RECODING,5
23/09/2024,202409,2,121838548,31101020068,1726814281194,99765298,118,RAYBOT SPRINGS MINERAL WATER PVT.LTD NEPAL,RELIEF,RELIEF NIMBU PANI\250ML\PET\RS:50\RAYBOT SPRINGS MINERAL WATER PVT.LTD NEPAL,50,250ML,PET,,1726814281194-raybot springs mineral water pvt-ltd nepal-relief#3.png,RECODING,5
23/09/2024,202409,2,111982481,12101020003,1726711120263,99765300,134,DABUR NEPAL LTD.-NEPAL,DYNAMITE ,DYNAMITE ENERGY DRINK ,60,250 ML.,PET,,1726711120263-dabur nepal ltd--nepal-dynamite #3.png,RECODING,5
23/09/2024,202409,2,122167896,31101020073,1726643794277,99765300,134,DABUR NEPAL LTD.-NEPAL,DYNAMITE,DYNAMITE GOLDE SPARK PBT 250 ML ,60,250 ML,PBT,,1726643794277-dabur nepal ltd--nepal-dynamite#3.png,RECODING,5
23/09/2024,202409,2,111655672,21102020065,1726646049776,99765299,134,RAYBOT SPRINGS MINERAL WATER PVT.LTD,RAYBOT REFRESH,RAYBOT REFRESH FRUIT DRINK/PBT/250ML/RS 50,50,250ML,PBT,,1726646049776-raybot springs mineral water pvt-ltd-raybot refresh#3.png,RECODING,5
23/09/2024,202409,2,111744005,12101020034,1725618803218,99765297,134,RUPSHAN PRASODHIT KHANEPANI UDHYOG NEPAL,AQUA PURE LIFE,AQUA PURE LIFE PET.-1000ML.,20,1000ML.,PET,,,RECODING,5
23/09/2024,202409,3,1220102386,12201030158,1725604245386,99765303,125,RADHA KRISHNA PRODUCTS,PADUKA SUPER POWER,PADUKA SUPER POWER-PADUKA-REGULAR-PLAST-9GM,20,PPH,9GM,,,RECODING,5
23/09/2024,202409,2,232113810229,23211020002,1726227747307,99765302,134,PRAGATI CHEMICAL-INDIA,MZP'S LITCHI,MZP'S LITCHI\150ML+20ML FREE\PBT\LITCHI FLAVOUR ,20,150ML+20ML FREE,PBT,,1726227747307-pragati chemical-india-mzp-s litchi#3.png,RECODING,5
