t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2022-03-25,202203,124331162,1648102816350,99763433.0,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25.0,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,1,99763433,72.439865,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,LS WATER & BEVERAGE-NEPAL ,IMJA WATER,IMJA WATER,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
2022-03-25,202203,124689791,1648102816350,99763433.0,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25.0,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,1,99763433,72.439865,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,LS WATER & BEVERAGE-NEPAL ,IMJA WATER,IMJA WATER,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
2022-03-25,202203,126638495,1648102816350,99763433.0,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25.0,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,1,99763433,72.439865,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,LS WATER & BEVERAGE-NEPAL ,IMJA WATER,IMJA WATER,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
2022-03-28,202203,128180941,1648102816350,99763433.0,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25.0,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,1,99763433,72.439865,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,LS WATER & BEVERAGE-NEPAL ,IMJA WATER,IMJA WATER,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
2022-03-25,202203,128421590,1648102816350,99763433.0,118,LS WATER & BEVERAGE-NEPAL ,IMJA WATER ,IMJA WATER/1000ML/PBT,25.0,PBT,1000ML ,,1648102816350-ls water - beverage-nepal -imja water .png,RECODING,5,1,99763433,72.439865,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,LS WATER & BEVERAGE-NEPAL ,IMJA WATER,IMJA WATER,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
2022-03-28,202203,122193104,1648118457370,99763449.0,122,CLEAN AID NEPAL P LTD-NEPAL,AONE,AONE OXYGEN POWER 900 GM,70.0,PPH,900GM,,1648118457370-clean aid nepal p ltd-nepal-aone.png,RECODING,5,1,99763449,144.14409,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,CLEAN AID NEPAL P LTD-NEPAL,AONE,AONE,AONE-STAIN CHAMPION OXY POWER PPH 900 GM,PLPCH,900.000 GM,,,900.0,GM,70.0,1,True,high
2022-03-26,202203,1220102347,1648136346655,99763451.0,125,B.P NEPAL,B.P,B.P ,20.0,PPH,25G,,1648136346655-b-p nepal-b-p.png,RECODING,5,1,99763451,120.56509,125,KHAINI,KHAINI,KHAINI,B.P. NEPAL-NEPAL,B.P.,B.P.,25G KHAINI,PLAST,25G,REGULAR,,25.0,GM,20.0,1,True,high
2022-03-28,202203,1220102389,1648136346655,99763451.0,125,B.P NEPAL,B.P,B.P ,20.0,PPH,25G,,1648136346655-b-p nepal-b-p.png,RECODING,5,1,99763451,120.56509,125,KHAINI,KHAINI,KHAINI,B.P. NEPAL-NEPAL,B.P.,B.P.,25G KHAINI,PLAST,25G,REGULAR,,25.0,GM,20.0,1,True,high
2022-03-26,202203,123262051,1648188562351,99763445.0,122,KWALITY SOAPS & CHEM. - INDIA,SUPER ACTIVE 123,SUPER ACTIVE 123\500\GM,50.0,PPH,500GM,New SKU,1648188562351-kwality soaps - chem- - india-super active 123.png,RECODING,5,1,99763547,161.20496,120,TOILET SOAP-NP,TOILET SOAP,TOILET SOAP,BE ACTIVE PHARMACEUTICALS-INDIA,PERMACON,PERMACON,PERMACON- PERMETHRIN SOAP CBP 75 GM,CDBOX,75.000 GM,,,75.0,GM,165.0,0,False,rejected
2022-03-26,202203,111941871,1648190481559,99763111.0,123,GOPAL SOAP INDUSTRIES - NEPAL,V-SERIES XPERT HERBAL DISHWASH BAR PPH.85 GM.+15GM. ,V-SERIES XPORT,10.0,PPH,85 GM.,,1648190481559-gopal soap industries - nepal-v-series xpert herbal dishwash bar pph-85 gm--15gm- .png,CROSS CODING,2,1,54989,101.37566,123,WASHING CAKE & DISHWASH BAR-NP,WASHING CAKE & DISHWASH BAR,DISHWASH BAR,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES PLUS,V SERIES PLUS- HRBL DISHWASH PPH 170 GM+30GM EX,PLPCH,170.000 GM,,,200.0,GM,0.0,0,False,rejected
2022-03-26,202203,129024634,1648190690817,99763442.0,118,HINDUSTAN COCA COLA CMPNY-IND,SPRITE ,SPRITE \250ML\PBT\,32.0,PBT,250ML,,1648190690817-hindustan coca cola cmpny-ind-sprite .png,RECODING,5,1,20120706,110.37129,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,HINDUSTAN COCA COLA CMPNY-IND,SPRITE,SPRITE,PET 1250 ML,PET,1250.000 ML,LEMON,,1250.0,ML,0.0,0,False,rejected
2022-03-26,202203,129024634,1648190926981,99763440.0,118,HINDUSTAN COCA COLA CMPNY-IND,COCA-COLA,COCA COLA\250ML\PBT,32.0,PBT,250ML,,1648190926981-hindustan coca cola cmpny-ind-coca-cola.png,RECODING,5,1,20120704,103.773186,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,HINDUSTAN COCA COLA CMPNY-IND,COCA-COLA,COCA-COLA,PET 1250 ML,PET,1250.000 ML,COLA,,1250.0,ML,0.0,0,False,rejected
2022-03-26,202203,129024634,1648191098200,99763441.0,118,HINDUSTAN COCA COLA CMPNY-IND,FANTA ORANGE,FANTA\250ML\PBT\ORANGE,32.0,PBT,250ML,,1648191098200-hindustan coca cola cmpny-ind-fanta orange.png,RECODING,5,1,20110678,95.608574,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,HINDUSTAN COCA COLA CMPNY-IND,FANTA,FANTA ORANGE,ORANGE PET 1500 ML,PET,1500.000 ML,ORANGE,,1500.0,ML,0.0,0,False,rejected
2022-03-26,202203,123453021,1648191274780,99763197.0,123,PUJA SOAP & HOUSEHOLD PROD-NPL,MOTI LAUNDRY SOAP,MOTI LAUNDRY SOAP\200\GM,40.0,PPH,200GM,New SKU,1648191274780-puja soap - household prod-npl-moti laundry soap.png,CROSS CODING,2,1,99763197,97.8501,123,WASHING CAKE & DISHWASH BAR-NP,WASHING CAKE & DISHWASH BAR,WASHING CAKE,PUJA SOAP & HOUSEHOLD PROD-NPL,MOTI,MOTI,MOTI-LAUNDRY SOAP PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,40.0,1,True,high
2022-03-26,202203,111941871,1648191919804,99763347.0,120,GODREJ CONSUMER PRODUCTS-INDIA,GODREJ NO.1 BEAUTY SOAP ROSEWATER ALMOND ,GODREJ NO.1 BEAUTY SOAP ROSEWATER ALMOND EWP 4Ã—100 GM.SAVE RS.15.00,125.0,EWP,100GM.,,1648191919804-godrej consumer products-india-godrej no-1 beauty soap rosewater almond .png,CROSS CODING,2,1,99763347,50.30403,120,TOILET SOAP-NP,TOILET SOAP,TOILET SOAP,GODREJ CONSUMER PRODUCTS-INDIA,GODREJ,GODREJ NO.1 BEAUTY SOAP,GODREJ NO.1 BEAUTY SOAP-ROSEWATR ALMOND EWP 4*100G+SAVE RS 15,EWRPK,100.000 GM,,,400.0,GM,125.0,1,True,high
