t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2023-04-10,202304,2,131343819,52201020001,1680853322789,99764966.0,118,BOTTLERS NEPAL - NEPAL,SPRITE ,SPRITE/2.25L/ML/PET/LEMON/80GM 2PM NOODLES FREE,260.0,PET,2.25L,,1680853322789-bottlers nepal - nepal-sprite #3.png,RECODING,5,1,99764966,27.40432,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,SPRITE PET 2250 ML+2 PM AKABARE NOODLES 80 GM FREE,PET,2250.000 ML,LEMON,,2250.0,ML,260.0
2023-04-10,202304,2,131343819,52201020001,1680853322789,99764966.0,118,BOTTLERS NEPAL - NEPAL,SPRITE ,SPRITE/2.25L/ML/PET/LEMON/80GM 2PM NOODLES FREE,260.0,PET,2.25L,,1680853322789-bottlers nepal - nepal-sprite #3.png,RECODING,5,2,20150012,47.891617,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 1500 ML+75GM MAYOS NOODLES,PET,1500.000 ML,LEMON,,1500.0,ML,0.0
2023-04-10,202304,2,131343819,52201020001,1680853322789,99764966.0,118,BOTTLERS NEPAL - NEPAL,SPRITE ,SPRITE/2.25L/ML/PET/LEMON/80GM 2PM NOODLES FREE,260.0,PET,2.25L,,1680853322789-bottlers nepal - nepal-sprite #3.png,RECODING,5,3,99765140,52.29323,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,SPRITE PET 2250 ML+250 ML SPRITE FREE,PET,2250.000 ML,LEMON,,2250.0,ML,270.0
2023-04-10,202304,2,125080826,21301020003,1681030084943,99764967.0,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER MASALA COLA FIZZIN,REAL FRUIT POWER MASALA COLA FIZZIN\150\ML,30.0,PET,150 ML,New SKU,1681030084943-dabur nepal ltd--nepal-real fruit power masala cola fizzin#3.png,RECODING,5,1,99764967,34.87796,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER FIZZIN,MASALA COLA MINI PET 150 ML,PET,150.000 ML,JEERA,,150.0,ML,30.0
2023-04-10,202304,2,125080826,21301020003,1681030084943,99764967.0,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER MASALA COLA FIZZIN,REAL FRUIT POWER MASALA COLA FIZZIN\150\ML,30.0,PET,150 ML,New SKU,1681030084943-dabur nepal ltd--nepal-real fruit power masala cola fizzin#3.png,RECODING,5,2,99764980,62.04776,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER FIZZIN,NIMBU MINI PET 150 ML,PET,150.000 ML,LEMON,,150.0,ML,30.0
2023-04-10,202304,2,125080826,21301020003,1681030084943,99764967.0,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER MASALA COLA FIZZIN,REAL FRUIT POWER MASALA COLA FIZZIN\150\ML,30.0,PET,150 ML,New SKU,1681030084943-dabur nepal ltd--nepal-real fruit power masala cola fizzin#3.png,RECODING,5,3,99764981,70.102844,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER FIZZIN,APPLE MINI PET 150 ML,PET,150.000 ML,APPLE,,150.0,ML,30.0
2023-04-10,202304,2,124917435,52202020014,1680853322789,99764966.0,118,BOTTLERS NEPAL - NEPAL,SPRITE ,SPRITE/2.25L/ML/PET/LEMON/80GM 2PM NOODLES FREE,260.0,PET,2.25L,,1680853322789-bottlers nepal - nepal-sprite #3.png,RECODING,5,1,99764966,27.40432,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,SPRITE PET 2250 ML+2 PM AKABARE NOODLES 80 GM FREE,PET,2250.000 ML,LEMON,,2250.0,ML,260.0
2023-04-10,202304,2,124917435,52202020014,1680853322789,99764966.0,118,BOTTLERS NEPAL - NEPAL,SPRITE ,SPRITE/2.25L/ML/PET/LEMON/80GM 2PM NOODLES FREE,260.0,PET,2.25L,,1680853322789-bottlers nepal - nepal-sprite #3.png,RECODING,5,2,20150012,47.891617,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,PET 1500 ML+75GM MAYOS NOODLES,PET,1500.000 ML,LEMON,,1500.0,ML,0.0
2023-04-10,202304,2,124917435,52202020014,1680853322789,99764966.0,118,BOTTLERS NEPAL - NEPAL,SPRITE ,SPRITE/2.25L/ML/PET/LEMON/80GM 2PM NOODLES FREE,260.0,PET,2.25L,,1680853322789-bottlers nepal - nepal-sprite #3.png,RECODING,5,3,99765140,52.29323,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,SPRITE PET 2250 ML+250 ML SPRITE FREE,PET,2250.000 ML,LEMON,,2250.0,ML,270.0
2023-04-10,202304,3,121890787,12303030041,1680867943602,99764972.0,125,BALAJI SURTIUDHYOG,BH SUPER POWER,BG SUPER POWER PPH 10GM,25.0,PPH,10GM,,1680867943602-balaji surtiudhyog-bh super power#3.png,RECODING,5,1,99765278,120.50429,125,PUJA SURTI UDHYOG,BABLU,BABLU SUPER POWER,10G KHAINI,PLAST,10G,REGULAR,,10.0,GM,35.0
2023-04-10,202304,3,121890787,12303030041,1680867943602,99764972.0,125,BALAJI SURTIUDHYOG,BH SUPER POWER,BG SUPER POWER PPH 10GM,25.0,PPH,10GM,,1680867943602-balaji surtiudhyog-bh super power#3.png,RECODING,5,2,99762281,123.3091,125,SAHU SURTI BHANDAR,SUPER POWER,SUPER POWER,10G KHAINI,PLAST,10G,REGULAR,,10.0,,0.0
2023-04-10,202304,3,121890787,12303030041,1680867943602,99764972.0,125,BALAJI SURTIUDHYOG,BH SUPER POWER,BG SUPER POWER PPH 10GM,25.0,PPH,10GM,,1680867943602-balaji surtiudhyog-bh super power#3.png,RECODING,5,3,99762310,123.3091,125,SAHU SURTI BHANDAR,SUPER POWER,SUPER POWER,10G KHAINI,PLAST,10G,REGULAR,,10.0,,0.0
