t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2023-08-09,202308,2,126901159,52202020008,1691383288403,99765080,134,SETI BEVERAGE INDUSTRIES NEPAL ,SETI JAL,SETI JAL/DRINKING WATER/1000ML/PBT,25,1000ML ,PBT,Sales Deviation is OK,,RECODING,5,1,99765080,111.79584,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,SETI BEVERAGE INDUSTRIES-NEPAL,SETI JAL,SETI JAL,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0,1,True,high
2023-08-09,202308,2,129024634,22101020014,1691472506125,99765079,118,PARLE AGRO PVT LTD-INDIA,APPY FIZZ APPLE,APPY FIZZ\250ML\PBT\APPLE FLAVOUR ,40,250ML,PBT,,,RECODING,5,3,99765079,123.47691,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,PARLE AGRO PVT LTD-INDIA,APPY,APPY FIZZ APPLE,APPLE PET 250 ML,PET,250.000 ML,APPLE,,250.0,ML,40.0,3,True,high
2023-08-28,202308,2,231732610191,23173020010,1691472506125,99765079,118,PARLE AGRO PVT LTD-INDIA,APPY FIZZ APPLE,APPY FIZZ\250ML\PBT\APPLE FLAVOUR ,29,250ML,PBT,Sales Deviation is OK,,RECODING,5,3,99765079,123.67037,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,PARLE AGRO PVT LTD-INDIA,APPY,APPY FIZZ APPLE,APPLE PET 250 ML,PET,250.000 ML,APPLE,,250.0,ML,40.0,3,True,high
2023-08-16,202308,3,1220100019,12201030025,1691569788208,99765086,105,GORKHA LAHARI PVT.LTD.- NEPAL,ACTION LIGHTS,ACTION LIGHTS,115,20NOS,HL,,1691569788208-gorkha lahari pvt-ltd-- nepal-action lights#3.png,RECODING,5,1,99765086,62.97441,105,CIGARETTE,,,GORKHA LAHARI PVT.LTD.- NEPAL,ACTION,ACTION LIGHTS,HL 20'S,HL,20,LIGHT,,20.0,NO,115.0,1,True,high
2023-08-14,202308,2,128827344,31101020050,1691645381753,99765083,134,CG FOODS- NEPAL,RIO KDS LUV,RIO-ABC KDS LUV TPK 200ML ,40,200ML,TPK,,1691645381753-cg foods- nepal-rio kds luv#3.png,RECODING,5,1,49635,156.1167,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0,1,True,high
2023-08-14,202308,2,124775456,21301020033,1691646071450,99765083,134,CG FOODS- NEPAL,RIO KIDS LUV,RIO KIDS LUV\200\ML,40,200 ML,TPK,New SKU,1691646071450-cg foods- nepal-rio kids luv#3.png,RECODING,5,1,99765083,169.7967,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,CHAUDHARY GROUP - NEPAL,RIO,RIO KIDS LUV,"APPLE,BERRY,CHERRY TPK 200 ML",TPK,200.000 ML,MIXED FRUIT,,200.0,ML,40.0,1,True,high
2023-08-14,202308,2,130605665,52303020011,1691654171687,99765084,134,SITAZ FOOD & BEVERAGE INDUSTRY-NP,SITAZ BOOST,SITAZ BOOST/500ML/PBT/MANGO,80,500ML ,PBT,,1691654171687-sitaz food - beverage industry-np-sitaz boost#3.png,RECODING,5,1,99765084,111.88516,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SITAZ FOOD & BEVERAGE INDUSTRY-NP,SITAZ,SITAZ BOOST,MANGO PET 500 ML,PET,500.000 ML,MANGO,,500.0,ML,80.0,1,True,high
2023-08-14,202308,2,130605665,52303020011,1691654504868,99765085,134,LIFE FOOD & BEVERAGE-NEPAL,REBOOST ,REBOOST/250ML/CAN/ENERGY DRINK,120,250ML ,CAN,,1691654504868-life food - beverage-nepal-reboost #3.png,RECODING,5,1,99765085,89.43754,118,SOFT DRINKS-NP,SOFT DRINKS,ENERGY DRINK,LIFE FOOD & BEVERAGE-NEPAL,REBOOST,REBOOST,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0,1,True,high
2023-08-14,202308,2,122330419,12303020004,1691658208686,99765082,134,OM PATHIBHARA FOOD & BEV-NP,OASIS JAL,OASIS JAL-PET 500ML,15,500ML,PET,Sales Deviation is OK,1691658208686-om pathibhara food - bev-np-oasis jal#3.png,RECODING,5,1,99765082,158.09851,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,OM PATHIBHARA FOOD & BEV-NP,OASIS JAL,OASIS JAL,PET 500 ML,PET,500.000 ML,,,500.0,ML,15.0,1,True,high
2023-08-14,202308,2,125080524,21301020034,1691737659365,99765081,118,SINGAPORE BEVERAGE-NEPAL,LEMONZAAAAA NIMBU PANI,LEMONZAAAAA NIMBU PANI\600\ML,80,600ML,PET,New SKU,1691737659365-singapore beverage-nepal-lemonzaaaaa nimbu pani#3.png,RECODING,5,3,99765081,62.338806,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SINGAPORE BEVERAGE-NEPAL,LEMONZAAAAA NIMBU PANI,LEMONZAAAAA NIMBU PANI,LEMON PET 600 ML,PET,600.000 ML,LEMON,,600.0,ML,80.0,3,True,high
