t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
13/08/2024,202408,2,130218693,52303020001,1723442321918,99765280.0,134,CG FOODS- NEPAL,RIO JUCILO,RIO JUCILO/180ML/TPK/MANGO/CG FOODS ,25.0,180ML ,TPK,,1723442321918-cg foods- nepal-rio jucilo#3.png,RECODING,5,1,49635,54.741737,118,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
13/08/2024,202408,2,130218693,52303020001,1723442321918,99765280.0,134,CG FOODS- NEPAL,RIO JUCILO,RIO JUCILO/180ML/TPK/MANGO/CG FOODS ,25.0,180ML ,TPK,,1723442321918-cg foods- nepal-rio jucilo#3.png,RECODING,5,2,99762364,128.96927,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUCILO,MANGO TPK 180 ML+20 ML FREE,TPK,180.000 ML,MANGO,,200.0,ML,25.0
13/08/2024,202408,2,130218693,52303020001,1723442321918,99765280.0,134,CG FOODS- NEPAL,RIO JUCILO,RIO JUCILO/180ML/TPK/MANGO/CG FOODS ,25.0,180ML ,TPK,,1723442321918-cg foods- nepal-rio jucilo#3.png,RECODING,5,3,99765280,130.97485,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUCILO,MANGO TPK 180 ML,TPK,180.000 ML,MANGO,,180.0,ML,25.0
13/08/2024,202408,2,126431898,21301020043,1723020196552,99765281.0,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH-LEMON,NIMBU FRESH-LEMON/2250/ML/RS270,270.0,2250 ML,PET,New SKU,1723020196552-manakamana fruit - beverage-np-nimbu fresh-lemon#3.png,RECODING,5,1,99765281,12.730883,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH,NIMBU FRESH,LEMON PET 2250 ML,PET,2250.000 ML,LEMON,,2250.0,ML,270.0
13/08/2024,202408,2,126431898,21301020043,1723020196552,99765281.0,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH-LEMON,NIMBU FRESH-LEMON/2250/ML/RS270,270.0,2250 ML,PET,New SKU,1723020196552-manakamana fruit - beverage-np-nimbu fresh-lemon#3.png,RECODING,5,2,99765056,15.943881,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH,NIMBU FRESH,LEMON PET 250 ML,PET,250.000 ML,LEMON,,250.0,ML,50.0
13/08/2024,202408,2,126431898,21301020043,1723020196552,99765281.0,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH-LEMON,NIMBU FRESH-LEMON/2250/ML/RS270,270.0,2250 ML,PET,New SKU,1723020196552-manakamana fruit - beverage-np-nimbu fresh-lemon#3.png,RECODING,5,3,99765325,17.093958,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH,NIMBU FRESH,LEMON PET 1500 ML,PET,1500.000 ML,LEMON,,1500.0,ML,190.0
13/08/2024,202408,2,127259807,32201020013,1723095608992,99765282.0,134,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI PROCESSED DRINKING WATER/PBT/1000ML/25/NARAYAN BEVERAGE UDHYOG-NEPAL,25.0,1000ML,PBT,,,RECODING,5,1,99765282,75.54036,118,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
13/08/2024,202408,2,127259807,32201020013,1723095608992,99765282.0,134,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI PROCESSED DRINKING WATER/PBT/1000ML/25/NARAYAN BEVERAGE UDHYOG-NEPAL,25.0,1000ML,PBT,,,RECODING,5,2,99765038,108.75119,118,NARAYAN BEVERAGE UDHYOG-NPL,AQUA N.B,AQUA N.B,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
13/08/2024,202408,2,127259807,32201020013,1723095608992,99765282.0,134,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI PROCESSED DRINKING WATER/PBT/1000ML/25/NARAYAN BEVERAGE UDHYOG-NEPAL,25.0,1000ML,PBT,,,RECODING,5,3,99765025,131.66083,118,MB BEVERAGE UDHYOG-NEPAL,AQUA MB,AQUA MB,PET 900 ML,PET,900.000 ML,,,900.0,ML,50.0
13/08/2024,202408,2,130366006,22101020013,1723188960691,99765283.0,134,A-STAR BIRGUNJ NEPAL ,A-STAR,A-STAR\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,,1723188960691-a-star birgunj nepal -a-star#3.png,RECODING,5,1,99764546,150.81616,118,BHADRAKALI DRINKING WATER-NEPAL,KUBER JAL,KUBER JAL,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
13/08/2024,202408,2,130366006,22101020013,1723188960691,99765283.0,134,A-STAR BIRGUNJ NEPAL ,A-STAR,A-STAR\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,,1723188960691-a-star birgunj nepal -a-star#3.png,RECODING,5,2,99765283,150.92525,118,A-STAR-NEPAL,A-STAR,A-STAR,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
13/08/2024,202408,2,130366006,22101020013,1723188960691,99765283.0,134,A-STAR BIRGUNJ NEPAL ,A-STAR,A-STAR\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,,1723188960691-a-star birgunj nepal -a-star#3.png,RECODING,5,3,40120665,154.14746,118,BIRJUNJ FOOD INDUSTRIES-NEPAL,STAR AQUA,STAR AQUA,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
13/08/2024,202408,2,126377129,32201020016,1723095608992,99765282.0,134,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI PROCESSED DRINKING WATER/PBT/1000ML/25/NARAYAN BEVERAGE UDHYOG-NEPAL,25.0,1000ML,PBT,,1723095608992-narayan beverage udhyog-npl-jalpari#3.png,RECODING,5,1,99765282,75.54036,118,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
13/08/2024,202408,2,126377129,32201020016,1723095608992,99765282.0,134,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI PROCESSED DRINKING WATER/PBT/1000ML/25/NARAYAN BEVERAGE UDHYOG-NEPAL,25.0,1000ML,PBT,,1723095608992-narayan beverage udhyog-npl-jalpari#3.png,RECODING,5,2,99765038,108.75119,118,NARAYAN BEVERAGE UDHYOG-NPL,AQUA N.B,AQUA N.B,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
13/08/2024,202408,2,126377129,32201020016,1723095608992,99765282.0,134,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI PROCESSED DRINKING WATER/PBT/1000ML/25/NARAYAN BEVERAGE UDHYOG-NEPAL,25.0,1000ML,PBT,,1723095608992-narayan beverage udhyog-npl-jalpari#3.png,RECODING,5,3,99765025,131.66083,118,MB BEVERAGE UDHYOG-NEPAL,AQUA MB,AQUA MB,PET 900 ML,PET,900.000 ML,,,900.0,ML,50.0
22/08/2024,202408,2,132776190,22304020002,1724209699843,99765284.0,134,V.J.FOODS&BEVERAGE PVT.LTD NEPAL ,JALESHWOR ,JALESHWOR\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,Sales Deviation is OK,1724209699843-v-j-foods-beverage pvt-ltd nepal -jaleshwor #3.png,RECODING,5,1,99765284,97.680435,118,V.J. FOODS & BEVERAGES-NEPAL,JALESHWOR,JALESHWOR,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
22/08/2024,202408,2,132776190,22304020002,1724209699843,99765284.0,134,V.J.FOODS&BEVERAGE PVT.LTD NEPAL ,JALESHWOR ,JALESHWOR\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,Sales Deviation is OK,1724209699843-v-j-foods-beverage pvt-ltd nepal -jaleshwor #3.png,RECODING,5,2,40110359,135.83646,118,JAL PURE MINERAL WATER - NEPAL,JAL,JAL,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
22/08/2024,202408,2,132776190,22304020002,1724209699843,99765284.0,134,V.J.FOODS&BEVERAGE PVT.LTD NEPAL ,JALESHWOR ,JALESHWOR\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,Sales Deviation is OK,1724209699843-v-j-foods-beverage pvt-ltd nepal -jaleshwor #3.png,RECODING,5,3,40110528,148.71619,118,JAL PURE MINERAL WATER - NEPAL,JAL,JAL,JAR 20000 ML,JAR,20000.000 ML,,,20000.0,ML,0.0
