t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-12-19,202212,123262051,1671349211288,99764499.0,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY\200\UNITS,150,JAR,200 UNITS,New SKU,1671349211288-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5,1,99764499,123.82297,106,CONFECTIONERY-NP,DIGESTIVE CANDIES,DIGESTIVE CANDIES,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- CHATPATA MAZZA PCN 560 GM,PLJAR,560.000 GM,UNSPECIFIED,,560.0,GM,150.0
2022-12-19,202212,123262051,1671349211288,99764499.0,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY\200\UNITS,150,JAR,200 UNITS,New SKU,1671349211288-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5,2,99764535,124.41063,106,CONFECTIONERY-NP,DIGESTIVE CANDIES,DIGESTIVE CANDIES,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- SPICY MAZZA PCN 640 GM,PLJAR,640.000 GM,UNSPECIFIED,,640.0,GM,165.0
2022-12-19,202212,123262051,1671349211288,99764499.0,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY\200\UNITS,150,JAR,200 UNITS,New SKU,1671349211288-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5,3,99764534,124.71391,106,CONFECTIONERY-NP,DIGESTIVE CANDIES,DIGESTIVE CANDIES,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- CHATPATA MAZZA PCN 1680 GM,PLJAR,1680.000 GM,UNSPECIFIED,,1680.0,GM,500.0
2022-12-19,202212,123262051,1671349468910,99764497.0,106,LOTTE INDIA-INDIA,LOTTE ECLAIRS,LOTTE ECLAIRS\234\UNITS,500,JAR,234 UNITS,New SKU,1671349468910-lotte india-india-lotte eclairs#3.png,RECODING,5,1,91826974,140.6426,106,CONFECTIONERY-NP,ECLAIRS,ECLAIRS,LOTTE INDIA-INDIA,LOTTE,LOTTE ECLAIRS,LOTTE ECLAIRS- ORANGE PPH 5.2 GM,PLPCH,5.200 GM,ORANGE,,5.2,GM,0.0
2022-12-19,202212,123262051,1671349468910,99764497.0,106,LOTTE INDIA-INDIA,LOTTE ECLAIRS,LOTTE ECLAIRS\234\UNITS,500,JAR,234 UNITS,New SKU,1671349468910-lotte india-india-lotte eclairs#3.png,RECODING,5,2,91826973,145.4364,106,CONFECTIONERY-NP,ECLAIRS,ECLAIRS,LOTTE INDIA-INDIA,LOTTE,LOTTE ECLAIRS,LOTTE ECLAIRS- MANGO PPH 5.2 GM,PLPCH,5.200 GM,MANGO,,5.2,GM,0.0
2022-12-19,202212,123262051,1671349468910,99764497.0,106,LOTTE INDIA-INDIA,LOTTE ECLAIRS,LOTTE ECLAIRS\234\UNITS,500,JAR,234 UNITS,New SKU,1671349468910-lotte india-india-lotte eclairs#3.png,RECODING,5,3,91826975,149.487,106,CONFECTIONERY-NP,ECLAIRS,ECLAIRS,LOTTE INDIA-INDIA,LOTTE,LOTTE ECLAIRS,LOTTE ECLAIRS- STRAWBERRY PPH 5.2 GM,PLPCH,5.200 GM,STRAWBERRY,,5.2,GM,0.0
2022-12-19,202212,123262051,1671349703220,99764495.0,106,PRAYAGH NUTRI PRODUCT-INDIA,KOKO HEARTZ,KOKO HEARTZ\229\UNITS\RS400,2,JAR,220 UNITS,New SKU,1671349703220-prayagh nutri product-india-koko heartz#3.png,RECODING,5,1,99764495,139.05754,106,CONFECTIONERY-NP,HARD BOILED CANDIES,HARD BOILED CANDIES,PRAYAGH NUTRI PRODUCT-INDIA,KOKO HEARTZ,KOKO HEARTZ,KOKO HEARTZ- COCONUT CANDY PCN 836 GM,PLJAR,836.000 GM,COCONUT,,836.0,GM,400.0
2022-12-19,202212,123262051,1671349703220,99764495.0,106,PRAYAGH NUTRI PRODUCT-INDIA,KOKO HEARTZ,KOKO HEARTZ\229\UNITS\RS400,2,JAR,220 UNITS,New SKU,1671349703220-prayagh nutri product-india-koko heartz#3.png,RECODING,5,2,91826845,142.15518,106,CONFECTIONERY-NP,HARD BOILED CANDIES,HARD BOILED CANDIES,PRAYAGH NUTRI PRODUCT-INDIA,KOKO HEARTZ,KOKO HEARTZ,KOKO HEARTZ- COCONUT CANDY PPH 4.5 GM,PLPCH,4.500 GM,COCONUT,,4.5,GM,0.0
2022-12-19,202212,123262051,1671349703220,99764495.0,106,PRAYAGH NUTRI PRODUCT-INDIA,KOKO HEARTZ,KOKO HEARTZ\229\UNITS\RS400,2,JAR,220 UNITS,New SKU,1671349703220-prayagh nutri product-india-koko heartz#3.png,RECODING,5,3,91826640,157.98459,106,CONFECTIONERY-NP,HARD BOILED CANDIES,HARD BOILED CANDIES,PRAYAGH NUTRI PRODUCT-INDIA,CINTU,CINTU HEARTS,CINTU HEARTS- PPH 3 GM,PLPCH,3.000 GM,UNSPECIFIED,,3.0,GM,0.0
2022-12-19,202212,123262051,1671350233325,99764513.0,123,AARATI SOAP & CHEMICALS -NEPAL,DHARA,DHARA\200\GM,50,PPH,200 GM,New SKU,1671350233325-aarati soap - chemicals -nepal-dhara#3.png,RECODING,5,1,93019242,110.04185,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,AARATI SOAP & CHEMICALS -NEPAL,DHARA,DHARA,DHARA-PPH 160 GMS,PLPCH,160.000 GM,,,160.0,GM,0.0
2022-12-19,202212,123262051,1671350233325,99764513.0,123,AARATI SOAP & CHEMICALS -NEPAL,DHARA,DHARA\200\GM,50,PPH,200 GM,New SKU,1671350233325-aarati soap - chemicals -nepal-dhara#3.png,RECODING,5,2,93017136,110.73497,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,AARATI SOAP & CHEMICALS -NEPAL,DHARA,DHARA,DHARA-PPH 500 GMS,PLPCH,500.000 GM,,,500.0,GM,0.0
2022-12-19,202212,123262051,1671350233325,99764513.0,123,AARATI SOAP & CHEMICALS -NEPAL,DHARA,DHARA\200\GM,50,PPH,200 GM,New SKU,1671350233325-aarati soap - chemicals -nepal-dhara#3.png,RECODING,5,3,93019682,112.813156,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,AARATI SOAP & CHEMICALS -NEPAL,DHARA,DHARA,DHARA-PPH 400 GMS,PLPCH,400.000 GM,,,400.0,GM,0.0
2022-12-19,202212,123262051,1671348703570,99764488.0,106,PERFETTI VAN MELLE-INDIA,CENTER FRUIT,CENTER FRUIT \585\GM\195\UNITS\RS 312,312,JAR,195 UNITS,New SKU,1671348703570-perfetti van melle-india-center fruit#3.png,RECODING,5,1,91826333,146.08447,106,CONFECTIONERY-NP,BUBBLE GUMS,BUBBLE GUMS,PERFETTI VAN MELLE-INDIA,CENTER FRUIT,CENTER FRUIT,CENTER FRUIT- FRUIT PPH 27.20 GM,PLPCH,27.200 GM,FRUIT,,27.2,GM,0.0
