t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2023-12-18 00:00:00,202312,2,111889963,12101020036,1702280997817,99765121,134,HECTOR BEVERAGE PVT. LTD. INDIA,PAPER BOAT SWING LUSH LYCHEE,PAPER BOAT SWING LUSH LYCHEE,16,125 ML.,PBT,New Category,1702280997817-hector beverage pvt- ltd- india-paper boat swing lush lychee#3.png,RECODING,5,1,99765121,92.44347,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,HECTOR BEVERAGES PVT LTD-INDIA,PAPER BOAT SWING,PAPER BOAT SWING,LUSH LYCHEE PPH 125 ML,PPH,125.000 ML,LYCHEE,,125.0,ML,16.0,1,True,high
2023-12-18 00:00:00,202312,2,122591032,31101020032,1702449532430,99765119,134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA,GOPALA FRESHO PINEAPPLE\250ML\CAN\RS:100\MARUTI DAIRY PRODUCT PVT.LTD NEPAL,100,250 ML,CAN,,1702449532430-maruti dairy product-nepal-gopala#3.png,RECODING,5,1,99765119,97.03989,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,MARUTI DAIRY PRODUCT-NEPAL,GOPALA,GOPALA FRESHO,PINEAPPLE CAN 250 ML,CAN,250.000 ML,PINEAPPLE,,250.0,ML,100.0,1,True,high
2023-12-18 00:00:00,202312,2,122591032,31101020032,1702449618174,99765120,134,MARUTI DAIRY PRODUCT-NEPAL,GOPALA,GOPALA FRESHO MIXED FRUIT\250ML\CAN\RS:100\MARUTI PRODUCT PVT.LTD NEPAL,100,250 ML,CAN,New SKU,1702449618174-maruti dairy product-nepal-gopala#3.png,RECODING,5,1,99765120,105.488464,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,MARUTI DAIRY PRODUCT-NEPAL,GOPALA,GOPALA FRESHO,MIXED FRUIT CAN 250 ML,CAN,250.000 ML,MIXED FRUIT,,250.0,ML,100.0,1,True,high
2023-12-18 00:00:00,202312,2,111636895,21103020034,1702625740430,99765117,134,CAVINKARE PRIVATE LIMITED ,CAVINS ,CAVINS/VANILLA MILKSHAKE/TPK/RS70,80,170ML,TPK,,1702625740430-cavinkare private limited -cavins #3.png,RECODING,5,1,99765117,124.915146,118,SOFT DRINKS-NP,SOFT DRINKS,MILK BASED DRINK,CAVIN KARE LTD - INDIA,CAVINS,CAVINS VANILLA MILKSHAKE,VANILLA MILKSHAKE TPK 170 ML,TPK,170.000 ML,VANILLA,,170.0,ML,80.0,1,True,high
2023-12-29 00:00:00,202312,2,128699486,12201020014,1702704252158,99765127,134,BHEDETAR SPARKLING WATER COMPANY PVT LTD NEPAL,JARUWA SPRING,JARUWA SPRING PET 1LTR ,20,1LTR,PET,,1702704252158-bhedetar sparkling water company pvt ltd nepal-jaruwa spring#3.png,RECODING,5,1,99765127,137.80182,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,BHEDETAR SPARKLING WATER-NEPAL,JARUWA SPRING,JARUWA SPRING,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0,1,True,high
02/01/2024,202312,2,129058210,12201020023,1702704252158,99765127,134,BHEDETAR SPARKLING WATER COMPANY PVT LTD NEPAL,JARUWA SPRING,JARUWA SPRING PET 1LTR ,20,1LTR,PET,,,RECODING,5,1,99765127,137.80182,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,BHEDETAR SPARKLING WATER-NEPAL,JARUWA SPRING,JARUWA SPRING,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0,1,True,high
2023-12-18 00:00:00,202312,2,113563488,21103020014,1702793288313,99765115,134,DANFE MINERAL WATER P LTD-NPL,AQUA COOL,AQUA COOL/JAR/19000LTR,40,19LTR,JAR,,,RECODING,5,1,99765115,123.577644,118,SOFT DRINKS-NP,BULK WATER,BULK WATER,DANFE MINERAL WATER P LTD-NPL,AQUA COOL,AQUA COOL,JAR 19000 ML,JAR,19000.000 ML,,,19000.0,ML,47.0,1,True,high
2023-12-18 00:00:00,202312,2,113630562,21103020033,1702793288313,99765115,134,DANFE MINERAL WATER P LTD-NPL,AQUA COOL,AQUA COOL/JAR/19000LTR,40,19LTR,JAR,,,RECODING,5,1,99765115,123.577644,118,SOFT DRINKS-NP,BULK WATER,BULK WATER,DANFE MINERAL WATER P LTD-NPL,AQUA COOL,AQUA COOL,JAR 19000 ML,JAR,19000.000 ML,,,19000.0,ML,47.0,1,True,high
2023-12-18 00:00:00,202312,2,114638625,21103020029,1702793288313,99765115,134,DANFE MINERAL WATER P LTD-NPL,AQUA COOL,AQUA COOL/JAR/19000LTR,50,19LTR,JAR,,1702793288313-danfe mineral water p ltd-npl-aqua cool#3.png,RECODING,5,1,99765115,118.29025,118,SOFT DRINKS-NP,BULK WATER,BULK WATER,DANFE MINERAL WATER P LTD-NPL,AQUA COOL,AQUA COOL,JAR 19000 ML,JAR,19000.000 ML,,,19000.0,ML,47.0,1,True,high
2023-12-18 00:00:00,202312,2,114638625,21103020029,1702793790731,99765118,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/TPK/1000ML/REAL180ML FREE,290,1000ML,TPK,,1702793790731-dabur nepal ltd--nepal-real fruit power#3.png,RECODING,5,2,99765118,97.72983,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MIXED FRUIT TPK 1000 ML+REAL APPLE 180 ML FREE,TPK,1000.000 ML,MIXED FRUIT,,1000.0,ML,290.0,2,True,high
