t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2022-01-29,202201,113385142,1643348461375,99763012.0,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES\200\GM,20.0,PPH,200GM,,1643348461375-gopal soap industries - nepal-v series.png,RECODING,5,1,93019256,125.15716,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES,V SERIES-PPH 170 GMS,PLPCH,170.000 GM,,,170.0,GM,0.0,0,False,rejected
2022-01-29,202201,113404008,1643350687172,99763005.0,118,CHISAPANI MINERAL WATER & BEVERAGE INDUSTRIES PVT LTD,CHISAPANI,CHISAPANI\1000\ML,25.0,PBT,1000 ML,,1643350687172-chisapani mineral water - beverage industries pvt ltd-chisapani.png,RECODING,5,1,99763005,123.297226,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,CHISAPANI MINERAL WATER & BEVERAGE-NP,CHISAPANI,CHISAPANI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
2022-01-29,202201,435872910103,1643353760043,99763013.0,122,DURACH AND SON'S PVT. LTD. NEPAL,DIVYA,DIVYA DETERGENT /1000 GM/PPH/RS-90,90.0,PPH,1000 GM,New SKU,1643353760043-durach and son-s pvt- ltd- nepal-divya.png,RECODING,5,1,99763013,134.19345,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,DURACH & SON'S PVT LTD-NEPAL,DIVYA,DIVYA,DIVYA-LEMON WASH PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,90.0,1,True,high
2022-02-08,202202,1220102368,1643354893553,99763049.0,126,M/S. K.M. MARKETING,TINKU SUPARI,TINKU SUPARI,2.5,PPH,1.6G,,1643354893553-m-s- k-m- marketing-tinku supari.png,RECODING,5,1,99763049,126.66022,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,K.M. MARKETING,TINKU SUPARI,TINKU SUPARI,1.6G PAAN MASALA,PLAST,1.6G,SWEET,,1.6,GM,2.5,1,True,high
2022-02-03,202201,1220102379,1643354893553,99763049.0,126,M/S. K.M. MARKETING,TINKU SUPARI,TINKU SUPARI,2.5,PPH,1.6G,,1643354893553-m-s- k-m- marketing-tinku supari.png,RECODING,5,1,99763049,126.66022,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,K.M. MARKETING,TINKU SUPARI,TINKU SUPARI,1.6G PAAN MASALA,PLAST,1.6G,SWEET,,1.6,GM,2.5,1,True,high
2022-01-31,202201,122592893,1643522365075,99763016.0,131,UPRETI & PANCHAKANYA MULTI PURPOSE,U & P HONEY,U & P HONEY\500\GM,500.0,PPH,500 GM,New SKU,1643522365075-upreti - panchakanya multi purpose-u - p honey.png,RECODING,5,1,99763016,68.46158,131,HONEY-NP,HONEY,HONEY,UPRETI & PANCHAKANYA MULTI PURPOSE-NP,U & P,U & P HONEY,U & P HONEY-PCN 500 GM,PLJAR,500.000 GM,,,500.0,GM,500.0,1,True,high
2022-01-31,202201,435872910131,1643523726851,99763006.0,118,RELIABLE FOOD AND BEVERAGE PVTLTD.NEPAL,RED BLUE,RED BLUE/ENERGY DRINK/CAN 250/RS 120,120.0,RS 120,CAN 250,New SKU,1643523726851-reliable food and beverage pvtltd-nepal-red blue.png,RECODING,5,1,99764331,110.61432,118,SOFT DRINKS-NP,SOFT DRINKS,ENERGY DRINK,SURYA FOOD & BEVERAGES-NEPAL,RED PLUS,RED PLUS,CLASSIC CAN 330 ML,CAN,330.000 ML,,,330.0,ML,120.0,0,False,rejected
2022-01-31,202201,123262051,1643528434836,99763015.0,123,MAHASHAKTI SOAP & CHEM.- NEPAL,HIMKAN 300 GM,HIMKAN\ 300\GM,50.0,300 GM,PPH,New SKU,1643528434836-mahashakti soap - chem-- nepal-himkan 300 gm.png,RECODING,5,1,54330,102.59299,120,TOILET SOAP-NP,TOILET SOAP,TOILET SOAP,MAHASHAKTI SOAP & CHEM.- NEPAL,MAYALU,MAYALU BEAUTY SOAP,MAYALU BEAUTY SOAP-JASMINE PPH 12 GM,PLPCH,12.000 GM,,,12.0,GM,0.0,0,False,rejected
2022-01-31,202201,435872910133,1643529081454,99763007.0,106,"JAL MATA SWEETS D-7,PARSAKHERA,BARIELLY(U.P)",RANGE CRUSH,RANGE CRUSH/ORANGE/PPH 2.5/ RS 0.50,0.8, RS 0.50,PPH 2.5,,1643529081454-jal mata sweets d-7-parsakhera-barielly-u-p--range crush.png,RECODING,5,1,99763007,185.04688,106,CONFECTIONERY-NP,HARD BOILED CANDIES,HARD BOILED CANDIES,JAI MATA SWEETS-INDIA,DONEAR,DONEAR ORANGE CRUSH,DONEAR ORANGE CRUSH-ORANGE CANDY PPH 2.5 GM,PLPCH,2.500 GM,ORANGE,,2.5,GM,1.0,0,False,rejected
2022-01-31,202201,435872910133,1643530155953,99763201.0,106,ASIAN BISCUIT AND CONFECTIONERY(P) LTD.NEPAL,GOODLIFE,IMLI HALDI/GOODLIFE/GM 3.5 /PPH RS 2,2.0, PPH,GM 3.5,,1643530155953-asian biscuit and confectionery-p- ltd-nepal-goodlife.png,RECODING,5,3,99763201,117.8287,106,CONFECTIONERY-NP,HARD BOILED CANDIES,HARD BOILED CANDIES,ASIAN BISCUITS & CONFECTNRY-NP,GOODLIFE,GOODLIFE IMLI HALDI,GOODLIFE IMLI HALDI-WITH TULSI PPH 3 GM,PLPCH,3.000 GM,IMLI,,3.0,GM,1.0,3,True,high
