t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,1,50901,214.44733,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SUNRISE NEPAL FOD&BEV P LTD-NP,TRENDY,TRENDY,ORANGE PET 250 ML,PET,250.000 ML,ORANGE,,250.0,ML,0.0
2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,2,20125798,216.41635,118,SOFT DRINKS-NP,SOFT DRINKS,ENERGY DRINK,THE AGRI. MKT. - BNGLADESH,POWER,POWER,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,0.0
2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,3,99764966,216.5357,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE,SPRITE PET 2250 ML+2 PM AKABARE NOODLES 80 GM FREE,PET,2250.000 ML,LEMON,,2250.0,ML,260.0
2022-01-29,202201,113404008,1643350687172,99763005.0,118,CHISAPANI MINERAL WATER & BEVERAGE INDUSTRIES PVT LTD,CHISAPANI,CHISAPANI\1000\ML,25.0,PBT,1000 ML,,1643350687172-chisapani mineral water - beverage industries pvt ltd-chisapani.png,RECODING,5,1,99763005,123.297226,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,CHISAPANI MINERAL WATER & BEVERAGE-NP,CHISAPANI,CHISAPANI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2022-01-29,202201,113404008,1643350687172,99763005.0,118,CHISAPANI MINERAL WATER & BEVERAGE INDUSTRIES PVT LTD,CHISAPANI,CHISAPANI\1000\ML,25.0,PBT,1000 ML,,1643350687172-chisapani mineral water - beverage industries pvt ltd-chisapani.png,RECODING,5,2,40126107,165.74579,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,MAHADEV WATER INDUSTRIES-NEPAL,CHISO PANI,CHISO PANI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
2022-01-29,202201,113404008,1643350687172,99763005.0,118,CHISAPANI MINERAL WATER & BEVERAGE INDUSTRIES PVT LTD,CHISAPANI,CHISAPANI\1000\ML,25.0,PBT,1000 ML,,1643350687172-chisapani mineral water - beverage industries pvt ltd-chisapani.png,RECODING,5,3,99763001,183.45544,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SAMBHAVI BEVERAGE-NEPAL,CHISO,CHISO COLA,PET 2500 ML,PET,2500.000 ML,COLA,,2500.0,ML,225.0
2022-01-29,202201,113385142,1643348461375,99763012.0,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES\200\GM,20.0,PPH,200GM,,1643348461375-gopal soap industries - nepal-v series.png,RECODING,5,1,93019256,125.15716,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES,V SERIES-PPH 170 GMS,PLPCH,170.000 GM,,,170.0,GM,0.0
2022-01-29,202201,113385142,1643348461375,99763012.0,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES\200\GM,20.0,PPH,200GM,,1643348461375-gopal soap industries - nepal-v series.png,RECODING,5,2,47357,125.60907,120,TOILET SOAP-NP,TOILET SOAP,TOILET SOAP,OM SOAP INDUSTRIES-NEPAL,ELGY,ELGY HEALTH SOAP,ELGY HEALTH SOAP-PPH 25 GM,PLPCH,25.000 GM,,,25.0,GM,0.0
2022-01-29,202201,113385142,1643348461375,99763012.0,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES\200\GM,20.0,PPH,200GM,,1643348461375-gopal soap industries - nepal-v series.png,RECODING,5,3,93019343,130.53519,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES,V SERIES-PPH  375 GMS,PLPCH,375.000 GM,,,375.0,GM,0.0
2022-01-29,202201,435872910103,1643353760043,99763013.0,122,DURACH AND SON'S PVT. LTD. NEPAL,DIVYA,DIVYA DETERGENT /1000 GM/PPH/RS-90,90.0,PPH,1000 GM,New SKU,1643353760043-durach and son-s pvt- ltd- nepal-divya.png,RECODING,5,1,99763013,134.19345,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,DURACH & SON'S PVT LTD-NEPAL,DIVYA,DIVYA,DIVYA-LEMON WASH PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,90.0
