t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,1,54005,257.46094,116,SANITARY NAPKIN-NP,SANITARY NAPKIN,SANITARY NAPKIN,SOFTY HYGIENE PVT LTD-NEPAL,SOFTY,SOFTY,SOFTY-ULT SUPER ABSORBENT CORE-PPH 10 NO,PLPCH,10.000 NO,,,10.0,NO,0.0
2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,2,99764195,257.85406,116,SANITARY NAPKIN-NP,SANITARY NAPKIN,SANITARY NAPKIN,H R HYGIENE PROD-IND,WOMANCIA,WOMANCIA PREMIUM,WOMANCIA PREMIUM-QUICK ABSORB DRY FEEL XTRA LARGE PPH 7NO,PLPCH,7.000 NO,,,7.0,NO,50.0
2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,3,92024765,260.83063,116,SANITARY NAPKIN-NP,SANITARY NAPKIN,SANITARY NAPKIN,IMPORTED-IMPORTED,COMFORT,COMFORT REGULAR,COMFORT REGULAR-PPH 8 NOS,PLPCH,8.000 NO,,,8.0,NO,0.0
2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,1,99764842,112.3752,116,SANITARY NAPKIN-NP,SANITARY NAPKIN,SANITARY NAPKIN,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE,PURE REGULAR,PURE REGULAR-EVERYDAY XL PPH 7 NO,PLPCH,7.000 NO,,,7.0,NO,50.0
2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,2,99764821,143.75766,116,SANITARY NAPKIN-NP,SANITARY NAPKIN,SANITARY NAPKIN,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE,PURE ULTRA CLEAR CHOICE,PURE ULTRA CLEAR CHOICE-XL ULTRA THIN PPH 8 NO,PLPCH,8.000 NO,,,8.0,NO,80.0
2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,3,99764512,180.56119,120,TOILET SOAP-NP,TOILET SOAP,TOILET SOAP,UNILEVER NEPAL LTD-NEPAL,LUX,LUX VELVET TOUCH,LUX VELVET TOUCH-JASMIN&ALMOND OIL EWP 4*90 GM+SAV RS.5,EWRPK,90.000 GM,,,360.0,GM,175.0
2023-02-07,202302,3,1220100023,12201030087,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5,1,99764848,119.865845,125,KHAINI,KHAINI,KHAINI,TRIMURTI FRAGNANCES PVT LTD.,SPECIAL BASSA,SPECIAL BASSA,15G KHAINI,PLAST,15G,REGULAR,,15.0,GM,20.0
2023-02-07,202302,3,1220100023,12201030087,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5,2,99763451,182.72943,125,KHAINI,KHAINI,KHAINI,B.P. NEPAL-NEPAL,B.P.,B.P.,25G KHAINI,PLAST,25G,REGULAR,,25.0,GM,20.0
2023-02-07,202302,3,1220100023,12201030087,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5,3,99763236,186.3188,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,PARAS PRODUCTS-NEPAL,SWEETY SUPARI,SWEETY SUPARI,1.875G PAAN MASALA,PLAST,1.875G,SWEET,,1.875,GM,2.5
2023-02-07,202302,3,1220100026,12201030081,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5,1,99764848,119.865845,125,KHAINI,KHAINI,KHAINI,TRIMURTI FRAGNANCES PVT LTD.,SPECIAL BASSA,SPECIAL BASSA,15G KHAINI,PLAST,15G,REGULAR,,15.0,GM,20.0
2023-02-07,202302,3,1220100026,12201030081,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5,2,99763451,182.72943,125,KHAINI,KHAINI,KHAINI,B.P. NEPAL-NEPAL,B.P.,B.P.,25G KHAINI,PLAST,25G,REGULAR,,25.0,GM,20.0
2023-02-07,202302,3,1220100026,12201030081,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5,3,99763236,186.3188,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,PARAS PRODUCTS-NEPAL,SWEETY SUPARI,SWEETY SUPARI,1.875G PAAN MASALA,PLAST,1.875G,SWEET,,1.875,GM,2.5
2023-02-08,202302,2,122186466,31101020089,1675668824889,99764850,134,BIKANERVALA FOOD PVT LTD,CAN JUICE,BIKANO STABERY FLAVIOUR,110.0,CAN,180 ML,,1675668824889-bikanervala food pvt ltd-can juice#3.png,RECODING,5,1,99764850,160.6546,118,SOFT DRINKS-NP,SOFT DRINKS,MILK BASED DRINK,BIKANERVALA FOODS PVT. LTD.-INDIA,BIKANO,BIKANO STRAWBERRY DRINK,STRAWBERRY DRINK CAN 180 ML,CAN,180.000 ML,STRAWBERRY,,180.0,ML,110.0
2023-02-08,202302,2,122186466,31101020089,1675668824889,99764850,134,BIKANERVALA FOOD PVT LTD,CAN JUICE,BIKANO STABERY FLAVIOUR,110.0,CAN,180 ML,,1675668824889-bikanervala food pvt ltd-can juice#3.png,RECODING,5,2,99765361,177.51517,118,SOFT DRINKS-NP,SOFT DRINKS,MILK BASED DRINK,BIKANERVALA FOODS PVT. LTD.-INDIA,BIKANO,BIKANO BADAM DRINK,BADAM DRINK CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,100.0
2023-02-08,202302,2,122186466,31101020089,1675668824889,99764850,134,BIKANERVALA FOOD PVT LTD,CAN JUICE,BIKANO STABERY FLAVIOUR,110.0,CAN,180 ML,,1675668824889-bikanervala food pvt ltd-can juice#3.png,RECODING,5,3,99765257,201.8877,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,J.B.S. INDUSTRIES PVT. LTD.- NEPAL,SAGARMATHA,SAGARMATHA,MIXED FRUIT CAN 240 ML,CAN,240.000 ML,MIXED FRUIT,,240.0,ML,90.0
