t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
12/02/2024,202402,3,3110101188,31101030506,1707194355890,99765138,125,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT REGULAR\13GM\PPH\RS:25\ROHIT TOBACCO PVT.LTD NEPAL,25.0,13GM,PPH,,1707194355890-rohit tobacco pvt-ltd-megadut#3.png,RECODING,5,1,99765138,121.17874,125,KHAINI,KHAINI,KHAINI,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT,13G KHAINI,PLAST,13G,REGULAR,,13.0,GM,25.0,1,True,high
22/02/2024,202402,3,3110102665,31101030277,1707194355890,99765138,125,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT REGULAR\13GM\PPH\RS:25\ROHIT TOBACCO PVT.LTD NEPAL,25.0,13GM,PPH,Any other reason,,RECODING,5,1,99765138,121.17874,125,KHAINI,KHAINI,KHAINI,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT,13G KHAINI,PLAST,13G,REGULAR,,13.0,GM,25.0,1,True,high
12/02/2024,202402,3,3110103115,31101030408,1707194355890,99765138,125,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT REGULAR\13GM\PPH\RS:25\ROHIT TOBACCO PVT.LTD NEPAL,25.0,13GM,PPH,New SKU,,RECODING,5,1,99765138,121.17874,125,KHAINI,KHAINI,KHAINI,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT,13G KHAINI,PLAST,13G,REGULAR,,13.0,GM,25.0,1,True,high
22/02/2024,202402,3,3110104604,31101030302,1707194355890,99765138,125,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT REGULAR\13GM\PPH\RS:25\ROHIT TOBACCO PVT.LTD NEPAL,25.0,13GM,PPH,,,RECODING,5,1,99765138,121.17874,125,KHAINI,KHAINI,KHAINI,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT,13G KHAINI,PLAST,13G,REGULAR,,13.0,GM,25.0,1,True,high
15/02/2024,202402,3,3110105343,31101030474,1707194355890,99765138,125,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT REGULAR\13GM\PPH\RS:25\ROHIT TOBACCO PVT.LTD NEPAL,25.0,13GM,PPH,Any other reason,,RECODING,5,1,99765138,121.17874,125,KHAINI,KHAINI,KHAINI,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT,13G KHAINI,PLAST,13G,REGULAR,,13.0,GM,25.0,1,True,high
15/02/2024,202402,3,3110105400,31101030557,1707194355890,99765138,125,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT REGULAR\13GM\PPH\RS:25\ROHIT TOBACCO PVT.LTD NEPAL,25.0,13GM,PPH,New SKU,,RECODING,5,1,99765138,121.17874,125,KHAINI,KHAINI,KHAINI,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT,13G KHAINI,PLAST,13G,REGULAR,,13.0,GM,25.0,1,True,high
22/02/2024,202402,3,3110105415,31101030576,1707194355890,99765138,125,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT REGULAR\13GM\PPH\RS:25\ROHIT TOBACCO PVT.LTD NEPAL,25.0,13GM,PPH,,,RECODING,5,1,99765138,121.17874,125,KHAINI,KHAINI,KHAINI,ROHIT TOBACCO PVT/LTD,MEGADUT,MEGADUT,13G KHAINI,PLAST,13G,REGULAR,,13.0,GM,25.0,1,True,high
22/02/2024,202402,3,3110101356,31101030292,1707284235245,99765139,105,GORKHA LAHARI PVT.LTD.- NEPAL,GORKHA FILTER,GORKHA FILTER RSFT HL 20NOS,113.5,20NOS,HL,Any other reason,1707284235245-gorkha lahari pvt-ltd-- nepal-gorkha filter#3.png,RECODING,5,1,99765139,91.62238,105,CIGARETTE,,,GORKHA LAHARI PVT.LTD.- NEPAL,GORKHA,GORKHA FILTER,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,113.5,1,True,high
22/02/2024,202402,3,3110102993,31101030463,1707284235245,99765139,105,GORKHA LAHARI PVT.LTD.- NEPAL,GORKHA FILTER,GORKHA FILTER RSFT HL 20NOS,113.5,20NOS,HL,,1707284235245-gorkha lahari pvt-ltd-- nepal-gorkha filter#3.png,RECODING,5,1,99765139,91.62238,105,CIGARETTE,,,GORKHA LAHARI PVT.LTD.- NEPAL,GORKHA,GORKHA FILTER,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,113.5,1,True,high
12/02/2024,202402,3,3110103363,31101030317,1707284235245,99765139,105,GORKHA LAHARI PVT.LTD.- NEPAL,GORKHA FILTER,GORKHA FILTER RSFT HL 20NOS,113.5,20NOS,HL,Any other reason,1707284235245-gorkha lahari pvt-ltd-- nepal-gorkha filter#3.png,RECODING,5,1,99765139,91.62238,105,CIGARETTE,,,GORKHA LAHARI PVT.LTD.- NEPAL,GORKHA,GORKHA FILTER,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,113.5,1,True,high
