t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2022-01-10,202112,118069056,1640674566442,99762952.0,118,SINGAPORE BEVERAGE-NEPAL,JEERU,JEERU MASALA PBT 500 ML ,70.0,PBT,500 ML,,1640674566442-singapore beverage-nepal-jeeru.png,RECODING,5,1,99762952,82.26839,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SINGAPORE BEVERAGE-NEPAL,JEERU,JEERU,JEERA MASALA PET 500 ML,PET,500.000 ML,JEERA,,500.0,ML,70.0,1,True,high
2021-12-31,202112,123455987,1640676367795,99762552.0,122,DINESH SOAP & HOUSEHOLD-NPL,DINESH 3 IN 1,DINESH 3 IN 1\500\GM,50.0,PPH,500GM,New SKU,1640676367795-dinesh soap - household-npl-dinesh 3 in 1.png,CROSS CODING,2,1,99762677,97.82086,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,DINESH SOAP & HOUSEHOLD-NPL,DINESH,DINESH 3IN1,DINESH 3IN1-PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,90.0,0,False,rejected
2021-12-31,202112,123455987,1640676811319,99762902.0,123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,New SKU,1640676811319-nepal gramodhyog pvt ltd-np-nepal gramodhyog herb yukt.png,RECODING,5,1,51611,129.51007,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG-HERB YUKT ACTIVE PPH 500G,PLPCH,500.000 GM,,,500.0,GM,0.0,0,False,rejected
2022-01-12,202201,124768422,1640676811319,99762902.0,123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,New SKU,1640676811319-nepal gramodhyog pvt ltd-np-nepal gramodhyog herb yukt.png,RECODING,5,1,51611,129.51007,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG-HERB YUKT ACTIVE PPH 500G,PLPCH,500.000 GM,,,500.0,GM,0.0,0,False,rejected
2021-12-31,202112,122528029,1640846311402,99762901.0,123,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI LAUNDRY SOAP,DHONI LAUNDRY SOAP \500\HM,100.0,PPH,500GM,New SKU,1640846311402-himgiri soap - chemicals-nepal-dhoni laundry soap.png,RECODING,5,3,49700,84.297485,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-LEMON & LAVENDER PPH 500 GM,PLPCH,500.000 GM,,,500.0,GM,0.0,3,True,high
2021-12-31,202112,122528029,1640846910886,99762423.0,122,R.M. CHEMICALS NEPAL,ACTIVE WHEEL 2 IN 1,ACTIVE WHEEL 2 IN 1\750\GM,75.0,PPH,750GM,New SKU,1640846910886-r-m- chemicals nepal-active wheel 2 in 1.png,CROSS CODING,2,1,50274,174.82018,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,UNILEVER NEPAL LTD-NEPAL,WHEEL,WHEEL ACTIVE,WHEEL ACTIVE-2IN1 CLN FRS PPH 1000 GM+FR VIM BAR 85G,PLPCH,1000.000 GM,,,1000.0,GM,0.0,0,False,rejected
2021-12-31,202112,123582683,1640851670848,99762911.0,132,JASMINE HYGIENIC - NEPAL,CUDDLES PANTS OVER NIGHT,CUDDLES PANTS OVER NIGHT\52\ PCS,950.0,PPH,52PCS,New SKU,1640851670848-jasmine hygienic - nepal-cuddles pants over night.png,RECODING,5,1,99762911,142.14648,132,BABY DIAPER-NP,BABY DIAPER,BABY DIAPER,JASMINE HYGIENIC - NEPAL,CUDDLERS,CUDDLERS PANTS,CUDDLERS PANTS-OVERNITES MEDIUM (M) PPH 52 NOS,PLPCH,52.000 NO,,,52.0,NO,950.0,0,False,rejected
2022-01-12,202112,131558772,1640854266905,99762895.0,118,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,Any other reason,1640854266905-aqua nepal bisleri-nepal-hayat.png,RECODING,5,1,99762895,133.52487,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,AQUA NEPAL BISLERI-NEPAL,AQUA ABE HAYAT,AQUA ABE HAYAT,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
2021-12-31,202112,133176664,1640854266905,99762895.0,118,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,,1640854266905-aqua nepal bisleri-nepal-hayat.png,RECODING,5,1,99762895,133.52487,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,AQUA NEPAL BISLERI-NEPAL,AQUA ABE HAYAT,AQUA ABE HAYAT,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
2021-12-31,202112,126893914,1640860693761,99763004.0,123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,,1640860693761-saptarishi soap inds-npl-ruchi.png,RECODING,5,1,99763004,125.540215,123,WASHING CAKE & DISHWASH BAR-NP,WASHING CAKE & DISHWASH BAR,WASHING CAKE,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI,RUCHI-DETERGENT SOAP EWP 100 GM,EWRPK,100.000 GM,,,100.0,GM,10.0,1,True,high
2022-01-13,202201,132792028,1640860693761,99763004.0,123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,,1640860693761-saptarishi soap inds-npl-ruchi.png,RECODING,5,1,99763004,125.540215,123,WASHING CAKE & DISHWASH BAR-NP,WASHING CAKE & DISHWASH BAR,WASHING CAKE,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI,RUCHI-DETERGENT SOAP EWP 100 GM,EWRPK,100.000 GM,,,100.0,GM,10.0,1,True,high
2022-01-01,202112,124631722,1640934002886,99762904.0,123,MAHASHAKTI SOAP & CHEM.- NEPAL,DANFE,DANFE PURE SOAP/100GM/PPH,20.0,PPH,100GM ,,1640934002886-mahashakti soap - chem-- nepal-danfe.png,RECODING,5,1,99763647,106.39523,123,WASHING CAKE & DISHWASH BAR-NP,WASHING CAKE & DISHWASH BAR,WASHING CAKE,MAHASHAKTI SOAP & CHEM.- NEPAL,DANFE,DANFE,DANFE-PURE SOAP PPH 150 GM,PLPCH,150.000 GM,,,150.0,GM,30.0,1,True,high
2022-01-02,202112,114623002,1640935635806,99762907.0,123,GOLDEN STAR SOAP IND-NEPAL,HERO,HERO/100/GM/PPH,20.0,PPH,100 GM,,1640935635806-golden star soap ind-nepal-hero.png,RECODING,5,3,99762906,134.27657,123,WASHING CAKE & DISHWASH BAR-NP,WASHING CAKE & DISHWASH BAR,WASHING CAKE,GOLDEN STAR SOAP IND-NEPAL,HERO,HERO,HERO-PPH 100 GM,PLPCH,100.000 GM,,,100.0,GM,20.0,3,True,high
2022-01-02,202112,114623002,1640935728616,99762906.0,123,GOLDEN STAR SOAP IND-NEPAL,HERO,HERO/150/GM/PPH,30.0,PPH,150GM,,1640935728616-golden star soap ind-nepal-hero.png,RECODING,5,1,99762907,128.185,123,WASHING CAKE & DISHWASH BAR-NP,WASHING CAKE & DISHWASH BAR,WASHING CAKE,GOLDEN STAR SOAP IND-NEPAL,HERO,HERO,HERO-PPH 150 GM,PLPCH,150.000 GM,,,150.0,GM,30.0,1,True,high
2022-01-01,202112,124769721,1640937121342,99762899.0,122,NEPAL CHEM-NEPAL,SUN ULTRA,SUN ULTRA/200GM/PPH,20.0,PPH,200GM ,,1640937121342-nepal chem-nepal-sun ultra.png,RECODING,5,1,99762899,170.43623,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,NEPAL CHEM-NEPAL,SUN ULTRA,SUN ULTRA,SUN ULTRA-DETERGENT POWDER PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,20.0,1,True,high
2022-01-01,202112,124769721,1640937296601,99762900.0,122,SNEHA SOAP & CHEMICAL INDUSTRIES-NEPAL,SNEHA'S NATURE,SNEHAS NATURE/DETERGENT POWDER/200GM/PPH,20.0,PPH,200GM ,,1640937296601-sneha soap - chemical industries-nepal-sneha-s nature.png,RECODING,5,1,99762900,74.52736,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,SNEHA SOAP & CHEMICAL INDUSTRIES-NEPAL,SNEHA'S,SNEHA'S NATURE,SNEHA'S NATURE-PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,20.0,1,True,high
2022-01-01,202112,123453021,1640937304448,99762903.0,123,KWALITY CHEM PVT LTD-NEPAL,BISHAL 200GM,BISHAL \200\GM,40.0,PPH,200GM,New SKU,1640937304448-kwality chem pvt ltd-nepal-bishal 200gm.png,RECODING,5,1,47735,176.68086,120,TOILET SOAP-NP,TOILET SOAP,TOILET SOAP,KWALITY CHEM PVT LTD-NEPAL,GIV,GIV,GIV-EXCOTC BEAUTY DEO SOAP JASMNE PPH 35 GM,PLPCH,35.000 GM,,,35.0,GM,0.0,0,False,rejected
2022-01-01,202112,132325971,1640938482551,99762896.0,118,BHAIRAV DRINKING WATER-NEPAL,V.D.W,AQUA V.D.W ,25.0,PBT,1000 ML,,1640938482551-bhairav drinking water-nepal-v-d-w.png,RECODING,5,1,99762896,96.330864,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,BHAIRAV DRINKING WATER-NEPAL,AQUA V.D.W,AQUA V.D.W,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
