t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2023-01-16,202301,1,123943065,21209010070,1673505409832,99764748.0,123,K.C.SOAP&CHEMICAL IND.PVT.LTD,4X,4X SOAP/LANDRY SOAP/200G/PPH,45.0,PPH,200G,,1673505409832-k-c-soap-chemical ind-pvt-ltd-4x#3.png,RECODING,5,1,47735,173.0592,120,TOILET SOAP-NP,TOILET SOAP,TOILET SOAP,KWALITY CHEM PVT LTD-NEPAL,GIV,GIV,GIV-EXCOTC BEAUTY DEO SOAP JASMNE PPH 35 GM,PLPCH,35.000 GM,,,35.0,GM,0.0,0,False,rejected
2023-01-16,202301,1,123943065,21209010070,1673505712863,99764749.0,123,GOLDEN STAR SOAP IND-NEPAL,NIMA HERBAL,NIMA HERBAL/DISHWASH BAR/75+5GM/PPH,10.0,PPH,75+5GM,,1673505712863-golden star soap ind-nepal-nima herbal#3.png,RECODING,5,1,99764749,88.83092,123,WASHING CAKE & DISHWASH BAR-NP,WASHING CAKE & DISHWASH BAR,DISHWASH BAR,GOLDEN STAR SOAP IND-NEPAL,NIMA,NIMA HERBAL,NIMA HERBAL-DISHWASH BAR PPH 75 GM,PLPCH,75.000 GM,,,75.0,GM,10.0,1,True,high
2023-01-28,202301,1,117672282,51302010003,1673585259769,99764747.0,106,DURGA CONFECTIONERY-INDIA,MONARKO DOUBLE CREAM ,MONARKO DOUBLE CREAM/REAL BUTTERY ROYAL CANDY/420GM/PPH,128.0,PPH,420GM ,,1673585259769-durga confectionery-india-monarko double cream #3.png,RECODING,5,2,99764747,72.859116,106,CONFECTIONERY-NP,HARD BOILED CANDIES,HARD BOILED CANDIES,DURGA CONFECTIONERY-INDIA,MONARKO,MONARKO DOUBLE CREAM,MONARKO DOUBLE CREAM-ROYAL CANDY PPH 420 GM,PLPCH,420.000 GM,BUTTER,,420.0,GM,128.0,2,True,high
2023-01-16,202301,1,125959303,52202010022,1673585259769,99764747.0,106,DURGA CONFECTIONERY-INDIA,MONARKO DOUBLE CREAM ,MONARKO DOUBLE CREAM/REAL BUTTERY ROYAL CANDY/420GM/PPH,128.0,PPH,420GM ,,1673585259769-durga confectionery-india-monarko double cream #3.png,RECODING,5,2,99764747,72.859116,106,CONFECTIONERY-NP,HARD BOILED CANDIES,HARD BOILED CANDIES,DURGA CONFECTIONERY-INDIA,MONARKO,MONARKO DOUBLE CREAM,MONARKO DOUBLE CREAM-ROYAL CANDY PPH 420 GM,PLPCH,420.000 GM,BUTTER,,420.0,GM,128.0,2,True,high
2023-01-24,202301,1,130137643,52303010017,1673585259769,99764747.0,106,DURGA CONFECTIONERY-INDIA,MONARKO DOUBLE CREAM ,MONARKO DOUBLE CREAM/REAL BUTTERY ROYAL CANDY/420GM/PPH,128.0,PPH,420GM ,,1673585259769-durga confectionery-india-monarko double cream #3.png,RECODING,5,2,99764747,72.859116,106,CONFECTIONERY-NP,HARD BOILED CANDIES,HARD BOILED CANDIES,DURGA CONFECTIONERY-INDIA,MONARKO,MONARKO DOUBLE CREAM,MONARKO DOUBLE CREAM-ROYAL CANDY PPH 420 GM,PLPCH,420.000 GM,BUTTER,,420.0,GM,128.0,2,True,high
2023-01-16,202301,1,123262051,21301010069,1673588942425,99764746.0,106,LOTTE INDIA-INDIA,LOTTE JUICIES CENTER FILLED CANDY,LOTTE JUICIES CENTER FILLED CANDY\800\GM,500.0,PET,800 GM,New SKU,1673588942425-lotte india-india-lotte juicies center filled candy#3.png,RECODING,5,1,99764746,133.40959,106,CONFECTIONERY-NP,HARD BOILED CANDIES,HARD BOILED CANDIES,LOTTE INDIA-INDIA,LOTTE,LOTTE JUICIES,LOTTE JUICIES-ASSORRED PCN 840 GM,PLJAR,840.000 GM,ASSORTED,,840.0,GM,500.0,0,False,rejected
2023-01-18,202301,1,124916559,52202010001,1673847135148,99764755.0,116,JAY MATA DI SANITARY UDHYOG-NP,TIPSY ULTRA CHOICE ,TIPSY ULTRA CHOICE/DAY & NIGHT/7 PADS/PPH,50.0,PPH,7 PADS,,1673847135148-jay mata di sanitary udhyog-np-tipsy ultra choice #3.png,RECODING,5,1,99764755,113.57116,116,SANITARY NAPKIN-NP,SANITARY NAPKIN,SANITARY NAPKIN,JAY MATA DI SANITARY UDHYOG-NP,TIPSY,TIPSY ULTRA CHOICE,TIPSY ULTRA CHOICE-PPH 7 NO,PLPCH,7.000 NO,,,7.0,NO,50.0,1,True,high
2023-01-18,202301,1,124916559,52202010001,1673847470774,99764768.0,130,RECKITT BENCKISER - INDIA,KOHINOOR PLEASURE ,KOHINOOR PLEASURE/PINK/10 NOSE/CBP,128.0,CBP,10 NOSE,,1673847470774-reckitt benckiser - india-kohinoor pleasure #3.png,RECODING,5,1,99764768,137.83348,130,CONDOM-NP,CONDOM,CONDOM,RECKITT BENCKISER - INDIA,KOHINOOR,KOHINOOR,KOHINOOR-PLEASURE PINK CBP 10 NOS,CDBOX,10.000 NO,,,10.0,NO,128.0,1,True,high
2023-01-18,202301,1,124916559,52202010001,1673847630083,99764769.0,130,RECKITT BENCKISER - INDIA,DUREX EXTRA THIN,DUREX EXTRA THIN/WILD STRAWBERY/3 NOSE/CBP,80.0,CBP,3 NOSE,,1673847630083-reckitt benckiser - india-durex extra thin#3.png,RECODING,5,3,99764769,161.21133,130,CONDOM-NP,CONDOM,CONDOM,RECKITT BENCKISER - INDIA,DUREX,DUREX,DUREX-EXTRA THIN WILD STRAWBERRY CBP 3 NOS,CDBOX,3.000 NO,,,3.0,NO,80.0,3,True,high
2023-01-18,202301,1,124916559,52202010001,1673848571223,99764758.0,120,HALE DEW REMIDIES-INDIA,SILKIN,SILKIN /STRAWBERRY TRANSPARENT SOAP/50GM/CBP,80.0,CBP,50GM,,1673848571223-hale dew remidies-india-silkin#3.png,RECODING,5,2,99764758,116.92869,120,TOILET SOAP-NP,TOILET SOAP,TOILET SOAP,HALE DEW REMIDIES-INDIA,SILKIN,SILKIN,SILKIN-STRAWBERRY TRNSPRNT BABY SOAP CBP 50 GM,CDBOX,50.000 GM,,,50.0,GM,80.0,2,True,high
