t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2022-07-22,202207,2110100152,1658035340112,99763958.0,105,PERFECT BLENDS (NEPAL)PVT.LTD,PASSION,PASSION MINT,180.0,KS,20 NOS,,1658035340112-perfect blends -nepal-pvt-ltd-passion.png,RECODING,5,1,99764027,148.37103,105,CIGARETTE,,,PERFECT BLENDS PVT LTD,PASSION,PASSION MINT,HL 20'S,HL,20,FRESH,,20.0,NO,175.0,0,False,rejected
2022-07-22,202207,2110100480,1658035340112,99763958.0,105,PERFECT BLENDS (NEPAL)PVT.LTD,PASSION,PASSION MINT,175.0,KS,20 NOS,,1658035340112-perfect blends -nepal-pvt-ltd-passion.png,RECODING,5,1,99764027,150.2984,105,CIGARETTE,,,PERFECT BLENDS PVT LTD,PASSION,PASSION MINT,HL 20'S,HL,20,FRESH,,20.0,NO,175.0,1,True,high
2022-07-21,202207,2110202867,1658035340112,99763958.0,105,PERFECT BLENDS (NEPAL)PVT.LTD,PASSION,PASSION MINT,175.0,KS,20 NOS,,1658035340112-perfect blends -nepal-pvt-ltd-passion.png,RECODING,5,1,99764027,150.2984,105,CIGARETTE,,,PERFECT BLENDS PVT LTD,PASSION,PASSION MINT,HL 20'S,HL,20,FRESH,,20.0,NO,175.0,1,True,high
2022-07-21,202207,130944237,1658207589747,99763960.0,117,COOL COSMETICS PVT.LTD,NYLE HERBAL,NYLE HERBAL\6.5\ML,2.0,SCT,6.5ML,,1658207589747-cool cosmetics pvt-ltd-nyle herbal.png,RECODING,5,1,92117267,153.07812,117,SHAMPOO-NP,SHAMPOO,SACHET,CAVIN KARE LTD - INDIA,NYLE,NYLE HERBAL,NYLE HERBAL-SCT 5 ML,PLSCH,5.000 ML,,,5.0,ML,0.0,0,False,rejected
2022-07-21,202207,2110201173,1658211675739,99763958.0,105,PERFECTBLENDS(NEPAL) PVT.LTD,PASSION,PASSION MINT/HL/20NOS,200.0,HL,20NOS,,1658211675739-perfectblends-nepal- pvt-ltd-passion.png,RECODING,5,1,99764027,166.24857,105,CIGARETTE,,,PERFECT BLENDS PVT LTD,PASSION,PASSION MINT,HL 20'S,HL,20,FRESH,,20.0,NO,175.0,1,True,high
2022-07-22,202207,2110202388,1658211675739,99763958.0,105,PERFECTBLENDS(NEPAL) PVT.LTD,PASSION,PASSION MINT/HL/20NOS,180.0,HL,20NOS,,1658211675739-perfectblends-nepal- pvt-ltd-passion.png,RECODING,5,1,99764027,166.9772,105,CIGARETTE,,,PERFECT BLENDS PVT LTD,PASSION,PASSION MINT,HL 20'S,HL,20,FRESH,,20.0,NO,175.0,1,True,high
2022-07-22,202207,2110203273,1658211675739,99763958.0,105,PERFECTBLENDS(NEPAL) PVT.LTD,PASSION,PASSION MINT/HL/20NOS,200.0,HL,20NOS,,1658211675739-perfectblends-nepal- pvt-ltd-passion.png,RECODING,5,1,99764027,166.24857,105,CIGARETTE,,,PERFECT BLENDS PVT LTD,PASSION,PASSION MINT,HL 20'S,HL,20,FRESH,,20.0,NO,175.0,1,True,high
2022-07-21,202207,124567392,1658212765443,99763959.0,109,KIWI HERBAL INDS-NPL,KIWI GLUCOSE-D,KIWI GLUCOSE-D/400GM/PCN,190.0,PCN,400GM ,,1658212765443-kiwi herbal inds-npl-kiwi glucose-d.png,RECODING,5,1,99763959,57.891006,109,GLUCOSE POWDER-NP,GLUCOSE POWDER,GLUCOSE POWDER,KIWI HERBAL INDS-NPL,KIWI,KIWI GLUCOSE-D,KIWI GLUCOSE-D-PCN 400 GM,PLJAR,400.000 GM,,,400.0,GM,190.0,1,True,high
2022-07-22,202207,113395539,1658388660819,99763961.0,116,BHADRA PASHUPATI PAD UDHYOG-NP,KOSELI,KOSELI\6\NOS,50.0,PPH,6 NOS,,1658388660819-bhadra pashupati pad udhyog-np-koseli.png,RECODING,5,1,99763961,152.99495,116,SANITARY NAPKIN-NP,SANITARY NAPKIN,SANITARY NAPKIN,BHADRA PASHUPATI PAD UDHYOG-NP,KOSELI,KOSELI,KOSELI-COTTONY SOFT PPH 6 NOS,PLPCH,6.000 NO,,,6.0,NO,50.0,1,True,high
2022-08-01,202207,124605790,1658389312885,99763963.0,118,GOODLIFE BEVERAGE-NEPAL,RUMPUM,RUMPUM TPK 200ML PINEAPPLE ,25.0,TPK,200ML,,1658389312885-goodlife beverage-nepal-rumpum.png,RECODING,5,1,99763963,66.16553,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,GOODLIFE BEVERAGE-NEPAL,RUMPUM,RUMPUM,PINEAPPLE TPK 200 ML,TPK,200.000 ML,PINEAPPLE,,200.0,ML,30.0,1,True,high
2022-07-22,202207,124686232,1658389312885,99763963.0,118,GOODLIFE BEVERAGE-NEPAL,RUMPUM,RUMPUM TPK 200ML PINEAPPLE ,20.0,TPK,200ML,Any other reason,1658389312885-goodlife beverage-nepal-rumpum.png,RECODING,5,1,99763963,65.313034,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,GOODLIFE BEVERAGE-NEPAL,RUMPUM,RUMPUM,PINEAPPLE TPK 200 ML,TPK,200.000 ML,PINEAPPLE,,200.0,ML,30.0,1,True,high
2022-07-22,202207,113395539,1658389559638,99763962.0,117,PREM HENNA PVT LTD-INDIA,NISHA,NISHA\HEALTHY&SHINY\AVOCADO& BRAHMI OIL\175\ML,200.0,PBT,175ML,,1658389559638-prem henna pvt ltd-india-nisha.png,RECODING,5,1,99763962,83.2489,117,SHAMPOO-NP,SHAMPOO,BOTTLE,PREM HENNA PVT LTD-INDIA,NISHA,NISHA HEALTHY & SHINY,NISHA HEALTHY & SHINY-AVOCADO & BRAHMI OIL PBT 175 ML,PLBOT,175.000 ML,,,175.0,ML,200.0,1,True,high
2022-07-22,202207,126759332,1658391454607,99763965.0,123,GOPAL N PRODUCT-NEPAL,V SERIES EXTRA WHITENER ,V-SERIES EXTRA WHITENER/LAUNDRY SOAP/150GM/PPH,30.0,PPH,150GM ,,1658391454607-gopal n product-nepal-v series extra whitener .png,RECODING,5,1,93018765,105.78994,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES SUPER WHITE,V SERIES SUPER WHITE-PPH 180 GMS,PLPCH,180.000 GM,,,180.0,GM,0.0,0,False,rejected
2022-07-22,202207,114627413,1658392823582,99763966.0,123,BABA SOAP INDUSTRIES - NEPAL,CAMEL ,CAMEL/150/GM/PPH,30.0,PPH,150 GM,,1658392823582-baba soap industries - nepal-camel .png,RECODING,5,1,99763966,142.68524,123,WASHING CAKE & DISHWASH BAR-NP,WASHING CAKE & DISHWASH BAR,WASHING CAKE,BABA SOAP INDUSTRIES - NEPAL,CAMEL,CAMEL,CAMEL-LAUNDRY SOAP PPH 150 GM,PLPCH,150.000 GM,,,150.0,GM,30.0,1,True,high
