t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-07-21,202207,125764166,1658303316012,,106,NEW POOJA CONFECTIONARY-NEPAL,SNOW HULLS ,SNOW HULLS/2.5GM/PPH,1.0,PPH,2.5GM,,1658303316012-new pooja confectionary-nepal-snow hulls .png,PARKER FOR NEXT MONTH,999,1,46500,112.08191,106,CONFECTIONERY-NP,TOFFEES,TOFFEES,NEW POOJA CONFECTIONARY-NEPAL,POOJA,POOJA YAK,POOJA YAK-SWEETS PPH 2.2 GM,PLPCH,2.200 GM,UNSPECIFIED,,2.2,GM,0.0
2022-07-21,202207,125764166,1658303316012,,106,NEW POOJA CONFECTIONARY-NEPAL,SNOW HULLS ,SNOW HULLS/2.5GM/PPH,1.0,PPH,2.5GM,,1658303316012-new pooja confectionary-nepal-snow hulls .png,PARKER FOR NEXT MONTH,999,2,91827543,147.32904,106,CONFECTIONERY-NP,ECLAIRS,ECLAIRS,POOJA CONFECTIONERY NEPAL-NPL,POOJA,POOJA ECLAIRS,POOJA ECLAIRS- EWP 3 GM,EWRPK,3.000 GM,UNSPECIFIED,,3.0,GM,0.0
2022-07-21,202207,125764166,1658303316012,,106,NEW POOJA CONFECTIONARY-NEPAL,SNOW HULLS ,SNOW HULLS/2.5GM/PPH,1.0,PPH,2.5GM,,1658303316012-new pooja confectionary-nepal-snow hulls .png,PARKER FOR NEXT MONTH,999,3,91826269,149.20398,106,CONFECTIONERY-NP,COUGH LOZENGES,COUGH LOZENGES,POOJA CONFECTIONERY NEPAL-NPL,SNOW BLITTS,SNOW BLITTS,SNOW BLITTS- STRAWBERRY PPH 2.5 GM,PLPCH,2.500 GM,STRAWBERRY,,2.5,GM,0.0
2022-07-21,202207,130944237,1658207589747,99763960.0,117,COOL COSMETICS PVT.LTD,NYLE HERBAL,NYLE HERBAL\6.5\ML,2.0,SCT,6.5ML,,1658207589747-cool cosmetics pvt-ltd-nyle herbal.png,RECODING,5,1,92117267,153.07812,117,SHAMPOO-NP,SHAMPOO,SACHET,CAVIN KARE LTD - INDIA,NYLE,NYLE HERBAL,NYLE HERBAL-SCT 5 ML,PLSCH,5.000 ML,,,5.0,ML,0.0
2022-07-21,202207,130944237,1658207589747,99763960.0,117,COOL COSMETICS PVT.LTD,NYLE HERBAL,NYLE HERBAL\6.5\ML,2.0,SCT,6.5ML,,1658207589747-cool cosmetics pvt-ltd-nyle herbal.png,RECODING,5,2,92116126,157.25305,117,SHAMPOO-NP,SHAMPOO,SACHET,CAVIN KARE LTD - INDIA,NYLE,NYLE HERBAL,NYLE HERBAL-REETHA & AMLA SCT 8 ML,PLSCH,8.000 ML,,,8.0,ML,0.0
2022-07-21,202207,130944237,1658207589747,99763960.0,117,COOL COSMETICS PVT.LTD,NYLE HERBAL,NYLE HERBAL\6.5\ML,2.0,SCT,6.5ML,,1658207589747-cool cosmetics pvt-ltd-nyle herbal.png,RECODING,5,3,92160109,161.08539,117,SHAMPOO-NP,SHAMPOO,BOTTLE,CAVIN KARE LTD - INDIA,NYLE,NYLE HERBAL,NYLE HERBAL-PBT 450M+25G FAIREVER FAIR.CR,PLBOT,450.000 ML,,,450.0,ML,0.0
2022-07-21,202207,2110201173,1658211675739,99763958.0,105,PERFECTBLENDS(NEPAL) PVT.LTD,PASSION,PASSION MINT/HL/20NOS,200.0,HL,20NOS,,1658211675739-perfectblends-nepal- pvt-ltd-passion.png,RECODING,5,1,99764027,166.24855,105,CIGARETTE,,,PERFECT BLENDS PVT LTD,PASSION,PASSION MINT,HL 20'S,HL,20,FRESH,,20.0,NO,175.0
2022-07-21,202207,2110201173,1658211675739,99763958.0,105,PERFECTBLENDS(NEPAL) PVT.LTD,PASSION,PASSION MINT/HL/20NOS,200.0,HL,20NOS,,1658211675739-perfectblends-nepal- pvt-ltd-passion.png,RECODING,5,2,91826247,181.11288,106,CONFECTIONERY-NP,BUBBLE GUMS,BUBBLE GUMS,PERFECT FOODS PVT LTD-NEPAL,PERFECT,PERFECT BLAST,PERFECT BLAST- MINT PPH 3.5 GM,PLPCH,3.500 GM,MINT,,3.5,GM,0.0
2022-07-21,202207,2110201173,1658211675739,99763958.0,105,PERFECTBLENDS(NEPAL) PVT.LTD,PASSION,PASSION MINT/HL/20NOS,200.0,HL,20NOS,,1658211675739-perfectblends-nepal- pvt-ltd-passion.png,RECODING,5,3,91827320,185.38017,106,CONFECTIONERY-NP,HARD BOILED CANDIES,HARD BOILED CANDIES,PERFECT FOODS PVT LTD-NEPAL,CANDY BEE,CANDY BEE ICY MINT,CANDY BEE ICY MINT- PPH 2.5 GM,PLPCH,2.500 GM,MINT,,2.5,GM,0.0
2022-07-21,202207,124567392,1658212765443,99763959.0,109,KIWI HERBAL INDS-NPL,KIWI GLUCOSE-D,KIWI GLUCOSE-D/400GM/PCN,190.0,PCN,400GM ,,1658212765443-kiwi herbal inds-npl-kiwi glucose-d.png,RECODING,5,1,99763959,57.891006,109,GLUCOSE POWDER-NP,GLUCOSE POWDER,GLUCOSE POWDER,KIWI HERBAL INDS-NPL,KIWI,KIWI GLUCOSE-D,KIWI GLUCOSE-D-PCN 400 GM,PLJAR,400.000 GM,,,400.0,GM,190.0
