t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-06-23,202206,128846077,1655867983678,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1655867983678-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,1,99762350,104.09422,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO TPK 180 ML,TPK,180.000 ML,MANGO,,180.0,ML,25.0
2022-06-23,202206,128846077,1655867983678,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1655867983678-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,2,51089,105.65692,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2022-06-23,202206,128846077,1655867983678,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1655867983678-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,3,99763514,106.43639,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO PET 200 ML,PET,200.000 ML,MANGO,,200.0,ML,35.0
2022-06-23,202206,130609389,1655867983678,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1655867983678-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,1,99762350,104.09422,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO TPK 180 ML,TPK,180.000 ML,MANGO,,180.0,ML,25.0
2022-06-23,202206,130609389,1655867983678,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1655867983678-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,2,51089,105.65692,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2022-06-23,202206,130609389,1655867983678,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1655867983678-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,3,99763514,106.43639,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO PET 200 ML,PET,200.000 ML,MANGO,,200.0,ML,35.0
2022-06-23,202206,130609389,1655870908554,99763515.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\500ML\PBT\MANGO,85.0,500ML,PBT,,1655870908554-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,1,99762350,103.73276,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO TPK 180 ML,TPK,180.000 ML,MANGO,,180.0,ML,25.0
2022-06-23,202206,130609389,1655870908554,99763515.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\500ML\PBT\MANGO,85.0,500ML,PBT,,1655870908554-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,2,51089,107.37058,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2022-06-23,202206,130609389,1655870908554,99763515.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\500ML\PBT\MANGO,85.0,500ML,PBT,,1655870908554-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,3,99763514,108.45822,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO PET 200 ML,PET,200.000 ML,MANGO,,200.0,ML,35.0
2022-06-23,202206,130617413,1655863972473,99763849.0,118,MEGA FOODS & BEVERAGE-NEPAL,MEGA SMOOTH,MEGHA SMMOTH\150ML\HDPE\LITCHI FLAVOUR ,20.0,HDPE,150ML,,1655863972473-mega foods - beverage-nepal-mega smooth.png,RECODING,5,1,99763849,110.33153,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,MEGA FOODS & BEVERAGE-NEPAL,MEGA,MEGA SMOOTH,LITCHI PET 150 ML,PET,150.000 ML,LYCHEE,,150.0,ML,20.0
