t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-02-28,202202,130359246,1645948657062,99763215.0,122,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,BABA REAL /200GM / PPH,20.0,PPH,200 GM,,1645948657062-baba soap industries - nepal-real shakti.png,RECODING,5,1,99763215,126.43904,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,REAL SHAKTI,REAL SHAKTI-PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,20.0
2022-02-28,202202,130359246,1645948657062,99763215.0,122,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,BABA REAL /200GM / PPH,20.0,PPH,200 GM,,1645948657062-baba soap industries - nepal-real shakti.png,RECODING,5,2,99762753,131.02214,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,REAL SHAKTI,REAL SHAKTI-PPH 300 GM,PLPCH,300.000 GM,,,300.0,GM,20.0
2022-02-28,202202,130359246,1645948657062,99763215.0,122,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,BABA REAL /200GM / PPH,20.0,PPH,200 GM,,1645948657062-baba soap industries - nepal-real shakti.png,RECODING,5,3,99763402,131.8329,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,REAL SHAKTI,REAL SHAKTI-PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,80.0
2022-02-28,202202,122277042,1645973337585,99763216.0,126,SAKAMBARIPRODUCT NEPAL,NAAZ,NAAZ 1.4GM,2.5,PPH,1.4GM,,1645973337585-sakambariproduct nepal-naaz.png,RECODING,5,1,99763216,123.69893,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,SAKAMBARI PRODUCT-NEPAL,NAAZ,NAAZ,1.4G PAAN MASALA,PLAST,1.4G,SWEET,,1.4,GM,2.5
2022-02-28,202202,122277042,1645973337585,99763216.0,126,SAKAMBARIPRODUCT NEPAL,NAAZ,NAAZ 1.4GM,2.5,PPH,1.4GM,,1645973337585-sakambariproduct nepal-naaz.png,RECODING,5,2,99764164,145.0034,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,SAKAMBARI PRODUCT-NEPAL,PARAG,PARAG,1.7G PAAN MASALA,PLAST,1.7G,SWEET,,1.7,GM,3.0
2022-02-28,202202,122277042,1645973337585,99763216.0,126,SAKAMBARIPRODUCT NEPAL,NAAZ,NAAZ 1.4GM,2.5,PPH,1.4GM,,1645973337585-sakambariproduct nepal-naaz.png,RECODING,5,3,99764787,154.01974,124,GUTKA,GUTKA,GUTKA,SAKAMBARI PRODUCT-NEPAL,SHREE NAAZ,SHREE NAAZ,1.7G GUTKA,PLAST,1.7G,REGULAR,,1.7,GM,3.0
2022-02-28,202202,132990295,1645950892798,99763217.0,123,SHIVSHAKTI SOAP INDUSTRIES NEPAL ,ALFA,ALFA/DETERGENT SOAP/GM 100/EWP/RS 10,10.0,EWP,GM 100,,1645950892798-shivshakti soap industries nepal -alfa.png,RECODING,5,1,48731,141.08618,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,SHIVA SHAKTI SOAP - NEPAL,ALFA,ALFA,ALFA-DETERGEN POWDER PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,0.0
2022-02-28,202202,132990295,1645950892798,99763217.0,123,SHIVSHAKTI SOAP INDUSTRIES NEPAL ,ALFA,ALFA/DETERGENT SOAP/GM 100/EWP/RS 10,10.0,EWP,GM 100,,1645950892798-shivshakti soap industries nepal -alfa.png,RECODING,5,2,47114,142.7989,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,SHIVA SHAKTI SOAP - NEPAL,ALFA,ALFA,ALFA-DETERGEN POWDER PPH  275 GM,PLPCH,275.000 GM,,,275.0,GM,0.0
2022-02-28,202202,132990295,1645950892798,99763217.0,123,SHIVSHAKTI SOAP INDUSTRIES NEPAL ,ALFA,ALFA/DETERGENT SOAP/GM 100/EWP/RS 10,10.0,EWP,GM 100,,1645950892798-shivshakti soap industries nepal -alfa.png,RECODING,5,3,99763485,144.8357,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,SHIVA SHAKTI SOAP - NEPAL,ALFA,ALFA,ALFA-DETERGEN POWDER PPH 250 GM,PLPCH,250.000 GM,,,250.0,GM,20.0
2022-03-01,202202,435872910128,1646027872071,99763224.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN MANIA,HYGEN MANIA/MANGO DRINK/ML 200/TPK/RS 25,25.0,TPK,ML 200,,1646027872071-hygen packs nepal pvt ltd-nepal-hygen mania.png,RECODING,5,1,99763844,62.559006,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,HYGEN PACKS NEPAL PVT LTD-NEPAL,MANIA,MANIA MAGIC,MANGO TPK 180 ML+20 ML FREE,TPK,180.000 ML,MANGO,,200.0,ML,25.0
2022-03-01,202202,435872910128,1646027872071,99763224.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN MANIA,HYGEN MANIA/MANGO DRINK/ML 200/TPK/RS 25,25.0,TPK,ML 200,,1646027872071-hygen packs nepal pvt ltd-nepal-hygen mania.png,RECODING,5,2,99763224,67.48179,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN MANIA,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
