t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2023-03-10,202303,2,113200967,21101020334,1678342726599,99764704.0,134,PARLE AGRO PVT LTD-INDIA,APPY,APPY\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678342726599-parle agro pvt ltd-india-appy#3.png,CROSS CODING,2,1,99764819,114.12226,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,PARLE AGRO PVT LTD-INDIA,APPY,APPY FIZZ APPLE,APPLE PET 160 ML,PET,160.000 ML,APPLE,,160.0,ML,30.0,0,False,rejected
2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,1,52568,82.72536,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO TPK 160 ML,TPK,160.000 ML,MANGO,,160.0,ML,0.0,1,True,high
2023-03-10,202303,2,131076027,22101020027,1678343905076,99764932.0,134,PRAGATI CHEMICAL-INDIA,KEMPTY LITCHI,KEMPTY LITCHI\150ML\PBT\20ML FREE PULPY LITCHI,16.0,PBT,150ML,,1678343905076-pragati chemical-india-kempty litchi#3.png,RECODING,5,1,99764932,149.15903,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,PRAGATI CHEMICAL-INDIA,KEMPTY,KEMPTY LITCHI,LITCHI PET 150 ML+20 ML FREE,PET,150.000 ML,LYCHEE,,170.0,ML,16.0,1,True,high
2023-03-20,202303,2,232113810219,23211020004,1678343905076,99764932.0,134,PRAGATI CHEMICAL-INDIA,KEMPTY LITCHI,KEMPTY LITCHI\150ML\PBT\20ML FREE PULPY LITCHI,16.0,PBT,150ML,,1678343905076-pragati chemical-india-kempty litchi#3.png,RECODING,5,1,99764932,149.15903,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,PRAGATI CHEMICAL-INDIA,KEMPTY,KEMPTY LITCHI,LITCHI PET 150 ML+20 ML FREE,PET,150.000 ML,LYCHEE,,170.0,ML,16.0,1,True,high
2023-03-10,202303,2,112116438,21102020060,1678349808023,99764931.0,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS-MANGO/PBT/320ML/SINGAPORE BEVERAGES NEPAL PVT.LTD,140.0,PBT,320ML,,1678349808023-singapore beverage-nepal-fruit gems#3.png,RECODING,5,1,99764931,97.263084,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,MANGO PET 320 ML,PET,320.000 ML,MANGO,,320.0,ML,140.0,1,True,high
2023-03-13,202303,3,1210101689,12101030231,1678426246678,99764933.0,105,GORKHA LAHARI PVT.LTD.- NEPAL,SAHARA ,SAHARA PUNCH FILTER HL-20'S,115.0,HL,20,,1678426246678-gorkha lahari pvt-ltd-- nepal-sahara #3.png,RECODING,5,1,99764933,55.180023,105,CIGARETTE,,,GORKHA LAHARI PVT.LTD.- NEPAL,SAHARA,SAHARA FILTER PUNCH,HL 20'S,HL,20,FRESH,,20.0,NO,115.0,1,True,high
2023-03-13,202303,3,1210102732,12101030175,1678426246678,99764933.0,105,GORKHA LAHARI PVT.LTD.- NEPAL,SAHARA ,SAHARA PUNCH FILTER HL-20'S,115.0,HL,20,,1678426246678-gorkha lahari pvt-ltd-- nepal-sahara #3.png,RECODING,5,1,99764933,55.180023,105,CIGARETTE,,,GORKHA LAHARI PVT.LTD.- NEPAL,SAHARA,SAHARA FILTER PUNCH,HL 20'S,HL,20,FRESH,,20.0,NO,115.0,1,True,high
2023-03-13,202303,3,1210102765,12101030221,1678426246678,99764933.0,105,GORKHA LAHARI PVT.LTD.- NEPAL,SAHARA ,SAHARA PUNCH FILTER HL-20'S,115.0,HL,20,,1678426246678-gorkha lahari pvt-ltd-- nepal-sahara #3.png,RECODING,5,1,99764933,55.180023,105,CIGARETTE,,,GORKHA LAHARI PVT.LTD.- NEPAL,SAHARA,SAHARA FILTER PUNCH,HL 20'S,HL,20,FRESH,,20.0,NO,115.0,1,True,high
2023-03-13,202303,2,128766356,22101020012,1678433554161,99764934.0,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA COLA\2250ML\PBT\FREE COKE ZERO 250ML,260.0,PBT,2250ML,,1678433554161-bottlers nepal - nepal-coca-cola#3.png,RECODING,5,3,99764934,77.626465,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,COCA-COLA PET 2250 ML+250 ML COCA-COLA ZERO SUGAR FREE,PET,2250.000 ML,COLA,,2250.0,ML,260.0,3,True,high
2023-03-16,202303,2,130617413,22101020010,1678433554161,99764934.0,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA COLA\2250ML\PBT\FREE COKE ZERO 250ML,260.0,PBT,2250ML,,1678433554161-bottlers nepal - nepal-coca-cola#3.png,RECODING,5,3,99764934,77.626465,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA,COCA-COLA PET 2250 ML+250 ML COCA-COLA ZERO SUGAR FREE,PET,2250.000 ML,COLA,,2250.0,ML,260.0,3,True,high
