t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2022-05-26,202205,131076027,1653378756582,99763704.0,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,MOUNTAIN DEW\250ML\PBT,32.0,PBT,250ML,,1653378756582-pepsi cola cmpny imprtd-imprtd-mountain dew.png,RECODING,5,1,99762620,87.13866,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,PEPSI COLA CMPNY IMPRTD-IMPRTD,MOUNTAIN DEW,MOUNTAIN DEW,PET 2000 ML+250 ML EXTRA,PET,2000.000 ML,LEMON,,2250.0,ML,200.0,0,False,rejected
2022-05-26,202205,130366006,1653381367292,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1653381367292-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,3,99763514,106.43639,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO PET 200 ML,PET,200.000 ML,MANGO,,200.0,ML,35.0,3,True,high
2022-05-26,202205,1021134501781,1653391856924,99763705.0,125,GREEN TOBACOO COMPANY PVT LTD,SUPER LIKE,SUPER LIKE 20 GM,35.0,PPH,20 GM,Any other reason,1653391856924-green tobacoo company pvt ltd-super like.png,RECODING,5,1,99763705,115.50301,125,KHAINI,KHAINI,KHAINI,GREEN TOBACOO COMPANY PVT LTD,SUPER LIKE,SUPER LIKE,20G KHAINI,PLAST,20G,REGULAR,,20.0,GM,35.0,1,True,high
2022-05-30,202205,124567392,1653534171842,99763258.0,130,MHL HEALTHCARE LTD-INDIA,FIRE XTACY,FIRE XTACY 6IN1/SIX FEATURES WITH EXTRA TIME/3 UNITS/CBP,80.0,CBP,3 UNITS,,1653534171842-mhl healthcare ltd-india-fire xtacy.png,CROSS CODING,2,1,99763258,120.83622,130,CONDOM-NP,CONDOM,CONDOM,MHL HEALTHCARE LTD-INDIA,FIRE XTACY,FIRE XTACY,FIRE XTACY-SIX FEATURES WITH EXTRA TIME CBP 3 NOS,CDBOX,3.000 NO,,,3.0,NO,80.0,1,True,high
2022-05-30,202205,124567392,1653535275671,99763722.0,130,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY DOTTED ,D'LAY DOTTED CONDOMS/CHOCOLATE/3 PCS/CBP,50.0,CBP,3 UNITS,,1653535275671-safe guard contracptvs p lt-in-d-lay dotted .png,RECODING,5,1,99763722,71.45595,130,CONDOM-NP,CONDOM,CONDOM,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY,D'LAY,D'LAY-FLAVOURED DOTTED CHOCOLATE CBP 3NO,CDBOX,3.000 NO,,,3.0,NO,50.0,1,True,high
2022-05-30,202205,124567392,1653535427662,99763720.0,130,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY DOTTED ,D'LAY DOTTED CONDOMS/BLUE BERRY/3 PCS/CBP,50.0,CBP,3 UNITS,,1653535427662-safe guard contracptvs p lt-in-d-lay dotted .png,RECODING,5,1,99763720,82.04611,130,CONDOM-NP,CONDOM,CONDOM,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY,D'LAY,D'LAY-FLAVOURED DOTTED BLUEBERRY CBP 3NO,CDBOX,3.000 NO,,,3.0,NO,50.0,1,True,high
2022-05-30,202205,124567392,1653535533617,99763721.0,130,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY DOTTED ,D'LAY DOTTED CONDOMS/MINT/3 PCS/CBP,50.0,CBP,3 UNITS,,1653535533617-safe guard contracptvs p lt-in-d-lay dotted .png,RECODING,5,1,99763721,81.1544,130,CONDOM-NP,CONDOM,CONDOM,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY,D'LAY,D'LAY-FLAVOURED DOTTED MINT CBP 3NO,CDBOX,3.000 NO,,,3.0,NO,50.0,1,True,high
2022-05-30,202205,124567392,1653535689636,99763723.0,130,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY DOTTED ,D'LAY DOTTED CONDOMS/BANANA/3 PCS/CBP,50.0,CBP,3 UNITS,New Category,1653535689636-safe guard contracptvs p lt-in-d-lay dotted .png,RECODING,5,1,99763723,74.10421,130,CONDOM-NP,CONDOM,CONDOM,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY,D'LAY,D'LAY-FLAVOURED DOTTED BANANA CBP 3NO,CDBOX,3.000 NO,,,3.0,NO,50.0,1,True,high
2022-05-30,202205,124865093,1653537465733,99763710.0,118,MEGA FOODS & BEVERAGE-NEPAL,MEGA UTSAV,MEGA UTSAV/MANGO/250ML/PBT,40.0,PBT,250ML ,,1653537465733-mega foods - beverage-nepal-mega utsav.png,RECODING,5,1,99763710,79.48329,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,MEGA FOODS & BEVERAGE-NEPAL,MEGA,MEGA UTSAV,MANGO PET 250 ML,PET,250.000 ML,MANGO,,250.0,ML,40.0,1,True,high
2022-06-06,202206,130217025,1653537465733,99763710.0,118,MEGA FOODS & BEVERAGE-NEPAL,MEGA UTSAV,MEGA UTSAV/MANGO/250ML/PBT,40.0,PBT,250ML ,,1653537465733-mega foods - beverage-nepal-mega utsav.png,RECODING,5,1,99763710,79.48329,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,MEGA FOODS & BEVERAGE-NEPAL,MEGA,MEGA UTSAV,MANGO PET 250 ML,PET,250.000 ML,MANGO,,250.0,ML,40.0,1,True,high
