t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2023-05-09,202305,3,1230202136,12302030236,1683537036651,99765009.0,127.0,IPA GUTKHA UDHYOG-NEPAL,RR13,RR,2.0,1GM,PPH ,,1683537036651-ipa gutkha udhyog-nepal-rr13#3.png,RECODING,5,1,99765009,66.67868,124,GUTKA,GUTKA,GUTKA,IPA GUTKHA UDHYOG-NEPAL,RR13,RR13,1G GUTKA,PLAST,1G,REGULAR,,1.0,GM,2.0
2023-05-09,202305,3,1230202136,12302030236,1683537036651,99765009.0,127.0,IPA GUTKHA UDHYOG-NEPAL,RR13,RR,2.0,1GM,PPH ,,1683537036651-ipa gutkha udhyog-nepal-rr13#3.png,RECODING,5,2,99764765,125.96423,124,GUTKA,GUTKA,GUTKA,IPA GUTKHA UDHYOG-NEPAL,KICK,KICK,2G GUTKA,PLAST,2G,REGULAR,,2.0,GM,6.0
2023-05-09,202305,3,1230202136,12302030236,1683537036651,99765009.0,127.0,IPA GUTKHA UDHYOG-NEPAL,RR13,RR,2.0,1GM,PPH ,,1683537036651-ipa gutkha udhyog-nepal-rr13#3.png,RECODING,5,3,99764753,133.17154,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,IPA GUTKHA UDHYOG-NEPAL,R-R NIWAS,R-R NIWAS PAN MASALA,3.5G PAAN MASALA,PLAST,3.5G,REGULAR,,3.5,GM,13.0
2023-05-09,202305,2,124775456,21301020033,1683526302648,99765006.0,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI MANGO,FROOTI MANGO\150\ML,30.0,150 ML,PET,New SKU,1683526302648-south asian beverages p- ltd-nepal-frooti mango#3.png,RECODING,5,1,99765006,92.70305,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI,MANGO PET 150 ML,PET,150.000 ML,MANGO,,150.0,ML,30.0
2023-05-09,202305,2,124775456,21301020033,1683526302648,99765006.0,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI MANGO,FROOTI MANGO\150\ML,30.0,150 ML,PET,New SKU,1683526302648-south asian beverages p- ltd-nepal-frooti mango#3.png,RECODING,5,2,99764993,102.97215,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI,MANGO PET 250 ML,PET,250.000 ML,MANGO,,250.0,ML,50.0
2023-05-09,202305,2,124775456,21301020033,1683526302648,99765006.0,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI MANGO,FROOTI MANGO\150\ML,30.0,150 ML,PET,New SKU,1683526302648-south asian beverages p- ltd-nepal-frooti mango#3.png,RECODING,5,3,99765419,103.84868,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI,MANGO PET 1000 ML,PET,1000.000 ML,MANGO,,1000.0,ML,170.0
2023-05-09,202305,2,124775456,21301020033,1683526135695,99764921.0,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160\ML,30.0,160 ML,PET,New SKU,1683526135695-south asian beverages p- ltd-nepal-appy fizz#3.png,CROSS CODING,2,1,99765076,105.43642,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FIZZ,FIZZ,MALT PET 160 ML,PET,160.000 ML,MALT,,160.0,ML,30.0
2023-05-09,202305,2,124775456,21301020033,1683526135695,99764921.0,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160\ML,30.0,160 ML,PET,New SKU,1683526135695-south asian beverages p- ltd-nepal-appy fizz#3.png,CROSS CODING,2,2,99764921,117.999954,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY,APPY FIZZ APPLE,APPLE PET 160 ML,PET,160.000 ML,APPLE,,160.0,ML,30.0
2023-05-09,202305,2,124775456,21301020033,1683526135695,99764921.0,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160\ML,30.0,160 ML,PET,New SKU,1683526135695-south asian beverages p- ltd-nepal-appy fizz#3.png,CROSS CODING,2,3,99765000,123.18812,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY,APPY FIZZ APPLE,APPLE PET 250 ML,PET,250.000 ML,APPLE,,250.0,ML,50.0
2023-05-09,202305,2,124775456,21301020033,1683525722480,,,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160\ML,30.0,160 ML,PET,New SKU,1683525722480-south asian beverages p- ltd-nepal-appy fizz#3.png,DELETE THE ITEM,1,1,99765076,104.377174,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FIZZ,FIZZ,MALT PET 160 ML,PET,160.000 ML,MALT,,160.0,ML,30.0
2023-05-09,202305,2,124775456,21301020033,1683525722480,,,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160\ML,30.0,160 ML,PET,New SKU,1683525722480-south asian beverages p- ltd-nepal-appy fizz#3.png,DELETE THE ITEM,1,2,99764921,114.00534,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY,APPY FIZZ APPLE,APPLE PET 160 ML,PET,160.000 ML,APPLE,,160.0,ML,30.0
2023-05-09,202305,2,124775456,21301020033,1683525722480,,,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160\ML,30.0,160 ML,PET,New SKU,1683525722480-south asian beverages p- ltd-nepal-appy fizz#3.png,DELETE THE ITEM,1,3,99765000,118.960304,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY,APPY FIZZ APPLE,APPLE PET 250 ML,PET,250.000 ML,APPLE,,250.0,ML,50.0
2023-05-09,202305,2,124917435,52202020014,1683534289841,99765006.0,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI ,FROOTI MANGO/150ML/PBT,30.0,1500ML ,PBT,,1683534289841-south asian beverages p- ltd-nepal-frooti #3.png,RECODING,5,1,99765006,99.92128,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI,MANGO PET 150 ML,PET,150.000 ML,MANGO,,150.0,ML,30.0
2023-05-09,202305,2,124917435,52202020014,1683534289841,99765006.0,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI ,FROOTI MANGO/150ML/PBT,30.0,1500ML ,PBT,,1683534289841-south asian beverages p- ltd-nepal-frooti #3.png,RECODING,5,2,99764993,110.10005,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI,MANGO PET 250 ML,PET,250.000 ML,MANGO,,250.0,ML,50.0
2023-05-09,202305,2,124917435,52202020014,1683534289841,99765006.0,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI ,FROOTI MANGO/150ML/PBT,30.0,1500ML ,PBT,,1683534289841-south asian beverages p- ltd-nepal-frooti #3.png,RECODING,5,3,99764551,110.75853,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI,MANGO TPK 125 ML,TPK,125.000 ML,MANGO,,125.0,ML,20.0
