t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
14/05/2024,202405,2,111624855,12101020037,1715062951642,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25.0,180 ML.,TPK,,,RECODING,5,1,49635,101.29884,118,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
14/05/2024,202405,2,111624855,12101020037,1715062951642,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25.0,180 ML.,TPK,,,RECODING,5,2,99762349,123.36882,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,MANGO TPK 180 ML+20 ML FREE,TPK,180.000 ML,MANGO,,200.0,ML,25.0
14/05/2024,202405,2,111624855,12101020037,1715062951642,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25.0,180 ML.,TPK,,,RECODING,5,3,20125222,126.84973,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
14/05/2024,202405,2,111931758,12101020011,1715062951642,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25.0,180 ML.,TPK,Any other reason,,RECODING,5,1,49635,101.29884,118,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
14/05/2024,202405,2,111931758,12101020011,1715062951642,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25.0,180 ML.,TPK,Any other reason,,RECODING,5,2,99762349,123.36882,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,MANGO TPK 180 ML+20 ML FREE,TPK,180.000 ML,MANGO,,200.0,ML,25.0
14/05/2024,202405,2,111931758,12101020011,1715062951642,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25.0,180 ML.,TPK,Any other reason,,RECODING,5,3,20125222,126.84973,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
14/05/2024,202405,2,130302224,31101020064,1715397504289,99764112.0,134,SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,SURYADAYA,SURYADAYA BADAM DRINK/180ML/CAN/RS:100/SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,100.0,180ML,CAN,New SKU,1715397504289-suryadaya dairy udhyog pvt-ltd nepal-suryadaya#3.png,CROSS CODING,2,1,99764327,99.49488,118,SURYODAYA DAIRY UDHYOG-NEPAL,ANUKUL,ANUKUL BADAM DRINK,BADAM DRINK CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,90.0
14/05/2024,202405,2,130302224,31101020064,1715397504289,99764112.0,134,SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,SURYADAYA,SURYADAYA BADAM DRINK/180ML/CAN/RS:100/SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,100.0,180ML,CAN,New SKU,1715397504289-suryadaya dairy udhyog pvt-ltd nepal-suryadaya#3.png,CROSS CODING,2,2,99763925,99.66504,118,SURYODAYA DAIRY UDHYOG-NEPAL,GOKUL,GOKUL BADAM DRINK,BADAM & SAFFRON DRINK CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,90.0
14/05/2024,202405,2,130302224,31101020064,1715397504289,99764112.0,134,SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,SURYADAYA,SURYADAYA BADAM DRINK/180ML/CAN/RS:100/SURYADAYA DAIRY UDHYOG PVT.LTD NEPAL,100.0,180ML,CAN,New SKU,1715397504289-suryadaya dairy udhyog pvt-ltd nepal-suryadaya#3.png,CROSS CODING,2,3,99764865,100.91632,118,SURYODAYA DAIRY UDHYOG-NEPAL,GOPI,GOPI BADAM MILK DRINK,BADAM MILK DRINK CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,90.0
14/05/2024,202405,2,125080524,21301020034,1715235885076,99765209.0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA LITCHY,PERNA LITCHY\110\ML,20.0,119 ML,PET,New SKU,1715235885076-spring food - beverage-nepal-perna litchy#3.png,RECODING,5,1,99763205,34.13246,118,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA,LITCHI PET 140 ML,PET,140.000 ML,LYCHEE,,140.0,ML,20.0
14/05/2024,202405,2,125080524,21301020034,1715235885076,99765209.0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA LITCHY,PERNA LITCHY\110\ML,20.0,119 ML,PET,New SKU,1715235885076-spring food - beverage-nepal-perna litchy#3.png,RECODING,5,2,99765209,37.317493,118,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA,LITCHI PET 110 ML,PET,110.000 ML,LYCHEE,,110.0,ML,20.0
14/05/2024,202405,2,125080524,21301020034,1715235885076,99765209.0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA LITCHY,PERNA LITCHY\110\ML,20.0,119 ML,PET,New SKU,1715235885076-spring food - beverage-nepal-perna litchy#3.png,RECODING,5,3,53564,39.60537,118,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA,LITCHI PET 150 ML,PET,150.000 ML,LYCHEE,,150.0,ML,0.0
14/05/2024,202405,2,129173662,32201020018,1715166375507,99765209.0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA LITCHI/PBT/110ML/20/SPRING FOOD & BEVERAGE-NEPAL,20.0,110ML,PBT,,1715166375507-spring food - beverage-nepal-perna#3.png,RECODING,5,1,99763205,54.353817,118,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA,LITCHI PET 140 ML,PET,140.000 ML,LYCHEE,,140.0,ML,20.0
14/05/2024,202405,2,129173662,32201020018,1715166375507,99765209.0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA LITCHI/PBT/110ML/20/SPRING FOOD & BEVERAGE-NEPAL,20.0,110ML,PBT,,1715166375507-spring food - beverage-nepal-perna#3.png,RECODING,5,2,99765209,56.78779,118,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA,LITCHI PET 110 ML,PET,110.000 ML,LYCHEE,,110.0,ML,20.0
14/05/2024,202405,2,129173662,32201020018,1715166375507,99765209.0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA LITCHI/PBT/110ML/20/SPRING FOOD & BEVERAGE-NEPAL,20.0,110ML,PBT,,1715166375507-spring food - beverage-nepal-perna#3.png,RECODING,5,3,53564,60.259888,118,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA,LITCHI PET 150 ML,PET,150.000 ML,LYCHEE,,150.0,ML,0.0
14/05/2024,202405,2,132616465,52201020002,1715153518102,99765210.0,134,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA BADAM DRINK,REVA BADAM DRINK/ALMOND & SAFFRON/160ML/CAN,105.0,160ML ,CAN,Any other reason,1715153518102-mahabaleshwor dairy - beverage-nepal-reva badam drink#3.png,RECODING,5,1,99765210,29.81395,118,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA,REVA BADAM DRINK,BADAM & SAFFRON DRINK CAN 160 ML,CAN,160.000 ML,ALMOND,,160.0,ML,105.0
14/05/2024,202405,2,132616465,52201020002,1715153518102,99765210.0,134,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA BADAM DRINK,REVA BADAM DRINK/ALMOND & SAFFRON/160ML/CAN,105.0,160ML ,CAN,Any other reason,1715153518102-mahabaleshwor dairy - beverage-nepal-reva badam drink#3.png,RECODING,5,2,99762530,33.129616,118,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA,REVA BADAM DRINK,BADAM & SAFFRON DRINK CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,120.0
14/05/2024,202405,2,132616465,52201020002,1715153518102,99765210.0,134,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,REVA BADAM DRINK,REVA BADAM DRINK/ALMOND & SAFFRON/160ML/CAN,105.0,160ML ,CAN,Any other reason,1715153518102-mahabaleshwor dairy - beverage-nepal-reva badam drink#3.png,RECODING,5,3,99765460,60.68878,118,MAHABALESHWOR DAIRY & BEVERAGE-NEPAL,SDU,SDU BADAM DRINK,BADAM & SAFFRON DRINK CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,100.0
14/05/2024,202405,2,132616465,52201020002,1715074724255,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,25.0,180ML,TPK,Any other reason,,RECODING,5,1,49635,87.118286,118,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
14/05/2024,202405,2,132616465,52201020002,1715074724255,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,25.0,180ML,TPK,Any other reason,,RECODING,5,2,99762349,104.34802,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,MANGO TPK 180 ML+20 ML FREE,TPK,180.000 ML,MANGO,,200.0,ML,25.0
14/05/2024,202405,2,132616465,52201020002,1715074724255,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,25.0,180ML,TPK,Any other reason,,RECODING,5,3,99765207,106.93419,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,MANGO TPK 180 ML,TPK,180.000 ML,MANGO,,180.0,ML,25.0
14/05/2024,202405,2,131490627,52201020004,1715074724255,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,25.0,180ML,TPK,Any other reason,,RECODING,5,1,49635,87.118286,118,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
14/05/2024,202405,2,131490627,52201020004,1715074724255,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,25.0,180ML,TPK,Any other reason,,RECODING,5,2,99762349,104.34802,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,MANGO TPK 180 ML+20 ML FREE,TPK,180.000 ML,MANGO,,200.0,ML,25.0
14/05/2024,202405,2,131490627,52201020004,1715074724255,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,25.0,180ML,TPK,Any other reason,,RECODING,5,3,99765207,106.93419,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,MANGO TPK 180 ML,TPK,180.000 ML,MANGO,,180.0,ML,25.0
14/05/2024,202405,2,131167379,52201020005,1715074724255,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,25.0,180ML,TPK,Any other reason,,RECODING,5,1,49635,87.118286,118,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
14/05/2024,202405,2,131167379,52201020005,1715074724255,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,25.0,180ML,TPK,Any other reason,,RECODING,5,2,99762349,104.34802,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,MANGO TPK 180 ML+20 ML FREE,TPK,180.000 ML,MANGO,,200.0,ML,25.0
14/05/2024,202405,2,131167379,52201020005,1715074724255,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,25.0,180ML,TPK,Any other reason,,RECODING,5,3,99765207,106.93419,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,MANGO TPK 180 ML,TPK,180.000 ML,MANGO,,180.0,ML,25.0
14/05/2024,202405,2,111889963,12101020036,1715062951642,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25.0,180 ML.,TPK,,1715062951642-cg foods- nepal-rio juice - glucose#3.png,RECODING,5,1,49635,101.29884,118,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
14/05/2024,202405,2,111889963,12101020036,1715062951642,99765207.0,134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE N GLUCOSE TPK180 ML,25.0,180 ML.,TPK,,1715062951642-cg foods- nepal-rio juice - glucose#3.png,RECODING,5,2,99762349,123.36882,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,MANGO TPK 180 ML+20 ML FREE,TPK,180.000 ML,MANGO,,200.0,ML,25.0
