File,Total Transactions,Top-1 Accuracy,Top-2 Accuracy,Top-3 Accuracy,Precision,Recall,Specificity,Type I Error,Type II Error
apr-22_transaction_matches.csv,194,0.6443298969072165,0.7061855670103093,0.7474226804123711,0.24914089347079038,0.7474226804123711,0.0,1.0,0.25257731958762886
apr-23_transaction_matches.csv,43,0.9069767441860465,0.9534883720930233,0.9534883720930233,0.3178294573643411,0.9534883720930233,0.0,1.0,0.046511627906976744
apr-24_transaction_matches.csv,39,0.8717948717948718,0.8974358974358975,0.9230769230769231,0.3076923076923077,0.9230769230769231,0.0,1.0,0.07692307692307693
aug-22_transaction_matches.csv,120,0.7666666666666667,0.7916666666666666,0.8,0.26666666666666666,0.8,0.0,1.0,0.2
aug-23_transaction_matches.csv,13,0.8461538461538461,0.9230769230769231,1.0,0.3333333333333333,1.0,0.0,1.0,0.0
aug-24_transaction_matches.csv,20,0.75,0.85,0.85,0.2833333333333333,0.85,0.0,1.0,0.15
dec-22_transaction_matches.csv,275,0.7418181818181818,0.8181818181818182,0.8690909090909091,0.2896969696969697,0.8690909090909091,0.0,1.0,0.13090909090909092
dec-23_transaction_matches.csv,16,0.875,1.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.0
dec-24_transaction_matches.csv,13,0.8461538461538461,0.9230769230769231,1.0,0.3333333333333333,1.0,0.0,1.0,0.0
feb-22_transaction_matches.csv,239,0.7154811715481172,0.8075313807531381,0.8368200836820083,0.2789400278940028,0.8368200836820083,0.0,1.0,0.16317991631799164
feb-23_transaction_matches.csv,98,0.7040816326530612,0.7857142857142857,0.7959183673469388,0.2653061224489796,0.7959183673469388,0.0,1.0,0.20408163265306123
feb-24_transaction_matches.csv,19,0.7894736842105263,0.8947368421052632,0.8947368421052632,0.2982456140350877,0.8947368421052632,0.0,1.0,0.10526315789473684
jan-22_transaction_matches.csv,125,0.624,0.744,0.784,0.2613333333333333,0.784,0.0,1.0,0.216
jan-23_transaction_matches.csv,108,0.8055555555555556,0.8703703703703703,0.9166666666666666,0.3055555555555556,0.9166666666666666,0.0,1.0,0.08333333333333333
jan-24_transaction_matches.csv,9,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.2962962962962963,0.8888888888888888,0.0,1.0,0.1111111111111111
jul-22_transaction_matches.csv,79,0.7468354430379747,0.810126582278481,0.8607594936708861,0.2869198312236287,0.8607594936708861,0.0,1.0,0.13924050632911392
jul-23_transaction_matches.csv,9,0.4444444444444444,0.6666666666666666,0.7777777777777778,0.25925925925925924,0.7777777777777778,0.0,1.0,0.2222222222222222
jul-24_transaction_matches.csv,21,0.6190476190476191,0.8095238095238095,0.8095238095238095,0.2698412698412698,0.8095238095238095,0.0,1.0,0.19047619047619047
jun-22_transaction_matches.csv,125,0.728,0.784,0.816,0.272,0.816,0.0,1.0,0.184
jun-23_transaction_matches.csv,36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
jun-24_transaction_matches.csv,30,0.8666666666666667,0.9,0.9333333333333333,0.3111111111111111,0.9333333333333333,0.0,1.0,0.06666666666666667
mar-22_transaction_matches.csv,246,0.6707317073170732,0.7601626016260162,0.8008130081300813,0.2669376693766938,0.8008130081300813,0.0,1.0,0.1991869918699187
mar-23_transaction_matches.csv,40,0.85,0.875,0.925,0.30833333333333335,0.925,0.0,1.0,0.075
mar-24_transaction_matches.csv,23,0.782608695652174,0.9130434782608695,0.9130434782608695,0.30434782608695654,0.9130434782608695,0.0,1.0,0.08695652173913043
may-22_transaction_matches.csv,164,0.7621951219512195,0.8414634146341463,0.8780487804878049,0.2926829268292683,0.8780487804878049,0.0,1.0,0.12195121951219512
may-23_transaction_matches.csv,50,0.84,0.9,0.92,0.30666666666666664,0.92,0.0,1.0,0.08
may-24_transaction_matches.csv,39,0.8461538461538461,0.8461538461538461,0.8717948717948718,0.2905982905982906,0.8717948717948718,0.0,1.0,0.1282051282051282
nov-22_transaction_matches.csv,107,0.8037383177570093,0.8317757009345794,0.8598130841121495,0.2866043613707165,0.8598130841121495,0.0,1.0,0.14018691588785046
nov-23_transaction_matches.csv,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.0,1.0,0.3333333333333333
nov-24_transaction_matches.csv,14,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.30952380952380953,0.9285714285714286,0.0,1.0,0.07142857142857142
oct-22_transaction_matches.csv,148,0.7972972972972973,0.8513513513513513,0.8918918918918919,0.2972972972972973,0.8918918918918919,0.0,1.0,0.10810810810810811
oct-23_transaction_matches.csv,14,0.8571428571428571,0.8571428571428571,1.0,0.3333333333333333,1.0,0.0,1.0,0.0
oct-24_transaction_matches.csv,4,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.0
sep-22_transaction_matches.csv,103,0.8349514563106796,0.8640776699029126,0.883495145631068,0.29449838187702265,0.883495145631068,0.0,1.0,0.11650485436893204
sep-23_transaction_matches.csv,5,0.8,1.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.0
sep-24_transaction_matches.csv,22,0.9090909090909091,0.9090909090909091,0.9545454545454546,0.3181818181818182,0.9545454545454546,0.0,1.0,0.045454545454545456
