t_CATEGORY, t_MANUFACTURE                       , t_BRAND                 , t_ITEMDESC                                                                 , t_MRP, t_PACKSIZE, t_PACKTYPE, rank, matched_itemcode, distance            , m_catcode, m_company                          , m_mbrand              , m_brand                  , m_sku                 , m_packtype, m_base_pack, m_flavor    , m_color, m_wght , m_uom, m_mrp
       105, GORKHA LAHARI PVT. LTD              , CAPTAIN FILTER KING GOLD, CAPTAIN/20/HL/LUXURY/GORKHA LAHARI PVT. LTD/NEPAL                          , 161.0, 20        , HL        ,    1,         99765328,  54.16333770751953  ,       105, GORKHA LAHARI PVT.LTD.- NEPAL      , CAPTAIN               , CAPTAIN GOLD FILTER KINGS, HL 20'S               , HL        , 20         , FULL FLAVOUR,        ,   20.0 , NO   , 161.0
       105, GORKHA LAHARI PVT.LTD.- NEPAL       , CAPTAIN GOLD            , CAPTAIN GOLD FILTER KINGS /HL/20 NOS                                       , 161.5, 20 NOS    , CBP       ,    1,         99765328,  51.03435134887695  ,       105, GORKHA LAHARI PVT.LTD.- NEPAL      , CAPTAIN               , CAPTAIN GOLD FILTER KINGS, HL 20'S               , HL        , 20         , FULL FLAVOUR,        ,   20.0 , NO   , 161.0
       105, GORKHA LAHARI PVT.LTD.- NEPAL       , CAPTAIN GOLD            , CAPTAIN GOLD FILTER KINGS \20\RS161                                        , 161.0, 20 NOSE   , KFT       ,    1,         99765328,  69.47099304199219  ,       105, GORKHA LAHARI PVT.LTD.- NEPAL      , CAPTAIN               , CAPTAIN GOLD FILTER KINGS, HL 20'S               , HL        , 20         , FULL FLAVOUR,        ,   20.0 , NO   , 161.0
       105, GORKHA LAHARI PVT.LTD.- NEPAL       , CAPTAIN GOLD            , CAPTAIN GOLD/HL/20NOS/KFS/RS161.5                                          , 161.5, 20NOS     , KFS       ,    1,         99762386,  73.0855712890625   ,       105, GORKHA LAHARI PVT.LTD.- NEPAL      , CAPTAIN               , CAPTAIN MOUNTAIN FRESH   , HL 20'S               , HL        , 20         , FRESH       ,        ,   20.0 , NO   , 110.0
       105, SURYA NEPAL PVT LTD - NEPAL         , CAPTAIN FILTER KINGS    , CAPTAIN FILTER KINGS GOLD                                                  , 161.5, 20K''S    , FLT       ,    1,         99763983, 108.67170715332031  ,       105, SURYA NEPAL PVT LTD - NEPAL        , SHAAN                 , SHAAN FILTER             , HL 20'S               , HL        , 20         , FULL FLAVOUR,        ,   20.0 , NO   ,  95.0
       105, SURYA NEPAL PVT LTD - NEPAL         , SURYA FUSION            , SURYA FUSION                                                               , 320.0, 20        , HL        ,    1,         99765321,  65.37266540527344  ,       105, SURYA NEPAL PVT LTD - NEPAL        , SURYA                 , SURYA FUSION             , HL 20'S               , HL        , 20         , FULL FLAVOUR,        ,   20.0 , NO   , 320.0
       105, SURYA NEPAL PVT LTD - NEPAL         , SURYA FUSION            , SURYA FUSION                                                               , 320.0, 20'S-KS   , FTP       ,    1,         99765321, 104.72183227539062  ,       105, SURYA NEPAL PVT LTD - NEPAL        , SURYA                 , SURYA FUSION             , HL 20'S               , HL        , 20         , FULL FLAVOUR,        ,   20.0 , NO   , 320.0
       105, SURYA NEPAL PVT LTD - NEPAL         , SURYA FUSION            , SURYA FUSION                                                               , 320.0, 20K'S     , FLT       ,    1,         99765321,  83.50823974609375  ,       105, SURYA NEPAL PVT LTD - NEPAL        , SURYA                 , SURYA FUSION             , HL 20'S               , HL        , 20         , FULL FLAVOUR,        ,   20.0 , NO   , 320.0
       105, SURYA NEPAL PVT LTD - NEPAL         , SURYA FUSION            , SURYA FUSION                                                               , 320.0, 75-85MM   , 20        ,    1,         99765321,  92.42784118652344  ,       105, SURYA NEPAL PVT LTD - NEPAL        , SURYA                 , SURYA FUSION             , HL 20'S               , HL        , 20         , FULL FLAVOUR,        ,   20.0 , NO   , 320.0
       105, SURYA NEPAL PVT LTD - NEPAL         , SURYA FUSION            , SURYA FUSION                                                               , 320.0, HL 20 NOS , CBP       ,    1,         99765321,  83.58419036865234  ,       105, SURYA NEPAL PVT LTD - NEPAL        , SURYA                 , SURYA FUSION             , HL 20'S               , HL        , 20         , FULL FLAVOUR,        ,   20.0 , NO   , 320.0
