t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
13/11/2024,202411,2,130302224,31101020064,1731403137739,99765323,134,SURYADAYA DAIRY UDHYOG PVT LTD NEPAL,SURYADAYA ,SURYADAYA BADAM DRINK\180ML\CAN\RS:100\SURYADAYA DAIRY UDHYOG PVT LTD NEPAL,99.0,180ML,CAN,New SKU,1731403137739-suryadaya dairy udhyog pvt ltd nepal-suryadaya #3.png,RECODING,5,1,99765323,116.4176,118,SOFT DRINKS-NP,SOFT DRINKS,MILK BASED DRINK,SURYODAYA DAIRY UDHYOG-NEPAL,SURYODAYA,SURYODAYA BADAM DRINK,ALMOND & SAFFRON DRINK CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,99.0
13/11/2024,202411,2,130302224,31101020064,1731403137739,99765323,134,SURYADAYA DAIRY UDHYOG PVT LTD NEPAL,SURYADAYA ,SURYADAYA BADAM DRINK\180ML\CAN\RS:100\SURYADAYA DAIRY UDHYOG PVT LTD NEPAL,99.0,180ML,CAN,New SKU,1731403137739-suryadaya dairy udhyog pvt ltd nepal-suryadaya #3.png,RECODING,5,2,99764112,120.84996,118,SOFT DRINKS-NP,SOFT DRINKS,MILK BASED DRINK,SURYODAYA DAIRY UDHYOG-NEPAL,SURYODAYA,SURYODAYA COOL,ALMOND & SAFFRON DRINK CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,90.0
13/11/2024,202411,2,130302224,31101020064,1731403137739,99765323,134,SURYADAYA DAIRY UDHYOG PVT LTD NEPAL,SURYADAYA ,SURYADAYA BADAM DRINK\180ML\CAN\RS:100\SURYADAYA DAIRY UDHYOG PVT LTD NEPAL,99.0,180ML,CAN,New SKU,1731403137739-suryadaya dairy udhyog pvt ltd nepal-suryadaya #3.png,RECODING,5,3,99763925,123.297386,118,SOFT DRINKS-NP,SOFT DRINKS,MILK BASED DRINK,SURYODAYA DAIRY UDHYOG-NEPAL,GOKUL,GOKUL BADAM DRINK,BADAM & SAFFRON DRINK CAN 180 ML,CAN,180.000 ML,ALMOND,,180.0,ML,90.0
13/11/2024,202411,3,1210102727,12101030182,1731409450152,99765320,126,MADHU CHEMICAL COMPANY,MADHU,MADHU-SWEET SUPERI PPH-1.45 GM,3.0,1.45 GM.,PPH,,1731409450152-madhu chemical company-madhu#3.png,RECODING,5,1,99765320,113.186455,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.45G PAAN MASALA,PLAST,1.45G,SWEET,,1.45,GM,3.0
13/11/2024,202411,3,1210102727,12101030182,1731409450152,99765320,126,MADHU CHEMICAL COMPANY,MADHU,MADHU-SWEET SUPERI PPH-1.45 GM,3.0,1.45 GM.,PPH,,1731409450152-madhu chemical company-madhu#3.png,RECODING,5,2,99762215,121.03764,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.25G PAAN MASALA,PLAST,1.25G,SWEET,,1.25,,0.0
13/11/2024,202411,3,1210102727,12101030182,1731409450152,99765320,126,MADHU CHEMICAL COMPANY,MADHU,MADHU-SWEET SUPERI PPH-1.45 GM,3.0,1.45 GM.,PPH,,1731409450152-madhu chemical company-madhu#3.png,RECODING,5,3,99762286,183.1284,125,KHAINI,KHAINI,KHAINI,MADHU PRODUCTS,SUPER POWER,SUPER POWER,7G KHAINI,PLAST,7G,REGULAR,,7.0,,0.0
13/11/2024,202411,3,2110203313,21102030291,1731222877542,99765321,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320.0,20 NOS,KS,,,RECODING,5,1,99765321,125.16644,105,CIGARETTE,,,SURYA NEPAL PVT LTD - NEPAL,SURYA,SURYA FUSION,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,320.0
13/11/2024,202411,3,2110203313,21102030291,1731222877542,99765321,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320.0,20 NOS,KS,,,RECODING,5,2,99765090,137.69939,105,CIGARETTE,,,SURYA NEPAL PVT LTD - NEPAL,SURYA,SURYA DUAL BURST,HL 20'S,HL,20,FRESH,,20.0,NO,320.0
13/11/2024,202411,3,2110203313,21102030291,1731222877542,99765321,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320.0,20 NOS,KS,,,RECODING,5,3,99765469,141.94798,105,CIGARETTE,,,SURYA NEPAL PVT LTD - NEPAL,SURYA,SURYA SLEEK BOLT,HL 20'S,HL,20,FRESH,,20.0,NO,340.0
13/11/2024,202411,3,1220100010,12201030122,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,1,99765320,150.89122,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.45G PAAN MASALA,PLAST,1.45G,SWEET,,1.45,GM,3.0
13/11/2024,202411,3,1220100010,12201030122,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,2,99762215,159.69574,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.25G PAAN MASALA,PLAST,1.25G,SWEET,,1.25,,0.0
13/11/2024,202411,3,1220100010,12201030122,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,3,99763236,160.59235,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,PARAS PRODUCTS-NEPAL,SWEETY SUPARI,SWEETY SUPARI,1.875G PAAN MASALA,PLAST,1.875G,SWEET,,1.875,GM,2.5
13/11/2024,202411,3,1220100005,12201030170,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,1,99765320,150.89122,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.45G PAAN MASALA,PLAST,1.45G,SWEET,,1.45,GM,3.0
13/11/2024,202411,3,1220100005,12201030170,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,2,99762215,159.69574,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.25G PAAN MASALA,PLAST,1.25G,SWEET,,1.25,,0.0
13/11/2024,202411,3,1220100005,12201030170,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,3,99763236,160.59235,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,PARAS PRODUCTS-NEPAL,SWEETY SUPARI,SWEETY SUPARI,1.875G PAAN MASALA,PLAST,1.875G,SWEET,,1.875,GM,2.5
13/11/2024,202411,3,1220102348,12201030177,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,1,99765320,150.89122,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.45G PAAN MASALA,PLAST,1.45G,SWEET,,1.45,GM,3.0
13/11/2024,202411,3,1220102348,12201030177,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,2,99762215,159.69574,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.25G PAAN MASALA,PLAST,1.25G,SWEET,,1.25,,0.0
13/11/2024,202411,3,1220102348,12201030177,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,3,99763236,160.59235,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,PARAS PRODUCTS-NEPAL,SWEETY SUPARI,SWEETY SUPARI,1.875G PAAN MASALA,PLAST,1.875G,SWEET,,1.875,GM,2.5
13/11/2024,202411,2,112116438,21102020060,1731303478705,99765322,134,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT REFRESH,RAYBOT REFRESH-LITCHI-PBT-250ML,50.0,250 ML,PBT,,1731303478705-raybot spring-s mineral water-nepal-raybot refresh#3.png,RECODING,5,1,99765400,113.069176,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT,RAYBOT REFRESH,LITCHI PET 150 ML+10 ML EXTRA,PET,150.000 ML,LYCHEE,,160.0,ML,20.0
13/11/2024,202411,2,112116438,21102020060,1731303478705,99765322,134,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT REFRESH,RAYBOT REFRESH-LITCHI-PBT-250ML,50.0,250 ML,PBT,,1731303478705-raybot spring-s mineral water-nepal-raybot refresh#3.png,RECODING,5,2,99765322,118.73547,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT,RAYBOT REFRESH,LITCHI PET 250 ML,PET,250.000 ML,LYCHEE,,250.0,ML,50.0
13/11/2024,202411,2,112116438,21102020060,1731303478705,99765322,134,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT REFRESH,RAYBOT REFRESH-LITCHI-PBT-250ML,50.0,250 ML,PBT,,1731303478705-raybot spring-s mineral water-nepal-raybot refresh#3.png,RECODING,5,3,99765488,133.66013,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT,RAYBOT REFRESH ZPRITE,PET 250 ML,PET,250.000 ML,LEMON,,250.0,ML,50.0
13/11/2024,202411,3,2110203304,21102030204,1731308020769,99765321,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,1731308020769-surya nepal pvt ltd - nepal-surya fusion#3.png,RECODING,5,1,99765321,110.98517,105,CIGARETTE,,,SURYA NEPAL PVT LTD - NEPAL,SURYA,SURYA FUSION,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,320.0
13/11/2024,202411,3,2110203304,21102030204,1731308020769,99765321,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,1731308020769-surya nepal pvt ltd - nepal-surya fusion#3.png,RECODING,5,2,99765090,118.26696,105,CIGARETTE,,,SURYA NEPAL PVT LTD - NEPAL,SURYA,SURYA DUAL BURST,HL 20'S,HL,20,FRESH,,20.0,NO,320.0
13/11/2024,202411,3,2110203304,21102030204,1731308020769,99765321,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION,320.0,HL 20 NOS,CBP,,1731308020769-surya nepal pvt ltd - nepal-surya fusion#3.png,RECODING,5,3,90110247,120.942215,105,CIGARETTE,,,SURYA NEPAL PVT LTD - NEPAL,SURYA,SURYA CITRIC FRESH,HL 20'S,HL,20,FRESH,,20.0,NO,300.0
13/11/2024,202411,3,1220100007,12201030152,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,1,99765320,150.89122,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.45G PAAN MASALA,PLAST,1.45G,SWEET,,1.45,GM,3.0
13/11/2024,202411,3,1220100007,12201030152,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,2,99762215,159.69574,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.25G PAAN MASALA,PLAST,1.25G,SWEET,,1.25,,0.0
13/11/2024,202411,3,1220100007,12201030152,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,3,99763236,160.59235,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,PARAS PRODUCTS-NEPAL,SWEETY SUPARI,SWEETY SUPARI,1.875G PAAN MASALA,PLAST,1.875G,SWEET,,1.875,GM,2.5
13/11/2024,202411,3,1220100056,12201030140,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,1,99765320,150.89122,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.45G PAAN MASALA,PLAST,1.45G,SWEET,,1.45,GM,3.0
13/11/2024,202411,3,1220100056,12201030140,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,2,99762215,159.69574,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.25G PAAN MASALA,PLAST,1.25G,SWEET,,1.25,,0.0
13/11/2024,202411,3,1220100056,12201030140,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,3,99763236,160.59235,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,PARAS PRODUCTS-NEPAL,SWEETY SUPARI,SWEETY SUPARI,1.875G PAAN MASALA,PLAST,1.875G,SWEET,,1.875,GM,2.5
13/11/2024,202411,3,1220100023,12201030087,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,1,99765320,150.89122,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.45G PAAN MASALA,PLAST,1.45G,SWEET,,1.45,GM,3.0
13/11/2024,202411,3,1220100023,12201030087,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,2,99762215,159.69574,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,MADHU CHEMICAL COMPANY,MADHU,MADHU,1.25G PAAN MASALA,PLAST,1.25G,SWEET,,1.25,,0.0
13/11/2024,202411,3,1220100023,12201030087,1731054475107,99765320,126,MADHU PRODUCTS NEPAL,MADHU,MADHU-MADHU-SWEET SUPARI PPH 1.45G,3.0,1.45G,PPH,,,RECODING,5,3,99763236,160.59235,126,PAAN MASALA,PAAN MASALA,PAAN MASALA,PARAS PRODUCTS-NEPAL,SWEETY SUPARI,SWEETY SUPARI,1.875G PAAN MASALA,PLAST,1.875G,SWEET,,1.875,GM,2.5
13/11/2024,202411,3,2110203262,21102030229,1731222877542,99765321,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320.0,20 NOS,KS,,1731222877542-surya nepal pvt ltd - nepal-surya fusion#3.png,RECODING,5,1,99765321,125.16644,105,CIGARETTE,,,SURYA NEPAL PVT LTD - NEPAL,SURYA,SURYA FUSION,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,320.0
13/11/2024,202411,3,2110203262,21102030229,1731222877542,99765321,105,SURYA NEPAL PVT LTD - NEPAL,SURYA FUSION,SURYA FUSION/HL/20NOS/MRP320,320.0,20 NOS,KS,,1731222877542-surya nepal pvt ltd - nepal-surya fusion#3.png,RECODING,5,2,99765090,137.69939,105,CIGARETTE,,,SURYA NEPAL PVT LTD - NEPAL,SURYA,SURYA DUAL BURST,HL 20'S,HL,20,FRESH,,20.0,NO,320.0
