t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2023-10-10,202310,3,1220100003,12201030162,1696322580499,99765097,125,NAVYUBAK SURTI FACTORY NEPAL,JHUM JHUM SUPER POWER,JHUM JHUM SUPER POWER PPH 8G ,20,8G,PPH,,1696322580499-navyubak surti factory nepal-jhum jhum super power#3.png,RECODING,5,1,99765097,69.44113,125,KHAINI,KHAINI,KHAINI,NAVYUBAK SURTI FACTORY-NEPAL,JHUM JHUM SUPER POWER,JHUM JHUM SUPER POWER,8G KHAINI,PLAST,8G,REGULAR,,8.0,GM,20.0,1,True,high
2023-10-10,202310,2,124303166,21301020032,1696493583267,99765099,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,Sales Deviation is OK,1696493583267-dugar food - beverage-nepal-dooit guava#3.png,RECODING,5,1,99765099,101.908966,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT,DOOIT,GUAVA TPK 200 ML,TPK,200.000 ML,GUAVA,,200.0,ML,30.0,1,True,high
2023-10-16,202310,2,124306089,21301020031,1696493583267,99765099,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,New SKU,,RECODING,5,1,99765099,101.908966,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT,DOOIT,GUAVA TPK 200 ML,TPK,200.000 ML,GUAVA,,200.0,ML,30.0,1,True,high
2023-10-10,202310,2,128846077,22101020019,1696734410850,99765098,134,ASP NATURAL RESOURCES PVT LTD-NEPAL,DROP,DROP\1000ML\PBT\MINERAL WATER ,25,1000ML,PBT,Sales Deviation is OK,1696734410850-asp natural resources pvt ltd-nepal-drop#3.png,RECODING,5,1,99765098,128.00093,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,ASP NATURAL RESOURCES PVT LTD-NEPAL,DROP,DROP,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
2023-10-18,202310,2,128757050,12201020010,1696921559996,99765081,118,SINGAPORE BEVERAGE-NEPAL,NIMBU PANI,NIMBU PANI-LEMON PET 600ML,85,600ML,PET,Sales Deviation is OK,1696921559996-singapore beverage-nepal-nimbu pani#3.png,CROSS CODING,2,1,99763086,63.69921,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SINGAPORE BEVERAGE-NEPAL,NIMBU PANI,NIMBU PANI,LEMON PET 250 ML,PET,250.000 ML,LEMON,,250.0,ML,40.0,0,False,rejected
2023-10-18,202310,2,128757050,12201020010,1696921982357,99765108,118,SINGAPORE BEVERAGE-NEPAL,NIMBU PANI,NIMBU PANI-LEMON PET 2.25LTR,260,2.25LTR,PET,,1696921982357-singapore beverage-nepal-nimbu pani#3.png,RECODING,5,2,99765108,80.49067,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SINGAPORE BEVERAGE-NEPAL,LEMONZAAAAA NIMBU PANI,LEMONZAAAAA NIMBU PANI,LEMON PET 2250 ML,PET,2250.000 ML,LEMON,,2250.0,ML,260.0,2,True,high
2023-10-11,202310,2,113389746,52204020004,1696923515130,99765109,134,LS WATER & BEVERAGE-NEPAL,PRAN POWER,PRAN POWER/ENERGY DRINK/250ML/CAN,120,250ML ,CAN,,1696923515130-ls water - beverage-nepal-pran power#3.png,RECODING,5,1,99765109,72.87425,118,SOFT DRINKS-NP,SOFT DRINKS,ENERGY DRINK,LS WATER & BEVERAGE-NEPAL ,PRAN,PRAN POWER,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0,1,True,high
2023-10-16,202310,2,121838548,31101020068,1697189657881,99765100,134,LIFE FOOD & BEVERAGE-NEPAL,KI BU,KI BU CLASSIC ENRERGY DRINK\250ML\CAN\RS:120\LIFE FOOD&BEVRAGE PVT.LTD NEPAL,120,250 ML ,CAN,,1697189657881-life food - beverage-nepal-ki bu#3.png,RECODING,5,2,99765100,104.24377,118,SOFT DRINKS-NP,SOFT DRINKS,ENERGY DRINK,LIFE FOOD & BEVERAGE-NEPAL,KI BU,KI BU CLASSIC,CLASSIC CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0,2,True,high
2023-10-16,202310,2,128702441,12201020028,1697189732477,99765104,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU PEACH FLAVORED DRINK PET 320ML,150,320ML,PET,,1697189732477-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,1,99765104,90.47255,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,PEACH PET 320 ML,PET,320.000 ML,PEACH,,320.0,ML,150.0,1,True,high
2023-10-16,202310,2,128702441,12201020028,1697190090497,99765107,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU YOGURT FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190090497-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,1,99765107,98.14051,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,YOGURT PET 320 ML,PET,320.000 ML,YOGURT,,320.0,ML,150.0,1,True,high
