t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2023-10-10,202310,2,128846077,22101020019,1696734410850,99765098,134,ASP NATURAL RESOURCES PVT LTD-NEPAL,DROP,DROP\1000ML\PBT\MINERAL WATER ,25,1000ML,PBT,Sales Deviation is OK,1696734410850-asp natural resources pvt ltd-nepal-drop#3.png,RECODING,5,1,99765098,77.425545,118,ASP NATURAL RESOURCES PVT LTD-NEPAL,DROP,DROP,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2023-10-10,202310,2,128846077,22101020019,1696734410850,99765098,134,ASP NATURAL RESOURCES PVT LTD-NEPAL,DROP,DROP\1000ML\PBT\MINERAL WATER ,25,1000ML,PBT,Sales Deviation is OK,1696734410850-asp natural resources pvt ltd-nepal-drop#3.png,RECODING,5,2,99762595,136.12852,118,ASP NATURAL RESOURCES PVT LTD-NEPAL,ROYAL B & D,ROYAL B & D,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,30.0
2023-10-10,202310,2,128846077,22101020019,1696734410850,99765098,134,ASP NATURAL RESOURCES PVT LTD-NEPAL,DROP,DROP\1000ML\PBT\MINERAL WATER ,25,1000ML,PBT,Sales Deviation is OK,1696734410850-asp natural resources pvt ltd-nepal-drop#3.png,RECODING,5,3,40121097,139.0227,118,PHULCHOWKI MINERAL WATER-NEPAL,PM,PM,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
2023-10-10,202310,2,124303166,21301020032,1696493583267,99765099,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,Sales Deviation is OK,1696493583267-dugar food - beverage-nepal-dooit guava#3.png,RECODING,5,1,99765099,38.115128,118,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT,DOOIT,GUAVA TPK 200 ML,TPK,200.000 ML,GUAVA,,200.0,ML,30.0
2023-10-10,202310,2,124303166,21301020032,1696493583267,99765099,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,Sales Deviation is OK,1696493583267-dugar food - beverage-nepal-dooit guava#3.png,RECODING,5,2,99763312,102.3742,118,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT,DOOIT,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
2023-10-10,202310,2,124303166,21301020032,1696493583267,99765099,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,Sales Deviation is OK,1696493583267-dugar food - beverage-nepal-dooit guava#3.png,RECODING,5,3,20110021,111.07941,118,DUGAR FOOD & BEVERAGE-NEPAL,FROOTI,FROOTI,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2023-10-10,202310,3,1220100003,12201030162,1696322580499,99765097,125,NAVYUBAK SURTI FACTORY NEPAL,JHUM JHUM SUPER POWER,JHUM JHUM SUPER POWER PPH 8G ,20,8G,PPH,,1696322580499-navyubak surti factory nepal-jhum jhum super power#3.png,RECODING,5,1,99765097,36.600315,125,NAVYUBAK SURTI FACTORY-NEPAL,JHUM JHUM SUPER POWER,JHUM JHUM SUPER POWER,8G KHAINI,PLAST,8G,REGULAR,,8.0,GM,20.0
2023-10-10,202310,3,1220100003,12201030162,1696322580499,99765097,125,NAVYUBAK SURTI FACTORY NEPAL,JHUM JHUM SUPER POWER,JHUM JHUM SUPER POWER PPH 8G ,20,8G,PPH,,1696322580499-navyubak surti factory nepal-jhum jhum super power#3.png,RECODING,5,2,99764912,129.90486,125,ABINAV SURTI UDHYOG NEPAL,CHAKKA SUPER POWER,CHAKKA SUPER POWER,8G KHAINI,PLAST,8G,REGULAR,,8.0,GM,25.0
2023-10-10,202310,3,1220100003,12201030162,1696322580499,99765097,125,NAVYUBAK SURTI FACTORY NEPAL,JHUM JHUM SUPER POWER,JHUM JHUM SUPER POWER PPH 8G ,20,8G,PPH,,1696322580499-navyubak surti factory nepal-jhum jhum super power#3.png,RECODING,5,3,99763679,132.15991,123,H N INDUSTRIES - NEPAL,SUPER POWER,SUPER POWER,SUPER POWER-PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,40.0
2023-10-11,202310,2,113389746,52204020004,1696923515130,99765109,134,LS WATER & BEVERAGE-NEPAL,PRAN POWER,PRAN POWER/ENERGY DRINK/250ML/CAN,120,250ML ,CAN,,1696923515130-ls water - beverage-nepal-pran power#3.png,RECODING,5,1,99765109,34.686066,118,LS WATER & BEVERAGE-NEPAL ,PRAN,PRAN POWER,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0
