t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
04/11/2024,202410,2,116304492,11301020014,1729484725533,99765317,134,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY-FRUIT COCKTAIL-PET 320ML,99,320MK,PET,,1729484725533-agro thai foods pvt ltd-nepal-juice jelly#3.png,RECODING,5,1,99765317,87.09589,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY,FRUIT COCKTAIL PET 320 ML,PET,320.000 ML,MIXED FRUIT,,320.0,ML,99.0
04/11/2024,202410,2,116304492,11301020014,1729484725533,99765317,134,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY-FRUIT COCKTAIL-PET 320ML,99,320MK,PET,,1729484725533-agro thai foods pvt ltd-nepal-juice jelly#3.png,RECODING,5,2,99765294,102.79016,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY,ORANGE PET 320 ML,PET,320.000 ML,ORANGE,,320.0,ML,99.0
04/11/2024,202410,2,116304492,11301020014,1729484725533,99765317,134,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY-FRUIT COCKTAIL-PET 320ML,99,320MK,PET,,1729484725533-agro thai foods pvt ltd-nepal-juice jelly#3.png,RECODING,5,3,99765309,104.222885,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY,BLACK CURRENT PET 320 ML,PET,320.000 ML,BLACK CURRANT,,320.0,ML,99.0
04/11/2024,202410,3,1023173737366,21104030039,1730201341270,99765319,105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-ADVANCE,350,20'S-KS,FTP,New SKU,1730201341270-pt philip morris-indonesia-marlboro gold#3.png,RECODING,5,1,99765319,92.187256,105,CIGARETTE,,,PT PHILIP MORRIS-INDONESIA,MARLBORO,MARLBORO GOLD ADVANCE,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,350.0
04/11/2024,202410,3,1023173737366,21104030039,1730201341270,99765319,105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-ADVANCE,350,20'S-KS,FTP,New SKU,1730201341270-pt philip morris-indonesia-marlboro gold#3.png,RECODING,5,2,90110250,104.480484,105,CIGARETTE,,,PT PHILIP MORRIS-INDONESIA,MARLBORO,MARLBORO GOLD,HL 20'S,HL,20,LIGHT,,20.0,NO,300.0
04/11/2024,202410,3,1023173737366,21104030039,1730201341270,99765319,105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-ADVANCE,350,20'S-KS,FTP,New SKU,1730201341270-pt philip morris-indonesia-marlboro gold#3.png,RECODING,5,3,90110164,136.04913,105,CIGARETTE,,,PT PHILIP MORRIS-INDONESIA,MARLBORO,MARLBORO RED,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,280.0
04/11/2024,202410,3,1023175036910,21104030050,1730201341270,99765319,105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-ADVANCE,350,20'S-KS,FTP,New SKU,,RECODING,5,1,99765319,92.187256,105,CIGARETTE,,,PT PHILIP MORRIS-INDONESIA,MARLBORO,MARLBORO GOLD ADVANCE,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,350.0
04/11/2024,202410,3,1023175036910,21104030050,1730201341270,99765319,105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-ADVANCE,350,20'S-KS,FTP,New SKU,,RECODING,5,2,90110250,104.480484,105,CIGARETTE,,,PT PHILIP MORRIS-INDONESIA,MARLBORO,MARLBORO GOLD,HL 20'S,HL,20,LIGHT,,20.0,NO,300.0
04/11/2024,202410,3,1023175036910,21104030050,1730201341270,99765319,105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-ADVANCE,350,20'S-KS,FTP,New SKU,,RECODING,5,3,90110164,136.04913,105,CIGARETTE,,,PT PHILIP MORRIS-INDONESIA,MARLBORO,MARLBORO RED,HL 20'S,HL,20,FULL FLAVOUR,,20.0,NO,280.0
04/11/2024,202410,2,222332210120,22233020006,1730012097789,99765318,134,MANOHARA FOOD & BEVERAGE-NPL,AQUA QUEEN,AQUA QUEEN\1000\ML,20,1000 ML,PET,,1730012097789-manohara food - beverage-npl-aqua queen#3.png,RECODING,5,1,99765318,108.24197,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,MANOHARA FOOD & BEVERAGE-NPL,AQUA QUEEN,AQUA QUEEN,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
