t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2022-09-15,202209,124631722,1663049763411,99764153.0,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V-SERIES/ROSE & LEMON/500GM/PPH,50.0,PPH,500GM ,,1663049763411-gopal soap industries - nepal-v series.png,RECODING,5,1,51612,114.86072,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES,V SERIES-ROSE & LEMON-PPH 225 GMS,PLPCH,225.000 GM,,,225.0,GM,0.0,0,False,rejected
2022-09-15,202209,124631722,1663050019165,99764152.0,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES GHARI/400GM/PPH,60.0,PPH,400GM ,,1663050019165-gopal soap industries - nepal-v series.png,RECODING,5,2,99764152,115.821785,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES GHARI,V SERIES GHARI-PPH 400 GM,PLPCH,400.000 GM,,,400.0,GM,60.0,2,True,high
2022-09-15,202209,123262051,1663054491103,99764154.0,123,UNIQUE SOAP & CHEMICAL IND.-NEPAL,UNIQUE FRESH,UNIQUE FRESH DISHWASH BAR PPH200 GM,20.0,PPH,200 GM,,1663054491103-unique soap - chemical ind--nepal-unique fresh.png,RECODING,5,1,99764154,71.3888,123,WASHING CAKE & DISHWASH BAR-NP,WASHING CAKE & DISHWASH BAR,DISHWASH BAR,UNIQUE SOAP & CHEMICAL IND.-NEPAL,UNIQUE,UNIQUE FRESH,UNIQUE FRESH-DISHWASH BAR PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,20.0,1,True,high
2022-09-16,202209,3110102502,1663126650529,99764160.0,124,SONA TOBACCO UDHYOG PVT LTD.,PUKAR,PUKAR REGULAR\2GM\PPH\RS:5\SONA TOBACCO UDYOG PVT LTD NEPAL,5.0,PPH,2GM,New SKU,1663126650529-sona tobacco udhyog pvt ltd--pukar.png,RECODING,5,1,99764160,97.25994,124,GUTKA,GUTKA,GUTKA,SONA TOBACCO UDHYOG PVT LTD.,PUKAR,PUKAR,2G GUTKA,PLAST,2G,REGULAR,,2.0,GM,5.0,1,True,high
2022-09-16,202209,3110105416,1663126650529,99764160.0,124,SONA TOBACCO UDHYOG PVT LTD.,PUKAR,PUKAR REGULAR\2GM\PPH\RS:5\SONA TOBACCO UDYOG PVT LTD NEPAL,5.0,PPH,2GM,New SKU,1663126650529-sona tobacco udhyog pvt ltd--pukar.png,RECODING,5,1,99764160,97.25994,124,GUTKA,GUTKA,GUTKA,SONA TOBACCO UDHYOG PVT LTD.,PUKAR,PUKAR,2G GUTKA,PLAST,2G,REGULAR,,2.0,GM,5.0,1,True,high
2022-09-15,202209,125764166,1663132100862,99764155.0,106,MAYUR FOOD INDUSTRIES INDIA,FAIRY,FAIRY/FRUIT LOLLY POP/10GM/PPH,5.0,PPH,10GM,,1663132100862-mayur food industries india-fairy.png,RECODING,5,1,99764155,108.6067,106,CONFECTIONERY-NP,LOLLIPOPS,LOLLIPOPS,MAYUR FOOD INDUSTRIES-INDIA,FAIRY,FAIRY FRUIT LOLLYPOP,FAIRY FRUIT LOLLYPOP-FRUIT EWP 10 GM,EWRPK,10.000 GM,FRUIT,,10.0,GM,5.0,1,True,high
2022-09-26,202209,130395676,1663132100862,99764155.0,106,MAYUR FOOD INDUSTRIES INDIA,FAIRY,FAIRY/FRUIT LOLLY POP/10GM/PPH,5.0,PPH,10GM,,1663132100862-mayur food industries india-fairy.png,RECODING,5,1,99764155,108.6067,106,CONFECTIONERY-NP,LOLLIPOPS,LOLLIPOPS,MAYUR FOOD INDUSTRIES-INDIA,FAIRY,FAIRY FRUIT LOLLYPOP,FAIRY FRUIT LOLLYPOP-FRUIT EWP 10 GM,EWRPK,10.000 GM,FRUIT,,10.0,GM,5.0,1,True,high
2022-09-15,202209,123455987,1663135648290,99764151.0,122,KWALITY SOAPS & CHEM. - NEPAL,SHAKTI DETERGENT,SHAKTI DETERGENT POWER PPH 200 GM,20.0,PPH,200,New SKU,1663135648290-kwality soaps - chem- - nepal-shakti detergent.png,RECODING,5,1,54255,114.93151,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,KWALITY SOAPS & CHEM. - NEPAL,KWALITY,KWALITY SUBH SHAKTI,KWALITY SUBH SHAKTI-PPH 225 GM,PLPCH,225.000 GM,,,225.0,GM,0.0,0,False,rejected
2022-09-16,202209,124567392,1663213588447,99764161.0,130,SUSHMITA CONCERN PVT.LTD NEPAL ,ACTIVX,ACTIV X/MIX FRUIT DOTTED/3PCS/CBP,50.0,CBP,3UNITS,,1663213588447-sushmita concern pvt-ltd nepal -activx.png,RECODING,5,1,99764161,126.99771,130,CONDOM-NP,CONDOM,CONDOM,SUSHMITA CONCERN PVT LTD-NEPAL,ACTIV X,ACTIV X DOTTED,ACTIV X DOTTED-MIX FRUIT CBP 3 NOS,CDBOX,3.000 NO,,,3.0,NO,50.0,1,True,high
2022-09-16,202209,128997655,1663216075491,99764159.0,117,UNILEVER NEPAL LTD-NEPAL,SUNSILK NUTRITIVE SOLUTIONS ,DOVE NUTRITIVE SOLUTIONS/NOURISHING OIL CARE/625ML/PBT,615.0,PBT,625ML,,1663216075491-unilever nepal ltd-nepal-sunsilk nutritive solutions .png,RECODING,5,1,99764159,101.85072,117,SHAMPOO-NP,SHAMPOO,BOTTLE,UNILEVER NEPAL LTD-NEPAL,DOVE,DOVE NUTRITIVE SOLUTIONS,DOVE NUTRITIVE SOLUTIONS-NOURISHING OIL CARE PBT 625 ML,PLBOT,625.000 ML,,,625.0,ML,615.0,1,True,high
2022-09-16,202209,128997655,1663216220189,99764157.0,117,UNILEVER NEPAL LTD-NEPAL,SUNSILK NUTRITIVE SOLUTIONS ,SUNSILK NUTRITIVE SOLUTIONS/INTENSE REPAIR/640ML/PBT,595.0,PBT,640ML,,1663216220189-unilever nepal ltd-nepal-sunsilk nutritive solutions .png,RECODING,5,1,92118224,108.5265,117,SHAMPOO-NP,SHAMPOO,BOTTLE,UNILEVER NEPAL LTD-NEPAL,SUNSILK,SUNSILK,SUNSILK-DAMAGED REPAIR PBT 200 ML,PLBOT,200.000 ML,,,200.0,ML,0.0,0,False,rejected
2022-09-16,202209,128997655,1663216365847,99764158.0,117,UNILEVER NEPAL LTD-NEPAL,SUNSILK NUTRITIVE SOLUTIONS ,DOVE NUTRITIVE SOLUTIONS/DAILY SHINE/625ML/PBT,615.0,PBT,625ML,,1663216365847-unilever nepal ltd-nepal-sunsilk nutritive solutions .png,RECODING,5,3,99764158,107.51988,117,SHAMPOO-NP,SHAMPOO,BOTTLE,UNILEVER NEPAL LTD-NEPAL,DOVE,DOVE NUTRITIVE SOLUTIONS,DOVE NUTRITIVE SOLUTIONS-DAILY SHINE PBT 625 ML,PLBOT,625.000 ML,,,625.0,ML,615.0,3,True,high
2022-09-16,202209,128997655,1663217720081,99764156.0,111,EMAMI LTD. -INDIA,7OILS IN ONE BLENDS FOR DAMAGE CONTROL ,EMAMI 7OILS IN ONE/ALMOND+JOJOBA+CARROT SEED+AMLA+COCONUT+WALNUT/100ML/PBT,70.0,PBT,100ML,,1663217720081-emami ltd- -india-7oils in one blends for damage control .png,RECODING,5,1,90825769,152.43268,111,HAIR OIL-NP,HAIR OIL,COCONUT OIL,EMAMI LTD. -INDIA,EMAMI,EMAMI 7 OILS IN ONE,EMAMI 7 OILS IN ONE-DAMAGE CONTROL PBT 200 ML,PLBOT,200.000 ML,,,200.0,ML,0.0,0,False,rejected
2022-09-26,202209,126759332,1663301622051,99764211.0,106,MAA BARADEVI NAMKEEN BHANDAR INDIA ,CREXY POP,CREXY POP/FRUIT LOLLIPOP/13GM/EWP,13.0,PPH,13GM,,1663301622051-maa baradevi namkeen bhandar india -crexy pop.png,RECODING,5,1,99764211,93.049065,106,CONFECTIONERY-NP,LOLLIPOPS,LOLLIPOPS,MAA BARADEVI NAMKEEN BHANDAR-INDIA ,CREXY POP,CREXY POP,CREXY POP-FRUIT LOLLIPOP EWP 13 GM,EWRPK,13.000 GM,FRUIT,,13.0,GM,5.0,1,True,high
