t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2023-09-18,202309,2,122002412,12303020025,1694323975861,99765092,134,PRAKASH BEVERAGE-NEPAL,LIFE CARE,LIFE CARE-PET 500ML,15,500ML,PBT,Sales Deviation is OK,1694323975861-prakash beverage-nepal-life care#3.png,RECODING,5,1,99765092,116.39472,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,PRAKASH BEVERAGE-NEPAL,LIFE CARE,LIFE CARE,PET 500 ML,PET,500.000 ML,,,500.0,ML,15.0
2023-09-18,202309,2,122002412,12303020025,1694323975861,99765092,134,PRAKASH BEVERAGE-NEPAL,LIFE CARE,LIFE CARE-PET 500ML,15,500ML,PBT,Sales Deviation is OK,1694323975861-prakash beverage-nepal-life care#3.png,RECODING,5,2,47428,131.1656,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,PRAKASH BEVERAGE-NEPAL,LIFE CARE,LIFE CARE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
2023-09-18,202309,2,122002412,12303020025,1694323975861,99765092,134,PRAKASH BEVERAGE-NEPAL,LIFE CARE,LIFE CARE-PET 500ML,15,500ML,PBT,Sales Deviation is OK,1694323975861-prakash beverage-nepal-life care#3.png,RECODING,5,3,99764265,150.28497,118,SOFT DRINKS-NP,SOFT DRINKS,ENERGY DRINK,LIFE FOOD & BEVERAGE-NEPAL,REBOOST,REBOOST ORIGINAL,PET 150 ML,PET,150.000 ML,,,150.0,ML,50.0
2023-09-18,202309,2,122761663,31101020092,1694249559082,99765093,134,POKHARA NATURAL FOOD & BEVERAGE-NP,BRILLIANCE,BRILLIANCE WATER\PET\1000ML\RS:25\POKHARA NATURAL FOOD& BEVRAGE PVT.LTD NEPAL,25,1000ML,PBT,Sales Deviation is OK,1694249559082-pokhara natural food - beverage-np-brilliance#3.png,RECODING,5,1,99765093,102.78711,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,POKHARA NATURAL FOOD & BEVERAGE-NP,BRILLIANCE,BRILLIANCE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2023-09-18,202309,2,122761663,31101020092,1694249559082,99765093,134,POKHARA NATURAL FOOD & BEVERAGE-NP,BRILLIANCE,BRILLIANCE WATER\PET\1000ML\RS:25\POKHARA NATURAL FOOD& BEVRAGE PVT.LTD NEPAL,25,1000ML,PBT,Sales Deviation is OK,1694249559082-pokhara natural food - beverage-np-brilliance#3.png,RECODING,5,2,99764984,138.46777,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,AAKAR FOOD & BEVERAGE-NEPAL,POKHRELI,POKHRELI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2023-09-18,202309,2,122761663,31101020092,1694249559082,99765093,134,POKHARA NATURAL FOOD & BEVERAGE-NP,BRILLIANCE,BRILLIANCE WATER\PET\1000ML\RS:25\POKHARA NATURAL FOOD& BEVRAGE PVT.LTD NEPAL,25,1000ML,PBT,Sales Deviation is OK,1694249559082-pokhara natural food - beverage-np-brilliance#3.png,RECODING,5,3,99764206,147.3447,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,GADHI MAI NATURAL RESOURCES-NEPAL,SHUDH AMRIT JAL,SHUDH AMRIT JAL,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
2023-09-18,202309,2,125442842,31101020103,1694155646747,99765094,118,VENTURA BOTTLERS PVT LTD-NEPAL,RC COLA,RC COLA-COLA PET 2.25L,260,2.25L,PBT,,1694155646747-ventura bottlers pvt ltd-nepal-rc cola#3.png,RECODING,5,1,99765094,78.71468,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,VENTURA BOTTLERS PVT LTD-NEPAL,RC,RC COLA,COLA PET 2250 ML,PET,2250.000 ML,COLA,,2250.0,ML,260.0
2023-09-18,202309,2,125442842,31101020103,1694155646747,99765094,118,VENTURA BOTTLERS PVT LTD-NEPAL,RC COLA,RC COLA-COLA PET 2.25L,260,2.25L,PBT,,1694155646747-ventura bottlers pvt ltd-nepal-rc cola#3.png,RECODING,5,2,99763475,78.95999,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,VENTURA BOTTLERS PVT LTD-NEPAL,RC,RC COLA,COLA PET 250 ML,PET,250.000 ML,COLA,,250.0,ML,40.0
2023-09-18,202309,2,125442842,31101020103,1694155646747,99765094,118,VENTURA BOTTLERS PVT LTD-NEPAL,RC COLA,RC COLA-COLA PET 2.25L,260,2.25L,PBT,,1694155646747-ventura bottlers pvt ltd-nepal-rc cola#3.png,RECODING,5,3,99763715,83.97601,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,VENTURA BOTTLERS PVT LTD-NEPAL,RC,RC COLA,COLA PET 500 ML,PET,500.000 ML,COLA,,500.0,ML,70.0
2023-09-20,202309,2,128699486,12201020014,1694425377025,99765095,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS BLACK CURRANT DRINK PET 320ML,140,320ML,PET,,1694425377025-singapore beverage-nepal-fruit gems#3.png,RECODING,5,1,99765095,71.81461,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,BLACK CURRANT PET 320 ML,PET,320.000 ML,BLACK CURRANT,,320.0,ML,140.0
2023-09-20,202309,2,128699486,12201020014,1694425377025,99765095,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS BLACK CURRANT DRINK PET 320ML,140,320ML,PET,,1694425377025-singapore beverage-nepal-fruit gems#3.png,RECODING,5,2,99765185,76.14189,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,BLACK CURRANT PET 250 ML,PET,250.000 ML,BLACK CURRANT,,250.0,ML,100.0
2023-09-20,202309,2,128699486,12201020014,1694425377025,99765095,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS BLACK CURRANT DRINK PET 320ML,140,320ML,PET,,1694425377025-singapore beverage-nepal-fruit gems#3.png,RECODING,5,3,99765205,108.17044,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,PASSION FRUIT PET 320 ML,PET,320.000 ML,PASSION FRUIT,,320.0,ML,140.0
2023-09-25,202309,2,212581910166,21258020009,1695539752367,99765096,134,AQUA JUGAL,AQUA JUGAL ,AQUA JUGAL DRINKING WATER\1000\ML,20,1000ML,PET,New SKU,,RECODING,5,1,99765096,176.18674,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,AQUA JUGAL-NEPAL,AQUA JUGAL,AQUA JUGAL,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
2023-09-25,202309,2,212581910166,21258020009,1695539752367,99765096,134,AQUA JUGAL,AQUA JUGAL ,AQUA JUGAL DRINKING WATER\1000\ML,20,1000ML,PET,New SKU,,RECODING,5,2,99762344,193.34534,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,RAPTI DRINKING WATER UDHYOG-NPL,RAPTI,RAPTI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
2023-09-25,202309,2,212581910166,21258020009,1695539752367,99765096,134,AQUA JUGAL,AQUA JUGAL ,AQUA JUGAL DRINKING WATER\1000\ML,20,1000ML,PET,New SKU,,RECODING,5,3,99762467,204.97101,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,AQUA FRESH,AQUA FRESH,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
2023-09-25,202309,2,212581910102,21258020002,1695539752367,99765096,134,AQUA JUGAL,AQUA JUGAL ,AQUA JUGAL DRINKING WATER\1000\ML,20,1000ML,PET,New SKU,1695539752367-aqua jugal-aqua jugal #3.png,RECODING,5,1,99765096,176.18674,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,AQUA JUGAL-NEPAL,AQUA JUGAL,AQUA JUGAL,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
2023-09-25,202309,2,212581910102,21258020002,1695539752367,99765096,134,AQUA JUGAL,AQUA JUGAL ,AQUA JUGAL DRINKING WATER\1000\ML,20,1000ML,PET,New SKU,1695539752367-aqua jugal-aqua jugal #3.png,RECODING,5,2,99762344,193.34534,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,RAPTI DRINKING WATER UDHYOG-NPL,RAPTI,RAPTI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
2023-09-25,202309,2,212581910102,21258020002,1695539752367,99765096,134,AQUA JUGAL,AQUA JUGAL ,AQUA JUGAL DRINKING WATER\1000\ML,20,1000ML,PET,New SKU,1695539752367-aqua jugal-aqua jugal #3.png,RECODING,5,3,99762467,204.97101,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,AQUA FRESH,AQUA FRESH,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
