t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
23/09/2024,202409,3,1220102368,12201030163,1725604245386,99765303,125,RADHA KRISHNA PRODUCTS,PADUKA SUPER POWER,PADUKA SUPER POWER-PADUKA-REGULAR-PLAST-9GM,20,PPH,9GM,,,RECODING,5,1,99765303,107.53639,125,KHAINI,KHAINI,KHAINI,RADHA KRISHNA PRODUCTS,PADUKA,PADUKA SUPER POWER,9G KHAINI,PLAST,9G,REGULAR,,9.0,GM,20.0,1,True,high
23/09/2024,202409,3,1220102372,12201030159,1725604245386,99765303,125,RADHA KRISHNA PRODUCTS,PADUKA SUPER POWER,PADUKA SUPER POWER-PADUKA-REGULAR-PLAST-9GM,20,PPH,9GM,,1725604245386-radha krishna products-paduka super power#3.png,RECODING,5,1,99765303,107.53639,125,KHAINI,KHAINI,KHAINI,RADHA KRISHNA PRODUCTS,PADUKA,PADUKA SUPER POWER,9G KHAINI,PLAST,9G,REGULAR,,9.0,GM,20.0,1,True,high
23/09/2024,202409,3,1220102386,12201030158,1725604245386,99765303,125,RADHA KRISHNA PRODUCTS,PADUKA SUPER POWER,PADUKA SUPER POWER-PADUKA-REGULAR-PLAST-9GM,20,PPH,9GM,,,RECODING,5,1,99765303,107.53639,125,KHAINI,KHAINI,KHAINI,RADHA KRISHNA PRODUCTS,PADUKA,PADUKA SUPER POWER,9G KHAINI,PLAST,9G,REGULAR,,9.0,GM,20.0,1,True,high
23/09/2024,202409,2,111744005,12101020034,1725618803218,99765297,134,RUPSHAN PRASODHIT KHANEPANI UDHYOG NEPAL,AQUA PURE LIFE,AQUA PURE LIFE PET.-1000ML.,20,1000ML.,PET,,,RECODING,5,1,99765297,156.60587,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,RUPSHAN PRASODHIT KHANEPANI-NEPAL,AQUA PURE-LIFE,AQUA PURE-LIFE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0,1,True,high
23/09/2024,202409,2,111889963,12101020036,1725618803218,99765297,134,RUPSHAN PRASODHIT KHANEPANI UDHYOG NEPAL,AQUA PURE LIFE,AQUA PURE LIFE PET.-1000ML.,20,1000ML.,PET,,1725618803218-rupshan prasodhit khanepani udhyog nepal-aqua pure life#3.png,RECODING,5,1,99765297,156.60587,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,RUPSHAN PRASODHIT KHANEPANI-NEPAL,AQUA PURE-LIFE,AQUA PURE-LIFE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0,1,True,high
23/09/2024,202409,2,121809669,31101020013,1726041072736,99765301,134,KWALITY THAI FOODS PVT LTD-NPL,TOTAL FRUITY N JUICY,TOTAL FRUITY N JUICY- PINEAPPLE TPK 200ML,30,200ML,TPK,,1726041072736-kwality thai foods pvt ltd-npl-total fruity n juicy#3.png,RECODING,5,1,99765301,93.94783,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,KWALITY THAI FOODS PVT LTD-NPL,TOTAL,TOTAL FRUITY N JUICY,PINEAPPLE TPK 200 ML,TPK,200.000 ML,PINEAPPLE,,200.0,ML,30.0,1,True,high
23/09/2024,202409,2,232113810229,23211020002,1726227747307,99765302,134,PRAGATI CHEMICAL-INDIA,MZP'S LITCHI,MZP'S LITCHI\150ML+20ML FREE\PBT\LITCHI FLAVOUR ,20,150ML+20ML FREE,PBT,,1726227747307-pragati chemical-india-mzp-s litchi#3.png,RECODING,5,1,99765302,130.4377,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,PRAGATI CHEMICAL-INDIA,MZP'S,MZP'S LITCHI,LITCHI PET 150 ML+20 ML FREE,PET,150.000 ML,LYCHEE,,170.0,ML,20.0,1,True,high
23/09/2024,202409,2,122167896,31101020073,1726643794277,99765300,134,DABUR NEPAL LTD.-NEPAL,DYNAMITE,DYNAMITE GOLDE SPARK PBT 250 ML ,60,250 ML,PBT,,1726643794277-dabur nepal ltd--nepal-dynamite#3.png,RECODING,5,1,99765300,136.2054,118,SOFT DRINKS-NP,SOFT DRINKS,ENERGY DRINK,DABUR NEPAL LTD.-NEPAL,DYNAMITE,DYNAMITE GOLDEN SPARK,PET 250 ML,PET,250.000 ML,,,250.0,ML,60.0,1,True,high
23/09/2024,202409,2,111655672,21102020065,1726646049776,99765299,134,RAYBOT SPRINGS MINERAL WATER PVT.LTD,RAYBOT REFRESH,RAYBOT REFRESH FRUIT DRINK/PBT/250ML/RS 50,50,250ML,PBT,,1726646049776-raybot springs mineral water pvt-ltd-raybot refresh#3.png,RECODING,5,1,99765379,119.414894,118,SOFT DRINKS-NP,SOFT DRINKS,NON-CARBONATED,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT,RAYBOT REFRESH,MIXED FRUIT PET 250 ML,PET,250.000 ML,MIXED FRUIT,,250.0,ML,50.0,1,True,high
23/09/2024,202409,2,111982481,12101020003,1726711120263,99765300,134,DABUR NEPAL LTD.-NEPAL,DYNAMITE ,DYNAMITE ENERGY DRINK ,60,250 ML.,PET,,1726711120263-dabur nepal ltd--nepal-dynamite #3.png,RECODING,5,1,99765300,84.86072,118,SOFT DRINKS-NP,SOFT DRINKS,ENERGY DRINK,DABUR NEPAL LTD.-NEPAL,DYNAMITE,DYNAMITE GOLDEN SPARK,PET 250 ML,PET,250.000 ML,,,250.0,ML,60.0,1,True,high
