t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
106,ALKA AYURVEDIC PVT.LTD INDIA,COOLSA,COOLSA\2.5GM\PPH\COUGH DROPS GINGER ,0.8,PPH,2.5GM,1,99762947,32.43610382080078,106,ALKA AYURVEDIC PVT LTD-INDIA,COOLSA,COOLSA COUGH DROPS,COOLSA COUGH DROPS- GINGER PPH 2.5 GM,PLPCH,2.500 GM,GINGER,,2.5,GM,1.0
106,ALKA AYURVEDIC PVT.LTD INDIA,COOLSA,COOLSA\2.5GM\PPH\COUGH DROPS HONEY,0.8,PPH,2.5GM,1,99762949,30.212839126586914,106,ALKA AYURVEDIC PVT LTD-INDIA,COOLSA,COOLSA COUGH DROPS,COOLSA COUGH DROPS- HONEY PPH 2.5 GM,PLPCH,2.500 GM,HONEY,,2.5,GM,1.0
106,ALKA AYURVEDIC PVT.LTD INDIA,COOLSA,COOLSA\2.5GM\PPH\COUGH DROPS MENTHOL,0.8,PPH,2.5GM,1,99762948,25.922500610351562,106,ALKA AYURVEDIC PVT LTD-INDIA,COOLSA,COOLSA COUGH DROPS,COOLSA COUGH DROPS- MENTHOL PPH 2.5 GM,PLPCH,2.500 GM,MENTHOL,,2.5,GM,1.0
106,AMBER CONFECTIONERY-INDIA,AMBER,AMBER LYCHEE\3GM\PPH\ TWIST FLAVOUR CANDY ,1.0,PPH,3GM,2,99762950,37.3001823425293,106,AMBER CONFECTIONERY-INDIA,AMBER,AMBER,AMBER-LYCHEE TWIST PPH 3 GM,PLPCH,3.000 GM,LYCHEE,,3.0,GM,1.0
106,HIMADRI FOOD-NEPAL,PRAN KOKO,PRAN KOKO/MILK LOLLIPOP/10GM/PPH,5.0,PPH,10GM,1,99762894,16.810943603515625,106,HIMADRI FOOD-NEPAL,PRAN,PRAN KOKO,PRAN KOKO-MILK LOLLIPOP EWP 10 GM,EWRPK,10.000 GM,MILK,,10.0,GM,5.0
106,NEBICO PVT LTD-NEPAL,NEBICO POP STICK,NEBICO POP STICK\8\GM,5.0,PPH,8 GM,1,99762665,28.256351470947266,106,NEBICO PVT LTD-NEPAL,NEBICO,NEBICO POP STICK,NEBICO POP STICK-ASSORTED EWP 8 GM,EWRPK,8.000 GM,ASSORTED,,8.0,GM,5.0
106,NICE CONFECTIONERY-INDIA,MR.BIG,MR.BIG CHOCOLATE/6.7GM/PPH,2.0,PPH,6.7GM,1,99764674,66.10270690917969,106,NICE CONFECTIONERY-INDIA,BYE-BYE,BYE-BYE MR. BIG,BYE-BYE MR. BIG-CENTER FILLED CHOCOLATE PCN 625 GM,PLJAR,625.000 GM,CHOCOLATE,,625.0,GM,400.0
106,PEPPE NUTRIRIONS .PVT.LTD INDIA,HOPPIN GOLD ,HOPPIN GOLD COFFEE\4.5GM\EWP\PEPPE NUTRITIONS.PVT.LTD INDIA,3.0,EWP,4.5GM,1,99762968,55.163299560546875,106,PEPPE NUTRITIONS PVT LTD-IND,HOPPIN,HOPPIN GOLD COFFEE,HOPPIN GOLD COFFEE- PPH 4.5 GM,PLPCH,4.500 GM,COFFEE,,4.5,GM,3.0
106,SAGUN FOODS PVT LTD-NEPAL,FUNNY HALLZ,FUNNY HALLZ\3.1\GM,1.0,PPH,3.1GM,1,99762972,37.5108528137207,106,SAGUN FOODS PVT LTD-NEPAL,FUNNY,FUNNY HALLZ,FUNNY HALLZ-COOL MINT PPH 3 GM,PLPCH,3.000 GM,MINT,,3.0,GM,1.0
106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY- CHATPAT SWODILO,1.0,PPH,3GM,1,99762974,41.34588623046875,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- CHATPATA MAZZA PPH 3 GM,PLPCH,3.000 GM,UNSPECIFIED,,3.0,GM,1.0
106,SUJAL FOODS PVT LTD-NEPAL,SMART LOLLIPOP ,SMART LOLLYPOP PINEAPPLE ,5.0,PPH,10GM,1,99762971,22.36423683166504,106,SUJAL FOODS PVT LTD-NEPAL,SMART,SMART LOLLYPOP,SMART LOLLYPOP-PINEAPPLE PPH 10 GM,PLPCH,10.000 GM,PINEAPPLE,,10.0,GM,5.0
106,SURYA NEPAL PVT LTD - NEPAL,TOFFICHO TADKA,TOFFICHOO TADKA,2.5,PPH,3.8GM,1,99764461,55.64550018310547,106,SURYA NEPAL PVT LTD - NEPAL,TOFFICHOO TADKA,TOFFICHOO TADKA,TOFFICHO TADKA-CHAT MASALA LITCHI PPH 3.8 GM,PLPCH,3.800 GM,LYCHEE,,3.8,GM,2.5
109,ZYDUS WELLNESS PRODUCTS LIMITED,GLUCON-D,GLUCON-D\500\GM,175.0,500GM,PPH,1,99764167,80.5677719116211,109,ZYDUS WELLNESS-INDIA,GLUCON,GLUCON - D,GLUCON - D-REGULAR PCN 450 GM+50M+FREE SIPPER,PLJAR,450.000 GM,,,500.0,GM,175.0
110,GODREJ CONSUMER PRODUCTS-INDIA,GODREJ NUPUR HENNA,GODREJ NUPUR HENNA/100% PURE HENNA/25GM/PPH,10.0,PPH,25GM,1,99763957,21.30545997619629,110,GODREJ CONSUMER PRODUCTS-INDIA,GODREJ,GODREJ NUPUR HENNA,GODREJ NUPUR HENNA-100% PURE HEENA PPH 25 GM,PLPCH,25.000 GM,,UNSPECIFIED,25.0,GM,20.0
110,LOREAL INDIA - INDIA,GARNIER BLACK NATURALS,GARNIER BLACK NATURALS-4.0 NATURALS BROWN ,50.0,SCT,20 GM + 20 ML,1,52075,31.809913635253906,110,LOREAL INDIA - INDIA,GARNIER,GARNIER BLACK NATURALS,GARNIER BLACK NATURALS-3.0 BROWN BLACK-CLRN 20G,PLPCH,40.000 GM,,BLACK BROWN,40.0,GM,0.0
110,LOREAL INDIA - INDIA,GARNIER BLACK NATURALS,GARNIER COLOR NATURALS- 3.16 BURGUNDY PBT 70 ML + 60 GM,290.0,PBT,70 ML + 60 GM,1,91927555,34.497161865234375,110,LOREAL INDIA - INDIA,GARNIER,GARNIER BLACK NATURALS,GARNIER BLACK NATURALS-3.16 BURGUNDY-COLORENT 20G,PLPCH,40.000 GM,,BURGUNDY,40.0,GM,0.0
110,MADHUR HERBAL INDUSTRIES CHINA,PROMINA ,PROMINA 10 MINUTES HERBAL BLACK HAIR SHAMPOO\5GMS\PPH\RS:35\MADHUR HERBAL INDUSTRIES CHINA,35.0,PPH,5GMS,1,92118964,175.70947265625,117,GUANG HOUSHI DESLOR COSM-CHINA,HAIR CARE,HAIR CARE CONDITIONER,HAIR CARE CONDITIONER- PBT 500 ML,PLBOT,500.000 ML,,,500.0,ML,0.0
111,DABUR NEPAL LTD.-NEPAL,DABUR AMLA ALOEVERA,DABUR AMLA ALOEVERA\90\ML,80.0,PPH,90ML,1,99762915,33.459415435791016,111,DABUR NEPAL LTD.-NEPAL,DABUR,DABUR AMLA,DABUR AMLA-ALOEVERA PBT 90 ML,PLBOT,90.000 ML,,,90.0,ML,80.0
111,EMAMI LIMITED,EMAMI KESH KING,EMAMI KESH KING\300\ML,540.0,PPH,300ML,1,51330,85.54974365234375,111,EMAMI LTD. -INDIA,EMAMI,EMAMI KESH KING,EMAMI KESH KING-SCALP HR MED PBT 110 ML+FR BOROPLUS 19ML,PLBOT,110.000 ML,,,110.0,ML,0.0
111,EMAMI LTD. -INDIA,EMAMI KESH KING,EMAMI KESH KING/SCALP AND HAIR MEDICINE/50ML/PBT,128.0,PBT,50ML,1,99762919,31.455894470214844,111,EMAMI LTD. -INDIA,EMAMI,EMAMI KESH KING,EMAMI KESH KING-SCALP HAIR MEDICID PBT 50 ML,PLBOT,50.000 ML,,,50.0,ML,128.0
111,MARICO BANGLADESH LTD-BANGLADESH,PARACHUTE,PARACHUTE/100% PURE COCONUT OIL/450ML/PCN,390.0,CAN,450ML,1,99762938,17.48382568359375,111,MARICO BANGLADESH LTD-BANGLADESH,PARACHUTE,PARACHUTE,PARACHUTE-100% PURE COCONUT OIL PCN 450 ML,PLJAR,450.000 ML,,,450.0,ML,390.0
111,SESA CARE P LTD INDIA ,SESA,SESA AYURVEDIC/100ML/PBT,270.0,PBT,100ML,1,99762920,33.876251220703125,111,SESA CARE PVT. LTD-INDIA,SESA,SESA AYURVEDIC,SESA AYURVEDIC-PBT 100 ML,PLBOT,100.000 ML,,,100.0,ML,270.0
112,HINDUSTAN UNILEVER LTD-INDIA,HORLICKS CHOCOLATE DELIGHT,HORLICKS CHOCOLATE DELIGHT FLAVOUR\500\GM,400.0,500GM,PPH,1,99762977,45.3350944519043,112,HINDUSTAN UNILEVER LTD-INDIA,HORLICKS,HORLICKS,HORLICKS-CHOCOLATE DELIGHT PCN 500 GM,PLJAR,500.000 GM,,,500.0,GM,400.0
112,RIGHT INT'L TRADERS,FABVITA,FABVITA REGULAR MALT FOOD\500\GM,400.0,500 GM,PPH,1,99762978,159.77391052246094,112,RIGHT INTERNATIONAL TRADERS-NEPAL,FABVITA,FABVITA,FABVITA-REGULAR PCN 500 GM,PLJAR,500.000 GM,,,500.0,GM,300.0
112,RIGHT INTL TRADERS PVT LTD-NEPAL ,FABVITA,FABVITA,300.0,PBT,500GM,1,99762978,75.59901428222656,112,RIGHT INTERNATIONAL TRADERS-NEPAL,FABVITA,FABVITA,FABVITA-REGULAR PCN 500 GM,PLJAR,500.000 GM,,,500.0,GM,300.0
116,CARE & COMFORT PRODUCTS NEPAL ,CARE & COMFORT ,CARE & COMFORT/REGULAR/7 PADS/PPH,45.0,PPH,7 PADS,1,99762979,62.321163177490234,116,CARE & COMFORT PRODUCTS-NEPAL,CARE & COMFORT,CARE & COMFORT,CARE & COMFORT-REGULAR PPH 7 NO,PLPCH,7.000 NO,,,7.0,NO,45.0
116,H H HEALTH & HYGIENE PRODUCT-NEPAL ,PADELUX PREMIUM ,PADELUX PREMIUM/SUPER COMFORT XL COTTONY SOFT/6 PADS/PPH,60.0,PPH,6 PADS,1,99762980,108.9482650756836,116,HEALTY & HYGIENE PROD-NP,PADELUX,PADELUX,PADELUX-XL SUPER COMFORT PREMIUM PPH 6 NO,PLPCH,6.000 NO,,,6.0,NO,60.0
116,JASMINE HYGIENIC - NEPAL,SOFTLOVE ,SOFTLOVE/ULTRA XL/8PADS/PPH,100.0,PPH,8 PADS,1,48245,72.63994598388672,116,JASMINE HYGIENIC - NEPAL,SOFT LOVE,SOFT LOVE ULTRA,SOFT LOVE ULTRA-XL PPH 8 NOS,PLPCH,8.000 NO,,,8.0,NO,0.0
117,HINDUSTAN UNILEVER INDIA ,DOVE NUTRITIVE SOLUTIONS ,DOVE NUTRITIVE SOLUTIONS/DAILY SHINE/4.2ML/SCT/40% EXTRA,4.0,SCT,4.2ML,1,99762951,19.763534545898438,117,HINDUSTAN UNILEVER LTD-INDIA,DOVE,DOVE NUTRITIVE SOLUTIONS,DOVE NUTRITIVE SOLUTIONS-DAILY SHINE SCT 4.2 ML+40% EXTRA,PLSCH,4.200 ML,,,6.0,ML,4.0
