t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_category,m_subcat,m_ssubcat,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp,llm_rank,llm_selected,llm_confidence
2022-01-10 00:00:00,202112.0,,118069056.0,,1640674566442.0,99762952.0,118.0,SINGAPORE BEVERAGE-NEPAL,JEERU,JEERU MASALA PBT 500 ML ,70.0,PBT,500 ML,,1640674566442-singapore beverage-nepal-jeeru.png,RECODING,5.0,1,99762952,88.95986,118,SOFT DRINKS-NP,SOFT DRINKS,CARBONATED,SINGAPORE BEVERAGE-NEPAL,JEERU,JEERU,JEERA MASALA PET 500 ML,PET,500.000 ML,JEERA,,500.0,ML,70.0,1,True,high
2021-12-31 00:00:00,202112.0,,123455987.0,,1640676367795.0,99762552.0,122.0,DINESH SOAP & HOUSEHOLD-NPL,DINESH 3 IN 1,DINESH 3 IN 1\500\GM,50.0,PPH,500GM,New SKU,1640676367795-dinesh soap - household-npl-dinesh 3 in 1.png,CROSS CODING,2.0,1,99762677,105.17974,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,DINESH SOAP & HOUSEHOLD-NPL,DINESH,DINESH 3IN1,DINESH 3IN1-PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,90.0,0,False,rejected
2021-12-31 00:00:00,202112.0,,123455987.0,,1640676811319.0,99762902.0,123.0,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,New SKU,1640676811319-nepal gramodhyog pvt ltd-np-nepal gramodhyog herb yukt.png,RECODING,5.0,1,51611,138.42987,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG-HERB YUKT ACTIVE PPH 500G,PLPCH,500.000 GM,,,500.0,GM,0.0,0,False,rejected
2022-01-12 00:00:00,202201.0,,124768422.0,,1640676811319.0,99762902.0,123.0,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT\150\GM,20.0,PPH,150GM,New SKU,1640676811319-nepal gramodhyog pvt ltd-np-nepal gramodhyog herb yukt.png,RECODING,5.0,1,51611,138.42987,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG-HERB YUKT ACTIVE PPH 500G,PLPCH,500.000 GM,,,500.0,GM,0.0,0,False,rejected
2021-12-31 00:00:00,202112.0,,122528029.0,,1640846311402.0,99762901.0,123.0,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI LAUNDRY SOAP,DHONI LAUNDRY SOAP \500\HM,100.0,PPH,500GM,New SKU,1640846311402-himgiri soap - chemicals-nepal-dhoni laundry soap.png,RECODING,5.0,2,49700,87.969765,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,HIMGIRI SOAP & CHEMICALS-NEPAL,DHONI,DHONI,DHONI-LEMON & LAVENDER PPH 500 GM,PLPCH,500.000 GM,,,500.0,GM,0.0,2,True,high
2021-12-31 00:00:00,202112.0,,122528029.0,,1640846910886.0,99762423.0,122.0,R.M. CHEMICALS NEPAL,ACTIVE WHEEL 2 IN 1,ACTIVE WHEEL 2 IN 1\750\GM,75.0,PPH,750GM,New SKU,1640846910886-r-m- chemicals nepal-active wheel 2 in 1.png,CROSS CODING,2.0,1,93020386,171.09473,122,WASHING  POWDER-NP,WASHING POWDER,WASHING POWDER,UNILEVER NEPAL LTD-NEPAL,WHEEL,WHEEL ACTIVE,WHEEL ACTIVE-PPH 135 GMS,PLPCH,135.000 GM,,,135.0,GM,0.0,0,False,rejected
2021-12-31 00:00:00,202112.0,,123582683.0,,1640851670848.0,99762911.0,132.0,JASMINE HYGIENIC - NEPAL,CUDDLES PANTS OVER NIGHT,CUDDLES PANTS OVER NIGHT\52\ PCS,950.0,PPH,52PCS,New SKU,1640851670848-jasmine hygienic - nepal-cuddles pants over night.png,RECODING,5.0,1,99762911,138.84993,132,BABY DIAPER-NP,BABY DIAPER,BABY DIAPER,JASMINE HYGIENIC - NEPAL,CUDDLERS,CUDDLERS PANTS,CUDDLERS PANTS-OVERNITES MEDIUM (M) PPH 52 NOS,PLPCH,52.000 NO,,,52.0,NO,950.0,1,True,high
2022-01-12 00:00:00,202112.0,,131558772.0,,1640854266905.0,99762895.0,118.0,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,Any other reason,1640854266905-aqua nepal bisleri-nepal-hayat.png,RECODING,5.0,1,99762895,138.3388,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,AQUA NEPAL BISLERI-NEPAL,AQUA ABE HAYAT,AQUA ABE HAYAT,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
2021-12-31 00:00:00,202112.0,,133176664.0,,1640854266905.0,99762895.0,118.0,AQUA NEPAL BISLERI-NEPAL,HAYAT,AQUA ABE HAYAT PBT 1000 ML,25.0,PBT,1000 ML,,1640854266905-aqua nepal bisleri-nepal-hayat.png,RECODING,5.0,1,99762895,138.3388,118,SOFT DRINKS-NP,PACKAGED WATER,PACKAGED WATER,AQUA NEPAL BISLERI-NEPAL,AQUA ABE HAYAT,AQUA ABE HAYAT,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0,1,True,high
2021-12-31 00:00:00,202112.0,,126893914.0,,1640860693761.0,99763004.0,123.0,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,,1640860693761-saptarishi soap inds-npl-ruchi.png,RECODING,5.0,3,99763004,136.34338,123,WASHING CAKE & DISHWASH BAR-NP,WASHING CAKE & DISHWASH BAR,WASHING CAKE,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI,RUCHI-DETERGENT SOAP EWP 100 GM,EWRPK,100.000 GM,,,100.0,GM,10.0,3,True,high
