t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,1,99763004,18.119644,123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI,RUCHI-DETERGENT SOAP EWP 100 GM,EWRPK,100.000 GM,,,100.0,GM,10.0
123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,2,99764684,93.155235,122,SAPTRISHI SOAP INDUSTRIES-NP,RUCHI,RUCHI,RUCHI-DETERGENT POWDER PPH 500 GM,PLPCH,500.000 GM,,,500.0,GM,50.0
123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,3,99763517,95.15012,122,SAPTRISHI SOAP INDUSTRIES-NP,RUCHI,RUCHI,RUCHI-DETERGENT POWDER PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,20.0
123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,4,52438,111.10675,123,SAPTARISHI SOAP INDS-NPL,SEVEN STAR,SEVEN STAR,SEVEN STAR-EWP 95 GM,EWRPK,95.000 GM,,,95.0,GM,0.0
123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,5,99764640,134.5494,123,INDU SOAP & DETERGENT UDHYOG-NPL,RAZZ,RAZZ,RAZZ-LAUNDRY SOAP PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,45.0
123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,6,49407,135.39873,122,SAPTRISHI SOAP INDUSTRIES-NP,MR. X,MR. X,MR. X-DETERGENT POWDER PPH 250 GM,PLPCH,250.000 GM,,,250.0,GM,0.0
123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,7,99762840,136.35321,123,SAPTARISHI SOAP INDS-NPL,SEVEN STAR,SEVEN STAR,SEVEN STAR-DISH WASH LEMON PCN 400 GM,PLJAR,400.000 GM,,,400.0,GM,55.0
123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,8,92917975,139.4415,123,SHREE SHAKAMBHARI SOAP IND-NEP,SAPANA,SAPANA,SAPANA-EWP 170 GMS,EWRPK,170.000 GM,,,170.0,GM,0.0
123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,9,92921976,140.89339,123,SUSHIL SOAP & CHEMICL INDS-NPL,WHITE DROP 72%,WHITE DROP 72%,WHITE DROP 72%-UNWRP 200 GMS,UNWRP,200.000 GM,,,200.0,GM,0.0
123,SAPTARISHI SOAP INDS-NPL,RUCHI,RUCHI DETERGENT SOAP/100GM/EWP/SAPTARISHI SOAP INDS-NPL,10.0,EWP,100GM,10,92921975,141.50974,123,SUSHIL SOAP & CHEMICL INDS-NPL,WHITE DROP 72%,WHITE DROP 72%,WHITE DROP 72%-UNWRP 150 GMS,UNWRP,150.000 GM,,,150.0,GM,0.0
